Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO0722	SPO0722				1.88E+07	1.14E+07	1.17E+07
SPO0724	SPO0724						
SPO0725	SPO0725						
SPO0726	SPO0726				4.46E+06	5.55E+06	6.33E+06
SPO0727	SPO0727						
SPO0728	SPO0728				2.01E+08	2.10E+08	1.95E+08
SPO0729	SPO0729					1.58E+06	
SPO0731	SPO0731				3.26E+06		3.27E+06
SPO0732	SPO0732				8.21E+06	1.07E+07	1.03E+07
SPO0733	SPO0733						
SPO0734	SPO0734					1.63E+06	
SPO0735	SPO0735				9.09E+06	1.19E+07	8.73E+06
SPO0736	SPO0736						
SPO0738	SPO0738				7.80E+07	7.14E+07	8.16E+07
SPO0739	SPO0739						
SPO0740	SPO0740						
SPO0741	SPO0741						
SPO0742	SPO0742					8.43E+06	
SPO0743	SPO0743				2.49E+06	876304	
SPO0744	SPO0744						
SPO0745	SPO0745						
SPO0746	SPO0746						
SPO0747	SPO0747						
SPO0750	SPO0750						
SPO0751	SPO0751						
SPO0752	SPO0752				7.56E+06	9.60E+06	7.98E+06
SPO0753	SPO0753				1.48E+07	2.24E+06	4.08E+06
SPO0754	SPO0754				6.83E+06	1.31E+07	6.61E+06
