Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO2342	SPO2342				3.50E+07		
SPO2343	SPO2343						
SPO2344	SPO2344						
SPO2345	SPO2345					2.54E+06	
SPO2346	SPO2346						
SPO2347	SPO2347						
SPO2348	SPO2348						
SPO2349	SPO2349						
SPO2350	SPO2350						
SPO2351	SPO2351						
SPO2353	SPO2353						
SPO2354	SPO2354						
SPO2355	SPO2355				9.04E+07	2.42E+06	
SPO2358	SPO2358						
SPO2359	SPO2359						
SPO2361	SPO2361						
SPO2362	SPO2362						
SPO2363	SPO2363						
SPO2364	SPO2364						
SPO2365	SPO2365						
SPO2366	SPO2366						
SPO2367	SPO2367						
SPO2368	SPO2368						
SPO2369	SPO2369						
SPO2370	SPO2370						
SPO2371	SPO2371				4.43E+06	2.98E+06	4.16E+06
SPO2372	SPO2372						
SPO2373	SPO2373						
SPO2374	SPO2374				2.64E+07		
SPO2376	SPO2376				2.72E+07		3.52E+07
SPO2377	SPO2377						
SPO2378	SPO2378						
SPO2381	SPO2381						
SPO2382	SPO2382				4.12E+06		3.41E+06
SPO2383	SPO2383						
SPO2385	SPO2385				8.74E+06	5.70E+06	1.28E+07
SPO2386	SPO2386						
SPO2387	SPO2387						
SPO2389	SPO2389						
SPO2393	SPO2393						
SPO2394	SPO2394						
SPO2395	SPO2395						
SPO2396	SPO2396						
SPO2397	SPO2397				1.76E+08	2.32E+08	1.93E+08
SPO2398	SPO2398						
SPO2399	SPO2399						
SPO2400	SPO2400						
SPO2401	SPO2401				4.91E+07	4.61E+07	5.24E+07
SPO2409	SPO2409						
SPO2410	SPO2410						
SPO2411	SPO2411						
SPO2412	SPO2412						
SPO2413	SPO2413					661813	
SPO2414	SPO2414						
SPO2415	SPO2415						
SPO2416	SPO2416						
SPO2417	SPO2417						
SPO2418	SPO2418						
SPO2419	SPO2419						
SPO2420	SPO2420						
SPO2421	SPO2421						
SPO2422	SPO2422						
SPO2424	SPO2424						
SPO2425	SPO2425						
SPO2427	SPO2427						
SPO2428	SPO2428						
SPO2429	SPO2429						
SPO2430	SPO2430						
SPO2431	SPO2431						
SPO2433	SPO2433						
SPO2434	SPO2434						
SPO2435	SPO2435				9.51E+06	8.15E+06	8.39E+06
SPO2436	SPO2436						
SPO2437	SPO2437						
SPO2438	SPO2438						
SPO2439	SPO2439						
SPO2440	SPO2440						
SPO2441	SPO2441					3.56E+06	
SPO2442	SPO2442						
SPO2443	SPO2443						
SPO2444	SPO2444				1.52E+08	1.77E+08	1.59E+08
SPO2445	SPO2445						
SPO2446	SPO2446						1.90E+06
SPO2447	SPO2447				7.31E+06	5.69E+06	8.85E+06
SPO2448	SPO2448						
SPO2449	SPO2449						4.72E+06
SPO2450	SPO2450						
SPO2451	SPO2451						
SPO2452	SPO2452						
SPO2453	SPO2453				4.95E+06		2.87E+06
SPO2454	SPO2454						
SPO2455	SPO2455						
SPO2456	SPO2456				6.68E+06	5.80E+06	8.11E+06
SPO2457	SPO2457						1.83E+06
SPO2458	SPO2458					4.91E+06	4.75E+06
SPO2459	SPO2459				9.78E+06	1.51E+07	1.41E+07
SPO2460	SPO2460						
SPO2461	SPO2461				1.59E+07	9.48E+06	9.79E+06
SPO2462	SPO2462						
SPO2463	SPO2463						
SPO2464	SPO2464						
SPO2465	SPO2465						
SPO2466	SPO2466						
SPO2467	SPO2467					1.35E+07	
SPO2468	SPO2468				3.49E+06		2.96E+06
SPO2469	SPO2469				2.96E+06	3.81E+06	
SPO2470	SPO2470				1.41E+07	5.42E+06	
SPO2471	SPO2471						
SPO2473	SPO2473						
SPO2474	SPO2474				4.37E+07	4.16E+07	3.76E+07
SPO2475	SPO2475						
SPO2476	SPO2476				2.18E+07	1.62E+07	2.06E+07
SPO2477	SPO2477				2.93E+06	2.36E+06	3.08E+06
SPO2478	SPO2478				1.20E+07	1.03E+07	9.20E+06
SPO2479	SPO2479						
SPO2480	SPO2480				2.81E+06		1.52E+06
SPO2482	SPO2482						
SPO2483	SPO2483						
SPO2484	SPO2484				1.69E+07	1.35E+07	1.60E+07
SPO2486	SPO2486						
SPO2487	SPO2487				2.85E+07	2.82E+07	2.50E+07
SPO2488	SPO2488				3.22E+07		957601
SPO2489	SPO2489						
SPO2490	SPO2490						
SPO2491	SPO2491						
SPO2492	SPO2492				1.68E+07	1.97E+07	3.80E+06
SPO2493	SPO2493				806167		
SPO2494	SPO2494				8.90E+06	7.16E+06	8.71E+06
SPO2495	SPO2495				5.86E+06	5.65E+06	5.13E+06
SPO2496	SPO2496				1.69E+06		
SPO2498	SPO2498				7.17E+06		2.15E+06
SPO2499	SPO2499						
SPO2500	SPO2500				1.40E+06	1.40E+06	
SPO2501	SPO2501						
SPO2502	SPO2502				1.07E+07	1.26E+07	
SPO2503	SPO2503				1.43E+07	1.53E+07	1.41E+07
SPO2504	SPO2504				1.42E+07	1.51E+07	1.49E+07
SPO2505	SPO2505						1.81E+06
SPO2506	SPO2506				3.87E+06	3.81E+06	3.85E+06
SPO2507	SPO2507						
SPO2509	SPO2509				7.93E+06	5.91E+06	6.19E+06
SPO2510	SPO2510						
SPO2511	SPO2511				1.87E+07	1.24E+07	1.47E+07
SPO2512	SPO2512				4.55E+06	4.07E+06	6.92E+06
SPO2513	SPO2513						
SPO2515	SPO2515						
SPO2516	SPO2516						
SPO2517	SPO2517						
SPO2518	SPO2518						4.21E+06
SPO2519	SPO2519					9.99E+06	8.23E+06
SPO2520	SPO2520				3.64E+06	3.91E+06	4.81E+06
SPO2521	SPO2521					4.74E+06	4.59E+06
SPO2522	SPO2522						
SPO2523	SPO2523				3.36E+06	4.18E+06	2.35E+06
SPO2524	SPO2524						
SPO2527	SPO2527						
SPO2528	SPO2528						2.77E+07
SPO2529	SPO2529						
SPO2530	SPO2530						
SPO2532	SPO2532						
SPO2533	SPO2533						
SPO2534	SPO2534						
SPO2535	SPO2535						
SPO2536	SPO2536						
SPO2538	SPO2538				7.95E+08	8.67E+08	8.02E+08
SPO2539	SPO2539						
SPO2540	SPO2540						
SPO2541	SPO2541						
SPO2543	SPO2543					1.85E+06	
SPO2544	SPO2544						
SPO2545	SPO2545						
SPO2548	SPO2548						
SPO2549	SPO2549						
SPO2550	SPO2550						
SPO2551	SPO2551						
SPO2552	SPO2552						
SPO2553	SPO2553						
SPO2554	SPO2554						
SPO2555	SPO2555						
SPO2556	SPO2556						
SPO2559	SPO2559						
SPO2560	SPO2560						
SPO2561	SPO2561						
SPO2562	SPO2562					4.28E+06	
SPO2563	SPO2563						
SPO2565	SPO2565						
SPO2566	SPO2566						
SPO2567	SPO2567						
SPO2568	SPO2568						
SPO2569	SPO2569						
SPO2570	SPO2570						
SPO2571	SPO2571						
SPO2572	SPO2572						
SPO2573	SPO2573				9.00E+07	3.41E+07	2.86E+07
SPO2574	SPO2574						
SPO2575	SPO2575						
SPO2576	SPO2576						
SPO2577	SPO2577						
SPO2578	SPO2578				5.18E+06	3.48E+06	4.53E+06
SPO2579	SPO2579				1.12E+07	6.29E+06	5.36E+06
SPO2580	SPO2580						
SPO2581	SPO2581						
SPO2582	SPO2582						
SPO2583	SPO2583				5.44E+06	9.68E+06	3.55E+06
SPO2584	SPO2584						
SPO2585	SPO2585				4.57E+06	8.91E+06	6.61E+06
SPO2587	SPO2587					1.04E+06	681178
SPO2588	SPO2588				4.53E+06	1.07E+06	3.03E+06
SPO2589	SPO2589				7.79E+06	1.48E+07	7.75E+06
SPO2590	SPO2590				4.58E+06		6.62E+06
SPO2591	SPO2591				1.49E+07	2.08E+07	1.67E+07
SPO2592	SPO2592				1.30E+07	1.21E+07	1.38E+07
SPO2594	SPO2594				6.78E+06	8.89E+06	5.60E+06
SPO2595	SPO2595						
SPO2596	SPO2596				3.31E+07		3.05E+07
SPO2597	SPO2597				1.16E+07	1.34E+07	1.29E+07
SPO2598	SPO2598						
SPO2601	SPO2601						
SPO2602	SPO2602						
SPO2603	SPO2603				2.10E+06		
SPO2604	SPO2604						
SPO2605	SPO2605						
SPO2606	SPO2606				2.23E+07	1.61E+07	1.42E+07
SPO2607	SPO2607						
SPO2608	SPO2608				3.97E+06	4.67E+06	4.28E+06
SPO2609	SPO2609				5.39E+06	4.90E+06	4.41E+06
SPO2610	SPO2610						
SPO2612	SPO2612				3.18E+06	2.29E+06	3.41E+06
SPO2613	SPO2613				2.65E+07	1.20E+07	1.36E+07
SPO2614	SPO2614					1.38E+07	1.13E+07
SPO2615	SPO2615				6.35E+07	6.27E+07	6.71E+07
SPO2616	SPO2616						1.10E+06
SPO2617	SPO2617						
SPO2618	SPO2618						
SPO2619	SPO2619						
SPO2620	SPO2620						
SPO2621	SPO2621				3.30E+06	6.29E+06	7.00E+06
SPO2622	SPO2622						
SPO2624	SPO2624						
SPO2625	SPO2625						
SPO2626	SPO2626						
SPO2627	SPO2627						
SPO2628	SPO2628				1.67E+07	1.55E+07	1.46E+07
SPO2629	SPO2629				3.38E+06		
SPO2630	SPO2630						
SPO2631	SPO2631				6.86E+06	9.05E+06	9.46E+06
SPO2632	SPO2632						
SPO2633	SPO2633				2.01E+06	2.95E+06	2.12E+06
SPO2634	SPO2634						
SPO2635	SPO2635						
SPO2636	SPO2636					4.15E+06	2.15E+06
SPO2637	SPO2637				1.27E+07	1.40E+07	1.43E+07
SPO2638	SPO2638				2.73E+07	2.60E+07	2.44E+07
SPO2639	SPO2639						
SPO2640	SPO2640						
SPO2643	SPO2643						
SPO2644	SPO2644						
SPO2645	SPO2645						1.01E+07
SPO2646	SPO2646						
SPO2647	SPO2647						
SPO2648	SPO2648						
SPO2649	SPO2649				3.62E+06		5.00E+06
SPO2650	SPO2650				2.37E+06	1.97E+06	
SPO2651	SPO2651						
SPO2652	SPO2652						
SPO2652a	SPO2652a						
SPO2653	SPO2653				1.16E+07	1.07E+07	7.42E+06
SPO2654	SPO2654				1.06E+07	1.14E+07	1.12E+07
SPO2655	SPO2655					3.92E+06	2.34E+07
SPO2656	SPO2656						
SPO2657	SPO2657						
SPO2658	SPO2658						1.11E+07
SPO2659	SPO2659						
SPO2660	SPO2660						
SPO2661	SPO2661						
SPO2662	SPO2662						
SPO2666	SPO2666						
SPO2668	SPO2668						
SPO2669	SPO2669						
SPO2670	SPO2670				5.59E+06	5.04E+06	5.38E+06
SPO2671	SPO2671						
SPO2672	SPO2672						
SPO2673	SPO2673						
SPO2674	SPO2674				3.02E+06		1.73E+07
SPO2675	SPO2675						
SPO2676	SPO2676						
SPO2677	SPO2677				1.03E+07	8.61E+06	1.09E+07
SPO2678	SPO2678				2.32E+07	1.56E+07	2.52E+07
SPO2679	SPO2679				1.06E+07	2.67E+06	3.06E+06
SPO2680	SPO2680					1.60E+06	
SPO2681	SPO2681						
SPO2682	SPO2682						
SPO2683	SPO2683						
SPO2684	SPO2684						
SPO2685	SPO2685						
SPO2686	SPO2686				2.45E+07	1.42E+07	1.51E+07
SPO2687	SPO2687						
SPO2688	SPO2688						
SPO2689	SPO2689				9.54E+06	1.04E+07	1.34E+07
SPO2690	SPO2690				3.54E+06	4.85E+06	
SPO2691	SPO2691						
SPO2692	SPO2692				4.85E+06	5.64E+06	5.77E+06
SPO2693	SPO2693						
SPO2694	SPO2694				8.45E+06	1.36E+07	7.12E+06
SPO2695	SPO2695						
SPO2697	SPO2697						
SPO2698	SPO2698						
SPO2701	SPO2701						
SPO2702	SPO2702						
SPO2704	SPO2704						
SPO2705	SPO2705						
SPO2706	SPO2706						
SPO2707	SPO2707				1.20E+06		
SPO2708	SPO2708						
SPO2709	SPO2709						
SPO2710	SPO2710						
SPO2711	SPO2711						
SPO2712	SPO2712						
SPO2713	SPO2713						
SPO2714	SPO2714						
SPO2715	SPO2715				1.71E+07		
SPO2716	SPO2716						
SPO2717	SPO2717						
SPO2718	SPO2718				1.29E+09	1.17E+09	1.51E+09
SPO2719	SPO2719						
SPO2721	SPO2721					1.47E+06	3.10E+06
SPO2722	SPO2722						
SPO2723	SPO2723				3.15E+06	3.33E+06	3.62E+06
SPO2723a	SPO2723a				4.23E+06	2.52E+06	5.10E+06
SPO2724	SPO2724					890114	3.31E+06
SPO2733	SPO2733					1.31E+06	
SPO2734	SPO2734						
SPO2735	SPO2735					3.92E+06	2.85E+06
SPO2736	SPO2736				1.71E+08	2.14E+08	1.43E+08
SPO2738	SPO2738				2.91E+07	3.76E+07	3.34E+07
SPO2739	SPO2739				1.03E+07	1.28E+07	1.15E+07
SPO2740	SPO2740				6.33E+06	3.02E+06	4.41E+06
SPO2741	SPO2741						
SPO2742	SPO2742				7.15E+06	1.44E+07	4.33E+06
SPO2743	SPO2743				1.40E+07		
SPO2744	SPO2744						
SPO2745	SPO2745						
SPO2746	SPO2746				4.80E+06	4.00E+06	6.36E+06
SPO2747	SPO2747				2.90E+08	4.05E+08	2.58E+08
SPO2748	SPO2748						
SPO2749	SPO2749						
SPO2750	SPO2750						
SPO2751	SPO2751				4.55E+06	4.98E+06	4.84E+06
SPO2752	SPO2752						
SPO2753	SPO2753						
SPO2754	SPO2754				4.06E+06		
SPO2755	SPO2755						
SPO2756	SPO2756						
SPO2757	SPO2757						
SPO2758	SPO2758						
SPO2759	SPO2759				2.42E+06	3.31E+06	2.37E+06
SPO2760	SPO2760				4.91E+06	6.58E+06	5.42E+06
SPO2761	SPO2761				1.04E+07	4.56E+06	5.68E+06
SPO2762	SPO2762				4.62E+06	4.00E+06	6.34E+06
SPO2763	SPO2763						
SPO2764	SPO2764						
SPO2765	SPO2765						
SPO2766	SPO2766						
SPO2767	SPO2767						
SPO2768	SPO2768				1.74E+06		
SPO2769	SPO2769						
SPO2770	SPO2770				6.54E+06	1.12E+07	1.27E+07
SPO2771	SPO2771				3.05E+06	9.26E+06	2.98E+06
SPO2772	SPO2772						
SPO2773	SPO2773						
SPO2774	SPO2774				8.40E+06	8.98E+06	8.50E+06
SPO2775	SPO2775				1.96E+07	1.90E+07	2.24E+07
SPO2776	SPO2776				1.88E+06		
SPO2777	SPO2777				3.58E+06	5.63E+06	4.38E+06
SPO2778	SPO2778						
SPO2779	SPO2779						
SPO2780	SPO2780				1.10E+07	1.09E+07	8.37E+06
SPO2781	SPO2781					4.05E+06	
SPO2782	SPO2782				5.51E+06	6.66E+06	6.40E+06
SPO2784	SPO2784				9.56E+06	1.18E+07	9.82E+06
SPO2785	SPO2785				2.85E+06	1.77E+06	1.49E+06
SPO2786	SPO2786						
SPO2787	SPO2787				7.60E+06	6.85E+06	6.15E+06
SPO2788	SPO2788				9.30E+06	7.06E+06	8.19E+06
SPO2789	SPO2789						
SPO2790	SPO2790				2.75E+07	1.06E+07	1.51E+07
SPO2791	SPO2791						
SPO2792	SPO2792						
SPO2793	SPO2793				1.09E+07	1.54E+07	1.57E+07
SPO2795	SPO2795						
SPO2796	SPO2796						
SPO2797	SPO2797				1.71E+07	1.26E+07	1.71E+07
SPO2798	SPO2798					1.54E+06	1.41E+06
SPO2799	SPO2799				1.24E+06	1.15E+06	
SPO2800	SPO2800						6.38E+06
SPO2801	SPO2801						
SPO2802	SPO2802				6.35E+06	4.91E+06	6.25E+06
SPO2803	SPO2803						
SPO2804	SPO2804						
SPO2805	SPO2805						
SPO2806	SPO2806						
SPO2807	SPO2807						
SPO2808	SPO2808				1.40E+07	1.36E+07	1.46E+07
SPO2809	SPO2809					2.05E+06	1.91E+06
SPO2810	SPO2810						
SPO2811	SPO2811				1.03E+06		
SPO2812	SPO2812				2.13E+06	3.34E+06	
SPO2813	SPO2813				2.05E+06		
SPO2814	SPO2814				1.16E+08	9.90E+07	1.04E+08
SPO2815	SPO2815						
SPO2816	SPO2816						
SPO2817	SPO2817						
SPO2818	SPO2818						
SPO2819	SPO2819						
SPO2820	SPO2820					7.21E+07	
SPO2821	SPO2821						
SPO2822	SPO2822						
SPO2823	SPO2823					1.74E+06	
SPO2824	SPO2824				1.29E+07	9.21E+06	8.66E+06
SPO2825	SPO2825						
SPO2826	SPO2826						
SPO2827	SPO2827					1.42E+06	
SPO2828	SPO2828						
SPO2829	SPO2829						
SPO2835	SPO2835						
SPO2836	SPO2836						
SPO2837	SPO2837				3.40E+06	3.61E+06	2.55E+06
SPO2838	SPO2838						
SPO2839	SPO2839				7.22E+06	8.06E+06	7.57E+06
SPO2840	SPO2840						
SPO2841	SPO2841				6.14E+06	8.97E+06	6.12E+06
SPO2842	SPO2842						
SPO2843	SPO2843						
SPO2845	SPO2845						
SPO2846	SPO2846						
SPO2847	SPO2847				1.79E+07	2.29E+07	1.85E+07
SPO2848	SPO2848				1.60E+07	2.29E+07	2.07E+07
SPO2849	SPO2849				6.76E+06	7.00E+06	5.68E+06
SPO2850	SPO2850				9.18E+06	7.46E+06	8.52E+06
SPO2851	SPO2851						
SPO2853	SPO2853				6.06E+06	5.44E+06	5.81E+06
SPO2854	SPO2854						
SPO2855	SPO2855				5.43E+06	4.02E+06	
SPO2856	SPO2856				6.24E+06		
SPO2857	SPO2857				8.24E+06	5.79E+06	6.16E+06
SPO2858	SPO2858				2.65E+07	1.78E+07	1.67E+07
SPO2859	SPO2859						
SPO2860	SPO2860						
SPO2861	SPO2861						
SPO2862	SPO2862				8.74E+06	7.81E+06	8.91E+06
SPO2863	SPO2863				6.89E+06	7.47E+07	
SPO2864	SPO2864						
SPO2865	SPO2865				5.87E+06	7.39E+06	5.42E+06
SPO2866	SPO2866						
SPO2867	SPO2867						
SPO2868	SPO2868						
SPO2869	SPO2869						
SPO2870	SPO2870						
SPO2871	SPO2871						
SPO2872	SPO2872						
SPO2873	SPO2873				1.31E+06		
SPO2874	SPO2874						
SPO2875	SPO2875						
SPO2877	SPO2877						
SPO2878	SPO2878						
SPO2879	SPO2879						
SPO2880	SPO2880						
SPO2881	SPO2881						
SPO2882	SPO2882					1.52E+07	
SPO2883	SPO2883						
SPO2884	SPO2884						
SPO2885	SPO2885						
SPO2886	SPO2886						
SPO2887	SPO2887					1.73E+07	
SPO2888	SPO2888						
SPO2889	SPO2889				7.44E+06	9.26E+06	8.50E+06
SPO2890	SPO2890						
SPO2891	SPO2891						
SPO2892	SPO2892						
SPO2893	SPO2893						
SPO2894	SPO2894						
SPO2895	SPO2895						
SPO2896	SPO2896						
SPO2897	SPO2897						
SPO2898	SPO2898						
SPO2899	SPO2899						
SPO2900	SPO2900						
SPO2901	SPO2901						
SPO2902	SPO2902						
SPO2903	SPO2903						
SPO2904	SPO2904				2.45E+07	2.36E+07	1.81E+07
SPO2905	SPO2905						
SPO2906	SPO2906				7.75E+06	8.51E+06	8.87E+06
SPO2907	SPO2907				6.40E+06	5.30E+06	7.79E+06
SPO2908	SPO2908					2.91E+06	
SPO2909	SPO2909						
SPO2910	SPO2910						
SPO2911	SPO2911				2.70E+06	2.80E+06	2.19E+06
SPO2912	SPO2912						
SPO2914	SPO2914					6.04E+06	
SPO2915	SPO2915				4.41E+06	4.17E+06	4.21E+06
SPO2916	SPO2916						
SPO2917	SPO2917				6.30E+06	5.54E+06	2.05E+06
SPO2918	SPO2918				3.52E+06	3.54E+06	3.39E+06
SPO2919	SPO2919						1.33E+06
SPO2920	SPO2920				8.65E+06	8.93E+06	5.37E+06
SPO2922	SPO2922						
SPO2924	SPO2924						
SPO2925	SPO2925					4.21E+06	2.46E+06
SPO2926	SPO2926				1.07E+07	1.01E+07	7.96E+06
SPO2927	SPO2927						
SPO2928	SPO2928				9.17E+07	9.85E+07	3.61E+08
SPO2929	SPO2929					1.27E+06	1.62E+06
SPO2930	SPO2930						
SPO2931	SPO2931						
SPO2932	SPO2932				6.72E+06	4.57E+06	5.00E+06
SPO2933	SPO2933						
SPO2934	SPO2934						
SPO2936	SPO2936						
SPO2938	SPO2938					1.64E+06	
SPO2939	SPO2939				1.39E+06		2.27E+06
SPO2942	SPO2942						
SPO2943	SPO2943				2.41E+06	3.26E+06	4.28E+06
SPO2945	SPO2945				2.32E+06	3.07E+06	2.39E+06
SPO2946	SPO2946						
SPO2947	SPO2947						
SPO2948	SPO2948						
SPO2949	SPO2949				1.43E+07	5.92E+06	1.03E+07
SPO2950	SPO2950						
SPO2951	SPO2951				1.22E+07	8.22E+06	1.18E+07
SPO2952	SPO2952						
SPO2953	SPO2953				2.55E+06	2.01E+06	1.55E+06
SPO2954	SPO2954				2.67E+06		1.02E+06
SPO2955	SPO2955						
SPO2956	SPO2956						
SPO2957	SPO2957						
SPO2958	SPO2958				4.45E+06	3.17E+06	
SPO2959	SPO2959						
SPO2960	SPO2960						4.02E+06
SPO2961	SPO2961						
SPO2962	SPO2962						
SPO2963	SPO2963						
SPO2964	SPO2964					2.98E+06	3.20E+06
SPO2965	SPO2965				2.75E+07	2.65E+07	2.50E+07
SPO2967	SPO2967						
SPO2968	SPO2968				3.23E+07	2.63E+07	2.73E+07
SPO2969	SPO2969				1.85E+07	1.88E+07	1.66E+07
SPO2970	SPO2970				6.59E+06	1.29E+07	9.88E+06
SPO2971	SPO2971						
SPO2972	SPO2972						
SPO2973a	SPO2973a				6.27E+06	4.70E+06	3.70E+06
SPO2974	SPO2974						
SPO2976	SPO2976						6.58E+06
SPO2977	SPO2977						
SPO2978	SPO2978						
SPO2979	SPO2979						
SPO2980	SPO2980				1.98E+07	1.25E+07	2.02E+07
SPO2981	SPO2981						
SPO2982	SPO2982					3.12E+06	
SPO2983	SPO2983						
SPO2984	SPO2984						
SPO2985	SPO2985					3.38E+07	
SPO2986	SPO2986				3.77E+08	5.55E+06	6.25E+06
SPO2987	SPO2987					1.91E+08	
SPO2988	SPO2988				9.99E+06	1.07E+07	1.04E+07
SPO2989	SPO2989						
SPO2990	SPO2990						
SPO2991	SPO2991						
SPO2992	SPO2992						
SPO2993	SPO2993						
SPO2994	SPO2994						
SPO2995	SPO2995				5.77E+07	5.70E+07	4.97E+07
SPO2996	SPO2996						
SPO2997	SPO2997						
SPO2998	SPO2998						
SPO2999	SPO2999					4.68E+06	
SPO3000	SPO3000						
SPO3001	SPO3001						
SPO3002	SPO3002						
SPO3003	SPO3003					3.83E+06	
SPO3004	SPO3004				6.65E+06	7.20E+06	8.62E+06
SPO3005	SPO3005						
SPO3008	SPO3008						
SPO3009	SPO3009						
SPO3010	SPO3010						
SPO3011	SPO3011						
SPO3012	SPO3012				2.28E+07	2.01E+07	2.25E+07
SPO3013	SPO3013				6.33E+06	7.88E+06	7.76E+06
SPO3014	SPO3014						
SPO3015	SPO3015				1.99E+06		
SPO3016	SPO3016						
SPO3017	SPO3017						
SPO3018	SPO3018						
SPO3019	SPO3019				2.34E+06	1.99E+06	
SPO3020	SPO3020						
SPO3021	SPO3021						
SPO3022	SPO3022				8.73E+06	8.94E+06	7.91E+06
SPO3023	SPO3023						
SPO3024	SPO3024					2.28E+07	
SPO3025	SPO3025						
SPO3026	SPO3026						
SPO3027	SPO3027						
SPO3029	SPO3029				2.65E+07		
SPO3030	SPO3030					7.81E+07	3.28E+08
SPO3031	SPO3031				2.26E+07	1.85E+07	1.81E+07
SPO3032	SPO3032				8.39E+06	6.25E+06	6.12E+06
SPO3033	SPO3033				7.33E+06	9.02E+06	8.60E+06
SPO3034	SPO3034					9.14E+06	4.96E+06
SPO3035	SPO3035				1.03E+07	8.89E+06	1.14E+07
SPO3036	SPO3036				3.28E+06	2.11E+06	2.98E+06
SPO3037	SPO3037						
SPO3038	SPO3038						
SPO3039	SPO3039						
SPO3040	SPO3040						
SPO3041	SPO3041						
SPO3042	SPO3042						
SPO3043	SPO3043						
SPO3044	SPO3044						
SPO3045	SPO3045						
SPO3049	SPO3049						
SPO3051	SPO3051				4.19E+06	4.28E+06	5.36E+06
SPO3052	SPO3052						
SPO3053	SPO3053						
SPO3054	SPO3054					1.29E+07	
SPO3055	SPO3055						
SPO3056	SPO3056				1.91E+07	1.96E+07	1.96E+07
SPO3057	SPO3057						
SPO3058	SPO3058						
SPO3059	SPO3059						
SPO3060	SPO3060				6.50E+06	3.83E+06	5.03E+06
SPO3063	SPO3063						
SPO3064	SPO3064						
SPO3065	SPO3065						
SPO3066	SPO3066					1.61E+06	2.31E+06
SPO3067	SPO3067						
SPO3068	SPO3068						
SPO3069	SPO3069						
SPO3070	SPO3070				7.38E+06	8.86E+06	8.18E+06
SPO3071	SPO3071				1.22E+07	1.17E+07	1.14E+07
SPO3072	SPO3072						
SPO3073	SPO3073						
SPO3074	SPO3074						
SPO3075	SPO3075						
SPO3076	SPO3076						
SPO3077	SPO3077					2.08E+06	
SPO3078	SPO3078						
SPO3079	SPO3079				1.03E+07	1.11E+07	9.96E+06
SPO3080	SPO3080						
SPO3081	SPO3081						
SPO3082	SPO3082				2.39E+07	2.02E+07	2.48E+07
SPO3083	SPO3083				2.43E+07	1.81E+07	2.48E+07
SPO3084	SPO3084						
SPO3086	SPO3086					3.27E+07	
SPO3087	SPO3087				1.85E+07	8.03E+06	
SPO3088	SPO3088				1.97E+06	1.88E+06	1.56E+06
SPO3089	SPO3089						
SPO3090	SPO3090						
SPO3091	SPO3091						
SPO3092	SPO3092						
SPO3093	SPO3093					1.73E+06	
SPO3094	SPO3094				8.05E+06	1.04E+07	9.70E+06
SPO3096	SPO3096						
SPO3097	SPO3097						
SPO3098	SPO3098						
SPO3099	SPO3099						
SPO3100	SPO3100						
SPO3104	SPO3104					5.27E+06	
SPO3105	SPO3105				8.16E+06	5.44E+06	4.62E+06
SPO3106	SPO3106						
SPO3107	SPO3107				3.41E+07	3.22E+07	2.45E+07
SPO3108	SPO3108				8.95E+06	7.92E+06	9.22E+06
SPO3109	SPO3109				2.69E+07	2.34E+07	2.34E+07
SPO3110	SPO3110				1.36E+06	1.86E+06	3.71E+06
SPO3111	SPO3111						
SPO3112	SPO3112						
SPO3113	SPO3113						
SPO3114	SPO3114						
SPO3115	SPO3115						
SPO3116	SPO3116						1.86E+06
SPO3117	SPO3117						
SPO3118	SPO3118						
SPO3119	SPO3119						
SPO3120	SPO3120						
SPO3121	SPO3121						
SPO3122	SPO3122						
SPO3123	SPO3123						
SPO3124	SPO3124						
SPO3125	SPO3125						
SPO3126	SPO3126						
SPO3127	SPO3127						
SPO3128	SPO3128				1.92E+07	1.81E+07	1.57E+07
SPO3129	SPO3129						
SPO3130	SPO3130						
SPO3132	SPO3132						
SPO3133	SPO3133					2.56E+06	7.05E+06
SPO3134	SPO3134						
SPO3135	SPO3135						
SPO3136	SPO3136				1.13E+07	1.23E+07	1.24E+07
SPO3137	SPO3137				4.25E+06	3.67E+06	5.24E+06
SPO3138	SPO3138						
SPO3139	SPO3139						
SPO3140	SPO3140						
SPO3141	SPO3141						
SPO3142	SPO3142						
SPO3143	SPO3143					2.41E+06	
SPO3144	SPO3144						
SPO3145	SPO3145				3.29E+06		
SPO3146	SPO3146						
SPO3147	SPO3147				4.69E+07	4.70E+07	4.92E+07
SPO3148	SPO3148						
SPO3149	SPO3149						
SPO3150	SPO3150						
SPO3151	SPO3151				7.84E+06	1.03E+07	1.09E+07
SPO3152	SPO3152						1.63E+06
SPO3153	SPO3153						
SPO3154	SPO3154					3.99E+06	
SPO3155	SPO3155						
SPO3156	SPO3156				7.56E+06	9.33E+06	5.64E+06
SPO3157	SPO3157				2.48E+06	2.52E+06	2.44E+06
SPO3158	SPO3158				4.83E+06	1.33E+06	2.63E+06
SPO3159	SPO3159				8.00E+06	9.36E+06	1.01E+07
SPO3160	SPO3160						
SPO3161	SPO3161					7.01E+06	2.68E+06
SPO3162	SPO3162				1.31E+07	1.34E+07	1.03E+07
SPO3163	SPO3163						1.05E+06
SPO3164	SPO3164				2.02E+07	1.46E+07	1.55E+07
SPO3165	SPO3165				8.18E+07	1.66E+06	
