Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0332	SPO0332				1.36E+07	1.26E+07	1.35E+07
SPO0334	SPO0334				4.28E+06	4.13E+06	4.30E+06
SPO0335	SPO0335				1.44E+06	1.44E+06	1.52E+06
SPO0336	SPO0336				6.25E+06	6.64E+06	6.96E+06
SPO0337	SPO0337				1.93E+06	1.87E+06	1.98E+06
SPO0338	SPO0338				2.40E+06	2.43E+06	2.29E+06
SPO0339	SPO0339				2.45E+06	2.16E+06	2.26E+06
SPO0340	SPO0340				1.74E+07	1.74E+07	1.72E+07
SPO0342	SPO0342				1.01E+06	934842	948201
SPO0343	SPO0343				2.38E+07	2.37E+07	2.50E+07
SPO0344	SPO0344				9.52E+06	9.33E+06	9.66E+06
SPO0344a	SPO0344a				1.60E+06	1.54E+06	1.41E+06
SPO0345	SPO0345				1.24E+06	1.03E+06	1.07E+06
SPO0346	SPO0346				4.27E+07	4.34E+07	4.19E+07
SPO0346a	SPO0346a				3.30E+06	3.23E+06	3.45E+06
SPO0347	SPO0347				4.51E+07	4.34E+07	4.53E+07
SPO0348	SPO0348				2.09E+06	1.92E+06	1.81E+06
SPO0349	SPO0349				8.04E+07	8.05E+07	8.05E+07
SPO0352	SPO0352				4.79E+06	4.64E+06	4.80E+06
SPO0353	SPO0353				652059	512949	658285
SPO0354	SPO0354				631706	665861	680134
SPO0355	SPO0355				1.27E+07	1.25E+07	1.25E+07
SPO0356	SPO0356				338719	288384	307383
SPO0357	SPO0357				115084	100555	121406
SPO0358	SPO0358				1.07E+06	1.06E+06	915953
SPO0359	SPO0359				1.16E+06	1.10E+06	940683
SPO0360	SPO0360				2.73E+07	2.87E+07	2.79E+07
SPO0360a	SPO0360a				3.01E+07	3.68E+07	3.13E+07
SPO0361	SPO0361				1.02E+07	9.63E+06	1.01E+07
SPO0362	SPO0362				1.37E+06	1.17E+06	1.13E+06
SPO0365	SPO0365				1.77E+06	1.73E+06	1.69E+06
SPO0366	SPO0366				2.79E+06	2.82E+06	2.59E+06
SPO0367	SPO0367				2.59E+07	2.70E+07	2.69E+07
SPO0368	SPO0368				3.53E+06	3.57E+06	3.60E+06
SPO0369	SPO0369				1.07E+06	855528	1.06E+06
SPO0370	SPO0370				1.24E+07	1.25E+07	1.13E+07
SPO0371	SPO0371				1.44E+06	1.19E+06	1.22E+06
SPO0372	SPO0372				161312	128855	141448
SPO0373	SPO0373				2.17E+06	2.14E+06	2.17E+06
SPO0374	SPO0374				1.64E+06	1.61E+06	1.68E+06
SPO0375	SPO0375				279187	172495	210192
SPO0376	SPO0376				3.19E+06	2.94E+06	3.17E+06
SPO0377	SPO0377				196699	221397	200499
SPO0378	SPO0378				2.78E+06	2.76E+06	2.85E+06
SPO0379	SPO0379				1.68E+07	1.72E+07	1.85E+07
SPO0380	SPO0380				16536.1	15184.1	37360.5
SPO0381	SPO0381				625202	735521	837558
SPO0382	SPO0382				9.77E+06	9.93E+06	1.07E+07
SPO0383	SPO0383				82381.6	85141.4	92646.9
SPO0384	SPO0384				443847	417423	455148
SPO0385	SPO0385				1.85E+06	1.75E+06	1.65E+06
SPO0386	SPO0386				4.42E+06	4.19E+06	4.30E+06
SPO0387	SPO0387				119143	90287	95261.4
SPO0388	SPO0388				4.91E+06	5.14E+06	5.26E+06
SPO0389	SPO0389				845622	860064	944423
SPO0390	SPO0390				288616	246498	257312
SPO0391	SPO0391				1.34E+06	1.44E+06	1.28E+06
SPO0392	SPO0392				2.23E+07	2.42E+07	2.46E+07
SPO0393	SPO0393				1.21E+06	1.20E+06	1.19E+06
SPO0395	SPO0395				1.05E+06	1.12E+06	1.16E+06
SPO0396	SPO0396				150481	127936	104492
SPO0397	SPO0397				2.13E+06	1.98E+06	1.98E+06
SPO0398	SPO0398				3.72E+07	3.81E+07	3.97E+07
SPO0399	SPO0399				1.31E+06	1.29E+06	1.26E+06
SPO0400	SPO0400				97370.1	89848.8	88865.7
SPO0401	SPO0401				9.62E+06	9.57E+06	9.68E+06
SPO0402	SPO0402				447199	450620	442174
SPO0403	SPO0403				2.99E+06	3.08E+06	3.35E+06
SPO0404	SPO0404				1.09E+06	991589	956179
SPO0405	SPO0405				885434	982097	949720
SPO0406	SPO0406				154931	148958	146655
SPO0407	SPO0407				841256	858746	796689
SPO0408	SPO0408				5.47E+06	5.60E+06	5.42E+06
SPO0409	SPO0409				5.05E+06	5.24E+06	5.22E+06
SPO0410	SPO0410				1.13E+06	1.12E+06	1.17E+06
SPO0411	SPO0411				134343	166043	175809
SPO0412	SPO0412				1.33E+07	1.42E+07	1.29E+07
SPO0413	SPO0413				805400	747113	735622
SPO0414	SPO0414				7.74E+06	7.67E+06	7.73E+06
SPO0415	SPO0415				5.44E+06	5.02E+06	4.73E+06
SPO0416	SPO0416				494917	417388	422821
SPO0417	SPO0417				1.53E+06	1.58E+06	1.63E+06
SPO0418	SPO0418				592198	503807	563043
SPO0419	SPO0419				2.16E+06	2.43E+06	2.59E+06
SPO0420	SPO0420				1.49E+07	1.53E+07	1.49E+07
SPO0421	SPO0421				1.04E+06	1.01E+06	978772
SPO0422	SPO0422				1.11E+07	1.08E+07	1.11E+07
SPO0423	SPO0423				242315	307403	306711
SPO0424	SPO0424				112076	96435.9	128152
SPO0425	SPO0425				2.14E+06	2.03E+06	2.29E+06
SPO0426	SPO0426				4.18E+06	4.03E+06	4.06E+06
SPO0428	SPO0428				1.84E+06	1.94E+06	1.85E+06
SPO0429	SPO0429				1.17E+06	1.17E+06	1.15E+06
SPO0430	SPO0430				5.84E+06	5.69E+06	5.74E+06
SPO0431	SPO0431				597298	540599	548528
SPO0432	SPO0432				955985	1.01E+06	703634
