Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0607	SPO0607				581558	625267	660735
SPO0608	SPO0608				2.76E+07	2.69E+07	2.99E+07
SPO0609	SPO0609				4.16E+06	4.09E+06	4.45E+06
SPO0610	SPO0610				1.24E+07	1.22E+07	1.29E+07
SPO0611	SPO0611				4.86E+06	4.30E+06	4.38E+06
SPO0612	SPO0612				1.27E+06	1.07E+06	1.18E+06
SPO0613	SPO0613				2.62E+06	2.45E+06	2.69E+06
SPO0614	SPO0614				352825	358890	389545
SPO0615	SPO0615				461110	378700	452951
SPO0616	SPO0616				6.47E+06	6.91E+06	6.84E+06
SPO0618	SPO0618				384716	440756	476413
SPO0621	SPO0621				256975	246123	242868
SPO0624	SPO0624				700103	592566	670280
SPO0628a	SPO0628a				1.22E+06	1.28E+06	1.35E+06
SPO0629	SPO0629				136704	122960	123519
SPO0631	SPO0631				4.29E+06	4.30E+06	4.12E+06
SPO0632	SPO0632				1.40E+07	1.38E+07	1.30E+07
SPO0633	SPO0633				9.66E+06	9.58E+06	1.01E+07
SPO0634	SPO0634				3.82E+06	3.94E+06	4.12E+06
SPO0635	SPO0635				2.30E+06	2.21E+06	2.26E+06
SPO0636	SPO0636				98354.2	87869.1	73196
SPO0638	SPO0638				276651	280014	277378
SPO0639	SPO0639				467485	422479	410640
SPO0640	SPO0640				418832	470547	328787
SPO0641	SPO0641				868212	894079	875735
SPO0642	SPO0642				2.62E+06	2.63E+06	2.72E+06
SPO0643	SPO0643				5.99E+06	5.39E+06	5.49E+06
SPO0644	SPO0644				1.68E+07	1.23E+07	1.31E+07
SPO0645	SPO0645				4.25E+06	3.86E+06	4.01E+06
SPO0646	SPO0646				23657.9	23840	25456.6
SPO0647	SPO0647				52376.6	43734.6	44063.9
SPO0648	SPO0648				2.62E+07	2.55E+07	2.49E+07
SPO0649	SPO0649				466044	450886	445726
SPO0650	SPO0650				612237	671953	705545
SPO0651	SPO0651				2.87E+06	2.82E+06	3.02E+06
SPO0652	SPO0652				337090	308550	310671
SPO0653	SPO0653				451254	432498	457925
SPO0654	SPO0654				541771	512337	557962
SPO0655	SPO0655				39071.6	19305.1	12950.7
SPO0656	SPO0656				2.60E+06	2.37E+06	2.42E+06
SPO0657	SPO0657				76798.4	76992.8	73207.3
SPO0658	SPO0658				1.25E+06	1.16E+06	1.27E+06
SPO0659	SPO0659				474206	510037	513125
SPO0660	SPO0660				1.10E+06	1.05E+06	1.14E+06
SPO0663	SPO0663				152578	158390	85761.4
SPO0664	SPO0664				368349	387656	303328
SPO0665	SPO0665				610180	558815	527813
SPO0666	SPO0666				271754	271996	255752
SPO0667	SPO0667				8.44E+06	8.55E+06	8.76E+06
SPO0668	SPO0668				5.53E+06	5.40E+06	5.56E+06
SPO0669	SPO0669				5.05E+06	4.86E+06	4.58E+06
SPO0670	SPO0670				278734	311931	339175
SPO0671	SPO0671				198538	178692	186231
SPO0672	SPO0672				433458	350568	391791
SPO0673	SPO0673				9.03E+06	8.94E+06	9.61E+06
SPO0674	SPO0674				1.30E+06	1.28E+06	1.39E+06
SPO0675	SPO0675				864151	803865	820410
SPO0676	SPO0676				404420	368265	418132
SPO0677	SPO0677				1.34E+06	1.25E+06	1.32E+06
SPO0678	SPO0678				1.26E+06	1.25E+06	1.30E+06
SPO0679	SPO0679				1.90E+06	1.73E+06	1.69E+06
SPO0680	SPO0680				701248	663363	562110
SPO0681	SPO0681				37606.9	15871.4	9723.94
SPO0682	SPO0682				1.18E+06	1.21E+06	989412
SPO0683	SPO0683				4.78E+06	4.88E+06	4.73E+06
SPO0684	SPO0684				283181	254917	207708
SPO0685	SPO0685				2.51E+06	2.38E+06	2.42E+06
SPO0686	SPO0686				1.57E+06	1.50E+06	1.55E+06
SPO0687	SPO0687				1.75E+06	1.81E+06	1.88E+06
SPO0688	SPO0688				3.08E+06	2.99E+06	3.01E+06
SPO0689	SPO0689				5.25E+06	5.53E+06	5.20E+06
SPO0690	SPO0690				487163	469950	525330
SPO0691	SPO0691				5.76E+06	5.28E+06	5.36E+06
SPO0692	SPO0692				536890	565320	503787
SPO0693	SPO0693				1.05E+07	9.67E+06	1.01E+07
SPO0694	SPO0694				244101	236753	225133
SPO0695	SPO0695				632843	602326	536176
SPO0697	SPO0697				3.94E+06	3.59E+06	3.45E+06
SPO0699	SPO0699				181252	193174	157320
SPO0700	SPO0700				715956	644535	667428
SPO0701	SPO0701				6.66E+07	7.06E+07	6.61E+07
SPO0702	SPO0702				1.02E+06	995721	1.08E+06
SPO0703	SPO0703				700104	663507	674613
SPO0704	SPO0704				772560	749548	782588
SPO0705	SPO0705				802506	649676	714841
SPO0706	SPO0706				1.76E+07	1.79E+07	1.94E+07
SPO0707	SPO0707				1.79E+06	1.73E+06	1.70E+06
SPO0708	SPO0708				340550	321482	307532
SPO0709	SPO0709				3.29E+07	3.18E+07	3.03E+07
SPO0710	SPO0710				7.29E+06	7.44E+06	7.51E+06
SPO0711	SPO0711				4.46E+06	4.25E+06	4.43E+06
SPO0712	SPO0712				1.05E+06	1.01E+06	977346
SPO0713	SPO0713				3.09E+06	3.06E+06	2.73E+06
SPO0714	SPO0714				3.26E+06	3.29E+06	3.07E+06
SPO0715	SPO0715				213428	241735	230919
SPO0716	SPO0716				4.91E+06	4.95E+06	4.93E+06
SPO0717	SPO0717				1.15E+07	1.24E+07	1.17E+07
SPO0718	SPO0718				352210		115046
SPO0719	SPO0719				3.73E+07	3.55E+07	3.53E+07
SPO0720	SPO0720				7.05E+07	7.47E+07	6.98E+07
SPO0721	SPO0721				167490	150401	136208
SPO0722	SPO0722				1.23E+07	1.24E+07	1.29E+07
SPO0724	SPO0724				1.96E+06	1.81E+06	1.72E+06
SPO0725	SPO0725				670600	639319	633384
SPO0726	SPO0726				5.05E+06	4.59E+06	4.77E+06
SPO0727	SPO0727				6.09E+06	6.49E+06	6.70E+06
SPO0728	SPO0728				2.28E+08	2.40E+08	2.33E+08
SPO0729	SPO0729				3.94E+06	3.98E+06	3.96E+06
SPO0731	SPO0731				1.27E+07	1.37E+07	1.33E+07
SPO0732	SPO0732				2.35E+07	2.36E+07	2.33E+07
SPO0733	SPO0733				1.41E+06	1.42E+06	1.43E+06
SPO0734	SPO0734				1.80E+06	1.80E+06	1.73E+06
SPO0735	SPO0735				1.63E+06	1.65E+06	1.64E+06
SPO0736	SPO0736				268085	412410	390348
SPO0738	SPO0738				156728	187559	169239
SPO0739	SPO0739				162777	69354.6	121160
SPO0740	SPO0740				127667	223731	280032
SPO0741	SPO0741				641998	593960	614636
SPO0742	SPO0742				2.98E+06	2.84E+06	2.83E+06
SPO0743	SPO0743				3.41E+06	2.87E+06	2.96E+06
SPO0744	SPO0744				326471	330473	327334
SPO0745	SPO0745				463156	450848	435188
SPO0746	SPO0746				1.27E+06	1.22E+06	1.20E+06
SPO0747	SPO0747				62013.2	105923	87739.7
SPO0750	SPO0750				289918	275882	295803
SPO0751	SPO0751				964062	947669	900631
SPO0752	SPO0752				5.29E+06	5.60E+06	5.54E+06
SPO0753	SPO0753				1.10E+06	1.00E+06	1.14E+06
SPO0754	SPO0754				730707	728892	808401
SPO0755	SPO0755				2.38E+06	2.20E+06	2.44E+06
SPO0756	SPO0756				2.20E+06	2.27E+06	2.56E+06
SPO0757	SPO0757				2.10E+06	1.83E+06	2.12E+06
SPO0758	SPO0758				3.76E+06	4.03E+06	4.36E+06
SPO0759	SPO0759				840103	787119	888507
SPO0760	SPO0760				98715.2	70349.3	79634.9
SPO0761	SPO0761				1.30E+06	1.25E+06	1.16E+06
SPO0762	SPO0762				1.43E+06	1.41E+06	1.35E+06
SPO0763	SPO0763				368210	306758	334985
SPO0764	SPO0764				287248	289773	295788
SPO0765	SPO0765				795007	773542	801453
SPO0766	SPO0766				266560	351378	319407
SPO0767	SPO0767				8.54E+06	8.57E+06	8.56E+06
SPO0768	SPO0768				1.64E+06	1.56E+06	1.46E+06
SPO0769	SPO0769				393668	350284	428806
SPO0770	SPO0770						11960.8
SPO0771	SPO0771				48456.9	44028.4	42035.5
SPO0772	SPO0772				2.41E+06	2.34E+06	2.38E+06
SPO0773	SPO0773				8.33E+06	8.49E+06	8.49E+06
SPO0774	SPO0774				925120	871774	908460
SPO0775	SPO0775				910906	878744	833050
SPO0776	SPO0776				333337	273928	291625
SPO0777	SPO0777				681918	637150	736607
SPO0778	SPO0778				420432	414255	389711
SPO0779	SPO0779				7.83E+06	8.77E+06	8.49E+06
SPO0781	SPO0781					10672.8	
SPO0785	SPO0785				2.25E+06	2.06E+06	2.08E+06
SPO0786	SPO0786				4.94E+06	5.11E+06	4.42E+06
SPO0787	SPO0787				850030	794109	794915
SPO0788	SPO0788				123041	102118	91404.3
SPO0789	SPO0789					24857.6	22073.2
SPO0790	SPO0790				555679		134864
SPO0791	SPO0791				5.61E+06	5.67E+06	5.78E+06
SPO0792	SPO0792				1.88E+07	1.89E+07	1.75E+07
SPO0793	SPO0793				294673	249171	254499
SPO0794	SPO0794				719798	760579	748312
SPO0795	SPO0795				247743	166789	204943
SPO0796	SPO0796				253830	233173	300457
SPO0798	SPO0798				366262	315524	361102
SPO0799	SPO0799				674440	662150	641373
SPO0800	SPO0800				246099	232745	233557
SPO0801	SPO0801				652044	707377	731026
SPO0802	SPO0802				7.30E+07	7.60E+07	7.85E+07
SPO0803	SPO0803				319522	275569	257628
SPO0804	SPO0804				7.99E+06	8.99E+06	8.57E+06
SPO0805	SPO0805				648324	858880	741831
SPO0806	SPO0806				2.37E+06	2.56E+06	2.40E+06
SPO0808	SPO0808				1.23E+07	1.17E+07	1.16E+07
SPO0809	SPO0809				1.16E+06	1.09E+06	1.01E+06
SPO0810	SPO0810				4.23E+06	4.03E+06	4.15E+06
SPO0811	SPO0811				3.03E+06	3.05E+06	2.98E+06
SPO0812	SPO0812				1.31E+08	1.40E+08	1.33E+08
SPO0813	SPO0813				2.20E+07	2.40E+07	2.39E+07
SPO0814	SPO0814				3.34E+06	2.98E+06	2.85E+06
SPO0815	SPO0815				1.29E+07	1.41E+07	1.40E+07
SPO0816	SPO0816				107039	88052.1	112768
SPO0817	SPO0817				1.02E+07	1.01E+07	1.03E+07
SPO0818	SPO0818				629917	648765	597398
SPO0819	SPO0819				3.61E+06	3.58E+06	3.64E+06
SPO0820	SPO0820				4.74E+06	5.02E+06	4.98E+06
SPO0821	SPO0821				2.10E+06	1.70E+06	1.84E+06
SPO0822	SPO0822				993735	992119	988816
SPO0823	SPO0823				1.32E+06	1.24E+06	1.17E+06
SPO0824	SPO0824				554033	506732	519292
SPO0825	SPO0825				8.94E+06	9.05E+06	9.13E+06
SPO0826	SPO0826				2.40E+06	2.51E+06	2.27E+06
SPO0827	SPO0827				2.59E+06	2.51E+06	2.49E+06
SPO0828	SPO0828				277548	290089	291893
SPO0829	SPO0829				1.98E+06	1.82E+06	1.85E+06
SPO0830	SPO0830				2.35E+06	2.41E+06	2.27E+06
SPO0831	SPO0831				1.67E+06	1.76E+06	1.68E+06
SPO0832	SPO0832				1.39E+06	1.27E+06	1.23E+06
SPO0833	SPO0833				1.80E+06	1.73E+06	1.69E+06
SPO0834	SPO0834				1.70E+06	1.56E+06	1.51E+06
SPO0835	SPO0835				2.31E+06	2.27E+06	2.15E+06
SPO0836	SPO0836				4.14E+06	3.85E+06	3.45E+06
SPO0837	SPO0837				194017	170588	187319
SPO0838	SPO0838				1.81E+06	1.70E+06	1.85E+06
SPO0839	SPO0839				302829	276674	279464
SPO0840	SPO0840				653664	597532	635145
SPO0841	SPO0841				187104	198099	191956
SPO0842	SPO0842				1.43E+06	1.33E+06	1.38E+06
SPO0843	SPO0843				1.07E+06	1.04E+06	998469
SPO0844	SPO0844				1.27E+06	1.09E+06	1.06E+06
SPO0845	SPO0845				2.10E+06	1.82E+06	1.94E+06
SPO0846	SPO0846				558407	501895	495082
SPO0847	SPO0847				2.42E+06	2.35E+06	2.30E+06
SPO0848	SPO0848				789680	715329	668379
SPO0849	SPO0849				1.11E+06	1.04E+06	1.01E+06
SPO0850	SPO0850				60370.5	50604.1	58281.1
SPO0851	SPO0851				1.47E+06	1.37E+06	1.41E+06
SPO0852	SPO0852				1.09E+06	1.07E+06	1.07E+06
SPO0853	SPO0853				835891	822162	776095
SPO0854	SPO0854				557248	566635	563546
SPO0855	SPO0855				360710	348151	356517
SPO0856	SPO0856				524930	458710	479853
SPO0857	SPO0857				207385	182050	175337
SPO0858	SPO0858				252346	198425	246158
SPO0859	SPO0859				516865	431767	363226
SPO0860	SPO0860				744226	706690	707690
SPO0861	SPO0861				1.55E+06	1.41E+06	1.57E+06
SPO0862	SPO0862				195903	146250	190798
SPO0863	SPO0863				318186	307999	359713
SPO0864	SPO0864				401533	407460	380165
SPO0865	SPO0865				301316	291038	265172
SPO0866	SPO0866				1.73E+06	1.75E+06	1.67E+06
SPO0867	SPO0867				623526	653733	658800
SPO0868	SPO0868				1.10E+06	1.06E+06	1.08E+06
SPO0869	SPO0869				439802	368409	392145
SPO0870	SPO0870				2.64E+06	2.65E+06	2.61E+06
SPO0871	SPO0871				1.11E+06	931344	864802
SPO0872	SPO0872				744191	660275	653511
SPO0873	SPO0873				424381	462207	432486
SPO0874	SPO0874				115561	90696.1	116690
SPO0875	SPO0875				3.25E+06	3.46E+06	3.59E+06
SPO0876	SPO0876				1.03E+06	1.07E+06	1.06E+06
SPO0876a	SPO0876a				2.97E+06	2.83E+06	2.79E+06
SPO0877	SPO0877				561525	543528	558528
SPO0878	SPO0878				457475	628670	598463
SPO0879	SPO0879				6.15E+06	6.23E+06	5.95E+06
SPO0880	SPO0880				1.16E+06	1.09E+06	1.12E+06
SPO0881	SPO0881				3.07E+06	3.09E+06	3.06E+06
SPO0882	SPO0882				104180	73473.8	75049.8
SPO0883	SPO0883				494088	457506	530689
SPO0884	SPO0884				1.34E+06	1.28E+06	1.39E+06
SPO0885	SPO0885				2.92E+06	2.98E+06	2.85E+06
SPO0886	SPO0886				9.26E+07	1.01E+08	1.10E+08
SPO0887	SPO0887				1.41E+08	1.44E+08	1.53E+08
SPO0888	SPO0888				3.69E+06	3.90E+06	4.11E+06
SPO0889	SPO0889				170941	269919	245474
SPO0890	SPO0890				967493	865477	854435
SPO0891	SPO0891				931032	877544	908727
SPO0892	SPO0892				6.12E+06	5.98E+06	5.98E+06
SPO0893	SPO0893				5.54E+06	6.34E+06	5.73E+06
SPO0894	SPO0894				870997	603567	694556
SPO0895	SPO0895				2.25E+06	2.19E+06	1.97E+06
SPO0896	SPO0896				128001	121744	94157.9
SPO0897	SPO0897				3.97E+06	3.98E+06	3.92E+06
SPO0898	SPO0898				1.67E+06	1.65E+06	1.62E+06
SPO0899	SPO0899				2.51E+06	2.45E+06	2.44E+06
SPO0900	SPO0900				3.11E+07	3.13E+07	3.15E+07
SPO0901	SPO0901				584372	533935	486670
SPO0902	SPO0902				1.79E+06	1.84E+06	1.80E+06
SPO0903	SPO0903				1.06E+07	1.05E+07	1.05E+07
SPO0904	SPO0904				5.57E+06	5.40E+06	5.36E+06
SPO0905	SPO0905				144234	145531	152998
SPO0906	SPO0906				2.62E+06	2.57E+06	2.69E+06
SPO0907	SPO0907				1.15E+06	1.14E+06	1.15E+06
SPO0908	SPO0908				689416	546384	553656
SPO0909	SPO0909				2.45E+06	1.66E+06	1.79E+06
SPO0910	SPO0910				33008.9	44931.1	49355.5
SPO0911	SPO0911				5.14E+06	5.21E+06	5.32E+06
SPO0912	SPO0912				2.50E+06	2.73E+06	2.56E+06
SPO0913	SPO0913				5.71E+06	5.50E+06	5.55E+06
SPO0914	SPO0914				3.12E+06	3.45E+06	3.22E+06
SPO0915	SPO0915				4.21E+06	4.29E+06	4.58E+06
SPO0916	SPO0916				375756	316177	362469
SPO0917	SPO0917				90838	80796.1	74858.9
SPO0918	SPO0918				3.73E+06	3.58E+06	3.83E+06
SPO0919	SPO0919				153350	181250	179887
SPO0920	SPO0920				2.01E+06	2.16E+06	2.18E+06
SPO0921	SPO0921				1.16E+06	1.17E+06	1.24E+06
SPO0922	SPO0922				769007	584808	564000
SPO0923	SPO0923				2.16E+07	2.24E+07	2.32E+07
SPO0924	SPO0924				677438	648026	635299
SPO0925	SPO0925				822213	885583	873838
SPO0926	SPO0926				1.63E+07	1.55E+07	1.65E+07
SPO0928	SPO0928				2.01E+06	1.79E+06	1.86E+06
SPO0929	SPO0929				949967	902894	948683
SPO0931	SPO0931				333592	297073	300573
SPO0932	SPO0932				7.29E+06	8.14E+06	7.16E+06
SPO0933	SPO0933				318101	285599	207754
SPO0934	SPO0934				271183	202990	226089
SPO0935	SPO0935				4.95E+06	5.12E+06	5.45E+06
SPO0936	SPO0936						
SPO0937	SPO0937				448312	422338	459531
SPO0938	SPO0938				4.26E+06	3.88E+06	4.49E+06
SPO0939	SPO0939				8.05E+06	8.30E+06	7.95E+06
SPO0940	SPO0940				1.89E+06	1.81E+06	1.78E+06
SPO0941	SPO0941				195008	235890	169466
SPO0942	SPO0942				92906.5	86164.4	65155.8
SPO0943	SPO0943				7.84E+06	9.48E+06	8.85E+06
SPO0944	SPO0944				2.41E+06	2.30E+06	2.19E+06
SPO0945	SPO0945				4.29E+06	4.60E+06	4.62E+06
SPO0946	SPO0946				1.01E+07	9.99E+06	1.04E+07
SPO0947	SPO0947				1.53E+07	1.58E+07	1.72E+07
SPO0948	SPO0948				3.64E+06	3.35E+06	3.70E+06
SPO0949	SPO0949				2.22E+06	2.11E+06	2.48E+06
SPO0950	SPO0950				605451	482943	450512
SPO0951	SPO0951				804280	731216	711191
SPO0953	SPO0953				1.51E+07	1.40E+07	1.49E+07
SPO0954	SPO0954				2.51E+06	2.60E+06	2.63E+06
SPO0955	SPO0955				2.52E+06	2.38E+06	2.35E+06
SPO0956	SPO0956				1.10E+07	1.12E+07	1.16E+07
SPO0957	SPO0957				130943	78504.7	77033.2
SPO0958	SPO0958				124497	87986.8	96953.9
SPO0961	SPO0961				3.57E+06	3.87E+06	3.98E+06
SPO0962	SPO0962				7.26E+06	7.35E+06	7.64E+06
SPO0963	SPO0963				8.59E+06	8.20E+06	7.94E+06
SPO0964	SPO0964				1.05E+06	1.01E+06	1.12E+06
SPO0965	SPO0965				1.22E+06	1.15E+06	1.14E+06
SPO0966	SPO0966				415692	355989	412926
SPO0967	SPO0967				3.04E+06	2.56E+06	3.05E+06
SPO0968	SPO0968				1.60E+06	1.66E+06	1.67E+06
SPO0971	SPO0971				907793	908874	927246
SPO0972	SPO0972				1.12E+06	1.09E+06	1.12E+06
SPO0973	SPO0973				4.66E+06	4.88E+06	4.26E+06
SPO0974	SPO0974				3.78E+07	4.31E+07	4.01E+07
SPO0975	SPO0975					269854	284422
SPO0976	SPO0976				9.76E+07	9.34E+07	8.32E+07
SPO0977	SPO0977				480750	466834	459910
SPO0978	SPO0978				378996	390148	347546
SPO0979	SPO0979				927160	937743	1.05E+06
SPO0980	SPO0980				2.10E+06	2.01E+06	2.00E+06
SPO0981	SPO0981				193045	120671	155157
SPO0982	SPO0982				855940	838012	831439
SPO0983	SPO0983				6.57E+06	6.28E+06	6.68E+06
SPO0985	SPO0985				1.68E+06	1.83E+06	1.83E+06
SPO0986	SPO0986				1.36E+06	1.28E+06	1.23E+06
SPO0987	SPO0987				2.14E+06	2.11E+06	2.18E+06
SPO0989	SPO0989				1.66E+06	1.38E+06	1.43E+06
SPO0990	SPO0990				71309.6	68028.8	56797.2
SPO0992	SPO0992				753839	646638	597828
SPO0993	SPO0993				80115		
SPO0994	SPO0994				2.59E+06	2.85E+06	2.85E+06
SPO0995	SPO0995				1.99E+06	2.17E+06	2.24E+06
SPO0996	SPO0996				675824	673200	752774
SPO0997	SPO0997				681058	735772	745933
SPO0998	SPO0998				344472	322622	340776
SPO0999	SPO0999					64779.4	60126
SPO1001	SPO1001				1.52E+06	1.52E+06	1.59E+06
SPO1002	SPO1002				1.18E+06	1.20E+06	1.14E+06
SPO1003	SPO1003				5.70E+07	5.91E+07	5.71E+07
SPO1004	SPO1004				2.25E+07	2.38E+07	2.40E+07
SPO1005	SPO1005				4.61E+06	4.49E+06	4.94E+06
SPO1006	SPO1006				1.28E+07	1.29E+07	1.31E+07
SPO1007	SPO1007				8.03E+06	8.24E+06	8.06E+06
SPO1008	SPO1008				2.94E+06	2.64E+06	2.65E+06
SPO1009	SPO1009				520006	406366	484836
SPO1010	SPO1010				1.36E+07	1.38E+07	1.32E+07
SPO1011	SPO1011				1.51E+07	1.41E+07	1.63E+07
SPO1012	SPO1012				931285	967117	961364
SPO1013	SPO1013				480939	506229	450950
SPO1014	SPO1014				122626	124740	122273
SPO1015	SPO1015				248799	210422	228624
SPO1016	SPO1016				665222	653291	683040
SPO1017	SPO1017				136445	130015	144894
SPO1018	SPO1018				221160	182142	226658
SPO1019	SPO1019				75673		44883.8
SPO1020	SPO1020						
SPO1021	SPO1021				306736	320568	362065
SPO1022	SPO1022				2.08E+06	1.90E+06	1.87E+06
SPO1023	SPO1023				911030	904979	993111
SPO1024	SPO1024				254452	211032	145955
SPO1025	SPO1025				287478	302396	291411
SPO1026	SPO1026				1.15E+06	493560	1.43E+06
SPO1027	SPO1027				6.04E+06	6.01E+06	6.49E+06
SPO1028	SPO1028				1.08E+06	642837	786119
SPO1029	SPO1029				235490	208008	195709
SPO1030	SPO1030				3.22E+06	3.26E+06	3.30E+06
SPO1031	SPO1031				491456	346902	328510
SPO1032	SPO1032				671177	536264	560139
SPO1033	SPO1033				4.67E+06	3.00E+06	4.03E+06
SPO1034	SPO1034				6.61E+06	5.98E+06	6.04E+06
SPO1036	SPO1036				557052	536081	556098
SPO1037	SPO1037				1.15E+06	1.04E+06	1.17E+06
SPO1041	SPO1041				256218	207600	248923
SPO1044	SPO1044				72091.8	75787.4	82617.9
SPO1044a	SPO1044a				2.11E+06	2.04E+06	1.78E+06
SPO1045	SPO1045				646214	646837	661114
SPO1046	SPO1046				2.39E+06	2.20E+06	2.33E+06
SPO1047	SPO1047				1.80E+06	1.77E+06	1.80E+06
SPO1048	SPO1048				2.22E+06	2.18E+06	2.19E+06
SPO1049	SPO1049				2.63E+06	2.49E+06	2.64E+06
SPO1051	SPO1051					30452.1	
SPO1053	SPO1053				960720	945775	935202
SPO1054	SPO1054					79196.6	
SPO1055	SPO1055				9219.21		
SPO1056	SPO1056				88986.1	79298.2	83236.2
SPO1057	SPO1057				937428	968913	947760
SPO1058	SPO1058				762251	763936	840345
SPO1059	SPO1059				1.48E+06	1.39E+06	1.60E+06
SPO1060	SPO1060				176633	138606	175031
SPO1061	SPO1061				636940	575748	629658
SPO1062	SPO1062				4.73E+06	4.65E+06	5.45E+06
SPO1063	SPO1063				274886	242598	315586
SPO1064	SPO1064				760046	756119	836782
SPO1065	SPO1065				1.70E+06	1.64E+06	1.71E+06
SPO1066	SPO1066				2.64E+06	2.55E+06	2.41E+06
SPO1067	SPO1067				32142.5	51232	44383.3
SPO1068	SPO1068				1.04E+06	989727	1.04E+06
SPO1069	SPO1069				3.03E+06	2.74E+06	2.99E+06
SPO1070	SPO1070				522526	479645	494314
SPO1071	SPO1071				465461	366582	435001
SPO1072	SPO1072				2.09E+07	2.30E+07	2.30E+07
SPO1073	SPO1073				258783	247267	267151
SPO1076	SPO1076				969534	873170	891200
SPO1077	SPO1077				400519	383961	384239
SPO1078	SPO1078				482780	458178	481287
SPO1080	SPO1080				20185.6	22182.7	14465.8
SPO1081	SPO1081				1.24E+06	1.35E+06	1.39E+06
SPO1082	SPO1082				1.85E+06	1.76E+06	1.73E+06
SPO1083	SPO1083				1.79E+06	1.71E+06	1.77E+06
SPO1084	SPO1084				87759.9	59824.4	60236
SPO1085	SPO1085				7.75E+06	8.36E+06	8.66E+06
SPO1086	SPO1086				3.62E+06	3.38E+06	3.26E+06
SPO1087	SPO1087					3235.78	
SPO1088	SPO1088				226378	243469	232270
SPO1089	SPO1089				4.08E+06	3.03E+06	2.98E+06
SPO1090	SPO1090				1.14E+06	1.12E+06	1.14E+06
SPO1091	SPO1091				109725	110639	64735.2
SPO1092	SPO1092				828197	784708	784308
SPO1093	SPO1093				460160	368939	348735
SPO1094	SPO1094				3.52E+06	3.53E+06	3.57E+06
SPO1094a	SPO1094a				1.30E+06	1.26E+06	1.30E+06
SPO1096	SPO1096				569878	616179	815918
SPO1097	SPO1097				1.84E+06	2.08E+06	1.83E+06
SPO1101	SPO1101				8.51E+06	8.30E+06	8.78E+06
SPO1102	SPO1102				638285	699828	729828
SPO1103	SPO1103				1.66E+06	1.57E+06	1.49E+06
SPO1104	SPO1104					119941	
SPO1105	SPO1105				5.58E+06	5.41E+06	5.70E+06
SPO1106	SPO1106				712761	607314	593230
SPO1107	SPO1107				463665	420346	439026
SPO1108	SPO1108				2.28E+06	2.28E+06	2.21E+06
SPO1109	SPO1109				454028	405111	330267
SPO1110	SPO1110				1.33E+06	1.23E+06	1.28E+06
SPO1111	SPO1111				191397	243946	157128
SPO1112	SPO1112				581885	541587	608959
SPO1114	SPO1114						
SPO1115	SPO1115				152870	147906	135960
SPO1116	SPO1116				281128	301730	290165
SPO1117	SPO1117				3.28E+06	3.26E+06	3.05E+06
SPO1118	SPO1118				1.41E+06	1.45E+06	1.50E+06
SPO1119	SPO1119				1.73E+06	1.56E+06	1.67E+06
SPO1120	SPO1120				1.47E+06	1.50E+06	1.43E+06
SPO1121	SPO1121				1.41E+07	1.49E+07	1.42E+07
SPO1122	SPO1122				97886.4	89806.2	108264
SPO1123	SPO1123				6.75E+06	6.85E+06	7.04E+06
SPO1124	SPO1124				4.07E+06	4.00E+06	3.99E+06
SPO1125	SPO1125						63438
SPO1126	SPO1126						
SPO1127	SPO1127				359125	376494	302766
SPO1128	SPO1128				917794	878729	878982
SPO1129	SPO1129				2.45E+06	2.38E+06	2.19E+06
SPO1130	SPO1130				731023	610920	574931
SPO1131	SPO1131				8.97E+06	9.62E+06	1.09E+07
SPO1132	SPO1132				1.39E+06	1.20E+06	1.37E+06
SPO1133	SPO1133				944702	774938	873004
SPO1134	SPO1134				283007	343185	332611
SPO1135	SPO1135				4.43E+06	4.49E+06	4.49E+06
SPO1136	SPO1136				895810	829567	787083
SPO1137	SPO1137				79823	93726.8	85561.8
SPO1138	SPO1138				155085	167810	158464
SPO1139	SPO1139				540190	540803	598601
SPO1140	SPO1140				945638	893253	914015
SPO1141	SPO1141				471631	418248	433930
SPO1142	SPO1142				622147	621634	611553
SPO1143	SPO1143				300663	291411	236648
SPO1147	SPO1147				97543.7	81178.6	84226.1
SPO1148	SPO1148				1.07E+06	1.09E+06	1.08E+06
SPO1150	SPO1150				5.34E+06	5.35E+06	5.14E+06
SPO1151	SPO1151				775353	505399	454236
SPO1152	SPO1152				1.19E+06	1.11E+06	1.13E+06
SPO1153	SPO1153				4.64E+06	4.74E+06	4.50E+06
SPO1154	SPO1154				6.69E+06	6.85E+06	6.59E+06
SPO1155	SPO1155				1.52E+06	1.20E+06	1.41E+06
SPO1156	SPO1156				4.46E+06	4.31E+06	4.41E+06
SPO1157	SPO1157				1.05E+06	928337	826039
SPO1158	SPO1158				8.61E+06	8.61E+06	8.22E+06
SPO1159	SPO1159				3.43E+06	3.85E+06	3.89E+06
SPO1160	SPO1160				398960	408803	397560
SPO1161	SPO1161				1.97E+06	1.83E+06	1.93E+06
SPO1162	SPO1162				5.38E+06	5.53E+06	5.65E+06
SPO1163	SPO1163				7.05E+06	7.11E+06	7.70E+06
SPO1164	SPO1164				6.26E+06	5.95E+06	6.24E+06
SPO1165	SPO1165				114426	95442.9	64973.8
