Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO2883	SPO2883				558205	729100	714331
SPO2884	SPO2884				920933	1.03E+06	1.03E+06
SPO2885	SPO2885				2.19E+06	2.41E+06	2.49E+06
SPO2886	SPO2886				5.11E+06	3.80E+06	3.95E+06
SPO2887	SPO2887				5.82E+06	6.59E+06	6.05E+06
SPO2888	SPO2888				569821	957916	829158
SPO2889	SPO2889				4.46E+06	5.36E+06	5.26E+06
SPO2890	SPO2890				100748	150532	141847
SPO2891	SPO2891				764275	539066	608482
SPO2892	SPO2892				892905	800336	790511
SPO2893	SPO2893				1.19E+06	1.56E+06	1.39E+06
SPO2894	SPO2894				927806	1.80E+06	1.73E+06
SPO2895	SPO2895				1.89E+06	3.00E+06	3.12E+06
SPO2896	SPO2896				761300	1.33E+06	1.54E+06
SPO2897	SPO2897				233374	422454	401485
SPO2898	SPO2898				815558	874495	1.06E+06
SPO2899	SPO2899				2.03E+06	1.94E+06	1.91E+06
SPO2900	SPO2900				1.47E+06	1.17E+06	1.24E+06
SPO2901	SPO2901				1.17E+06	951064	983312
SPO2902	SPO2902				416423	515226	503699
SPO2903	SPO2903				2.84E+06	2.12E+06	2.06E+06
SPO2904	SPO2904				1.01E+07	1.40E+07	1.59E+07
SPO2905	SPO2905				470520	577355	624245
SPO2906	SPO2906				4.47E+06	5.42E+06	5.14E+06
SPO2907	SPO2907				6.35E+06	6.16E+06	6.23E+06
SPO2908	SPO2908				1.53E+06	1.84E+06	1.56E+06
SPO2909	SPO2909				343533	325258	420105
SPO2910	SPO2910				2.88E+06	2.59E+06	2.56E+06
SPO2911	SPO2911				8.22E+06	7.56E+06	8.04E+06
SPO2912	SPO2912				2.03E+06	2.89E+06	2.41E+06
SPO2914	SPO2914				4.38E+06	4.32E+06	4.28E+06
SPO2915	SPO2915				1.10E+07	1.11E+07	1.15E+07
SPO2916	SPO2916				590550	647486	722935
SPO2917	SPO2917				2.32E+06	3.36E+06	3.66E+06
SPO2918	SPO2918				1.05E+07	9.42E+06	9.54E+06
SPO2919	SPO2919				1.57E+06	1.63E+06	1.66E+06
SPO2920	SPO2920				1.36E+07	1.24E+07	1.22E+07
SPO2922	SPO2922				762605	592285	573529
SPO2924	SPO2924				3.45E+06	3.93E+06	3.85E+06
SPO2925	SPO2925				8.56E+06	5.87E+06	6.03E+06
SPO2926	SPO2926				1.09E+07	9.26E+06	8.89E+06
SPO2927	SPO2927				792624	898652	1.01E+06
SPO2928	SPO2928				1.24E+06	1.15E+06	1.32E+06
SPO2929	SPO2929				2.25E+06	2.08E+06	2.23E+06
SPO2930	SPO2930				1.56E+06	436888	375216
SPO2931	SPO2931				1.14E+06	1.16E+06	1.17E+06
SPO2932	SPO2932				9.62E+06	1.02E+07	1.03E+07
SPO2933	SPO2933				531448	364691	413464
SPO2934	SPO2934				2.24E+06	2.60E+06	2.65E+06
SPO2936	SPO2936						26697.7
SPO2938	SPO2938				4.12E+06	3.71E+06	3.79E+06
SPO2939	SPO2939				5.88E+06	5.01E+06	5.16E+06
SPO2942	SPO2942				2.66E+06	2.32E+06	2.22E+06
SPO2943	SPO2943				2.85E+06	2.51E+06	2.57E+06
SPO2945	SPO2945				7.93E+06	6.29E+06	6.80E+06
SPO2946	SPO2946					17579.6	21409.7
SPO2947	SPO2947				221380	219325	223568
SPO2948	SPO2948				305893		80556
SPO2949	SPO2949				7.07E+06	1.23E+07	1.19E+07
SPO2950	SPO2950				597440	610917	628064
SPO2951	SPO2951				6.99E+06	8.31E+06	7.80E+06
SPO2952	SPO2952				661720	864046	828090
SPO2953	SPO2953				4.02E+06	3.12E+06	3.12E+06
SPO2954	SPO2954				3.01E+06	2.30E+06	2.44E+06
SPO2955	SPO2955				2.11E+06	3.20E+06	3.07E+06
SPO2956	SPO2956				1.21E+06	1.23E+06	1.22E+06
SPO2957	SPO2957				380077	364049	387942
SPO2958	SPO2958				4.16E+06	4.74E+06	5.11E+06
SPO2959	SPO2959				749329	478268	428197
SPO2960	SPO2960				5.59E+06	5.37E+06	5.30E+06
SPO2961	SPO2961				715139	923171	925822
SPO2962	SPO2962				1.41E+06	827867	873138
SPO2963	SPO2963				5.04E+06	6.74E+06	5.64E+06
SPO2964	SPO2964				6.04E+06	5.68E+06	5.73E+06
SPO2965	SPO2965				1.83E+08	6.24E+07	6.42E+07
SPO2967	SPO2967				1.05E+06	603306	552422
SPO2968	SPO2968				2.08E+07	1.84E+07	1.71E+07
SPO2969	SPO2969				2.25E+07	1.98E+07	2.02E+07
SPO2970	SPO2970				1.58E+07	8.46E+06	7.43E+06
SPO2971	SPO2971				113957	147707	134075
SPO2972	SPO2972				191516	344169	395506
SPO2973a	SPO2973a				3.29E+07	4.10E+07	4.15E+07
SPO2974	SPO2974				719354	699978	682235
SPO2976	SPO2976				1.78E+06	2.44E+06	3.28E+06
SPO2977	SPO2977				452554	482476	488848
SPO2978	SPO2978				321010	585696	561367
SPO2979	SPO2979				325775	420103	470640
SPO2980	SPO2980				1.89E+06	1.63E+06	1.78E+06
SPO2981	SPO2981				190570	249279	255187
SPO2982	SPO2982				1.71E+06	1.43E+06	1.46E+06
SPO2983	SPO2983				657939	549817	584561
SPO2984	SPO2984				2.40E+06	2.53E+06	2.40E+06
SPO2985	SPO2985				6.83E+06	5.76E+06	5.68E+06
SPO2986	SPO2986				3.03E+07	3.33E+07	3.31E+07
SPO2987	SPO2987				3.19E+06	3.28E+06	3.27E+06
SPO2988	SPO2988				1.50E+07	1.77E+07	1.69E+07
SPO2989	SPO2989				609518	930980	1.15E+06
SPO2990	SPO2990				4.00E+06	3.53E+06	3.85E+06
SPO2991	SPO2991				1.10E+06	867382	869785
SPO2992	SPO2992				253065	339513	318152
SPO2993	SPO2993				1.22E+06	1.16E+06	1.11E+06
SPO2994	SPO2994				2.24E+06	2.60E+06	2.50E+06
SPO2995	SPO2995				3.73E+07	2.92E+07	2.84E+07
SPO2996	SPO2996				1.09E+06	2.21E+06	2.15E+06
SPO2997	SPO2997				898289	1.33E+06	1.57E+06
SPO2998	SPO2998				5.55E+06	5.41E+06	5.18E+06
SPO2999	SPO2999				152925	63850.6	53847
SPO3000	SPO3000				5.71E+06	7.10E+06	7.31E+06
SPO3001	SPO3001				1.37E+06	1.30E+06	1.33E+06
SPO3002	SPO3002				1.05E+06	1.40E+06	1.11E+06
SPO3003	SPO3003				3.94E+06	3.29E+06	3.21E+06
SPO3004	SPO3004				2.07E+07	4.13E+07	4.64E+07
SPO3005	SPO3005				4.06E+06	4.28E+06	4.31E+06
SPO3008	SPO3008				159579	231808	212583
SPO3009	SPO3009				439936	511725	452090
SPO3010	SPO3010				1.27E+06	1.10E+06	1.14E+06
SPO3011	SPO3011				226078	288958	310371
SPO3012	SPO3012				1.57E+07	1.79E+07	1.76E+07
SPO3013	SPO3013				5.92E+06	5.45E+06	5.54E+06
SPO3014	SPO3014				599634	379072	604548
SPO3015	SPO3015				2.21E+06	2.45E+06	2.45E+06
SPO3016	SPO3016				2.09E+07	2.41E+07	2.71E+07
SPO3017	SPO3017				4.20E+06	3.79E+06	3.70E+06
SPO3018	SPO3018				793200	926906	931451
SPO3019	SPO3019				2.81E+06	2.95E+06	2.91E+06
SPO3020	SPO3020				281913	297794	326590
SPO3021	SPO3021				223446	157953	130496
SPO3022	SPO3022				9.94E+06	9.52E+06	9.66E+06
SPO3023	SPO3023				164701	266734	222855
SPO3024	SPO3024				771581	867650	755957
SPO3025	SPO3025				8.93E+06	8.65E+06	8.64E+06
SPO3026	SPO3026				4.05E+06	3.48E+06	3.24E+06
SPO3027	SPO3027				3.14E+06	3.06E+06	2.98E+06
SPO3029	SPO3029				5.45E+06	4.95E+06	4.90E+06
SPO3030	SPO3030				1.90E+06	3.14E+06	2.99E+06
SPO3031	SPO3031				5.79E+06	7.36E+06	6.87E+06
SPO3032	SPO3032				1.12E+07	9.22E+06	9.18E+06
SPO3033	SPO3033				8.62E+06	1.09E+07	1.12E+07
SPO3034	SPO3034				7.40E+06	7.50E+06	7.69E+06
SPO3035	SPO3035				7.89E+06	1.23E+07	1.11E+07
SPO3036	SPO3036				3.15E+06	4.61E+06	4.53E+06
SPO3037	SPO3037				1.36E+06	1.20E+06	1.27E+06
SPO3038	SPO3038				335068	416589	421056
SPO3039	SPO3039				612048	764594	771311
SPO3040	SPO3040					278944	496027
SPO3041	SPO3041						16724.4
SPO3042	SPO3042					12193.5	
SPO3043	SPO3043				410469	457413	497108
SPO3044	SPO3044				162996	224546	110619
SPO3045	SPO3045				2.52E+06	2.25E+06	2.14E+06
SPO3049	SPO3049				186129	152933	105072
SPO3051	SPO3051				1.22E+07	1.06E+07	1.08E+07
SPO3052	SPO3052				642356	841894	902837
SPO3053	SPO3053				113592	89516.8	128451
SPO3054	SPO3054				2.91E+06	3.09E+06	3.03E+06
SPO3055	SPO3055				1.16E+06	1.18E+06	1.28E+06
SPO3056	SPO3056				1.19E+07	1.34E+07	1.43E+07
SPO3057	SPO3057				1.93E+06	1.40E+06	1.49E+06
SPO3058	SPO3058				4.95E+06	5.34E+06	5.39E+06
SPO3059	SPO3059				165238	175269	251426
SPO3060	SPO3060				7.97E+06	7.23E+06	7.44E+06
SPO3063	SPO3063				131294	150250	146825
SPO3064	SPO3064				2.13E+06	1.58E+06	1.51E+06
SPO3065	SPO3065				56767.8	972621	
SPO3066	SPO3066				2.91E+06	4.24E+06	4.15E+06
SPO3067	SPO3067				1.67E+06	1.42E+06	1.37E+06
SPO3068	SPO3068				1.67E+06	1.73E+06	1.78E+06
SPO3069	SPO3069				1.81E+06	1.89E+06	1.74E+06
SPO3070	SPO3070				4.48E+06	4.92E+06	4.66E+06
SPO3071	SPO3071				1.46E+07	1.44E+07	1.48E+07
SPO3072	SPO3072				4.60E+06	4.49E+06	4.52E+06
SPO3073	SPO3073				841057	1.25E+06	1.07E+06
SPO3074	SPO3074				1.58E+06	1.81E+06	1.79E+06
SPO3075	SPO3075				160202	299980	201274
SPO3076	SPO3076				2.26E+06	3.51E+06	3.39E+06
SPO3077	SPO3077				5.46E+06	5.23E+06	5.34E+06
SPO3078	SPO3078				317504	188520	258949
SPO3079	SPO3079				8.67E+06	8.70E+06	8.70E+06
SPO3080	SPO3080				1.20E+06	1.44E+06	1.34E+06
SPO3081	SPO3081				119776	243347	267202
SPO3082	SPO3082				1.71E+07	1.84E+07	1.87E+07
SPO3083	SPO3083				1.07E+07	1.22E+07	1.20E+07
SPO3084	SPO3084				283298	187703	158043
SPO3086	SPO3086				494373	568211	479247
SPO3087	SPO3087				5.79E+06	6.34E+06	6.15E+06
SPO3088	SPO3088				5.84E+06	5.52E+06	5.43E+06
SPO3089	SPO3089				1.08E+06	1.27E+06	1.35E+06
SPO3090	SPO3090				620981	636077	598927
SPO3091	SPO3091				926380	1.04E+06	983480
SPO3092	SPO3092				733549	631220	665623
SPO3093	SPO3093				1.72E+06	2.05E+06	2.02E+06
SPO3094	SPO3094				4.33E+06	5.23E+06	5.25E+06
SPO3096	SPO3096				1.62E+06	1.45E+06	1.46E+06
SPO3097	SPO3097				466368	388024	410827
SPO3098	SPO3098				678670	751090	719266
SPO3099	SPO3099				487264	377181	431019
SPO3100	SPO3100				290889	235121	244388
SPO3104	SPO3104				6.34E+06	5.20E+06	5.55E+06
SPO3105	SPO3105				2.30E+07	2.42E+07	2.38E+07
SPO3106	SPO3106				665240	704037	714782
SPO3107	SPO3107				7.29E+06	1.11E+07	1.18E+07
SPO3108	SPO3108				2.21E+07	1.69E+07	1.67E+07
SPO3109	SPO3109				1.67E+07	1.56E+07	1.54E+07
SPO3110	SPO3110				2.61E+06	2.85E+06	3.02E+06
SPO3111	SPO3111				7.86E+06	3.76E+06	3.67E+06
SPO3112	SPO3112				1.48E+07	7.17E+06	6.95E+06
SPO3113	SPO3113				1.21E+06	1.98E+06	1.84E+06
SPO3114	SPO3114				2.24E+06	3.75E+06	3.42E+06
SPO3115	SPO3115				3.50E+06	3.45E+06	3.29E+06
SPO3116	SPO3116				1.65E+06	2.54E+06	2.54E+06
SPO3117	SPO3117				1.36E+06	1.52E+06	1.42E+06
SPO3118	SPO3118				158748	71093.8	226067
SPO3119	SPO3119				246308	193999	181761
SPO3120	SPO3120				1.77E+06	2.31E+06	2.29E+06
SPO3121	SPO3121				111841	103820	222341
SPO3122	SPO3122				14063.2	29183.5	46269.1
SPO3123	SPO3123				82045.8	75725.4	68898.8
SPO3124	SPO3124				123536	91069.1	131417
SPO3125	SPO3125				46669.2	36149.3	26465.4
SPO3126	SPO3126				383868	499853	436013
SPO3127	SPO3127				1.94E+06	1.64E+06	1.62E+06
SPO3128	SPO3128				2.14E+07	2.67E+07	2.61E+07
SPO3129	SPO3129				1.91E+06	2.37E+06	1.94E+06
SPO3130	SPO3130				684993	630398	579843
SPO3132	SPO3132				356489		
SPO3133	SPO3133				2.56E+06	4.25E+06	4.28E+06
SPO3134	SPO3134				1.18E+06	1.08E+06	1.05E+06
SPO3135	SPO3135				884913	906151	946030
SPO3136	SPO3136				8.57E+06	1.02E+07	9.77E+06
SPO3137	SPO3137				1.36E+07	1.33E+07	1.34E+07
SPO3138	SPO3138				424602	572203	568377
SPO3139	SPO3139				269850	213760	161921
SPO3140	SPO3140				2.69E+06	2.36E+06	2.35E+06
SPO3141	SPO3141					124263	
SPO3142	SPO3142				2.76E+06	2.80E+06	3.05E+06
SPO3143	SPO3143				1.41E+06	1.53E+06	1.53E+06
SPO3144	SPO3144				446845	553512	519867
SPO3145	SPO3145				2.09E+06	1.99E+06	1.93E+06
SPO3146	SPO3146				676344	1.26E+06	1.23E+06
SPO3147	SPO3147				2.02E+07	3.10E+07	3.27E+07
SPO3148	SPO3148				166779	234235	209716
SPO3149	SPO3149				542491	491408	514837
SPO3150	SPO3150				344089	268749	287439
SPO3151	SPO3151				3.47E+06	4.35E+06	4.56E+06
SPO3152	SPO3152				1.67E+06	1.44E+06	1.51E+06
SPO3153	SPO3153				75948.4	53365.8	74697.9
SPO3154	SPO3154				4.93E+06	5.04E+06	5.34E+06
SPO3155	SPO3155				168724	337394	318546
SPO3156	SPO3156				1.12E+07	1.16E+07	1.15E+07
SPO3157	SPO3157				8.40E+06	5.32E+06	5.92E+06
SPO3158	SPO3158				1.02E+07	8.63E+06	9.14E+06
SPO3159	SPO3159				1.45E+07	1.59E+07	1.52E+07
SPO3160	SPO3160				350508	530611	475704
SPO3161	SPO3161				1.36E+07	3.20E+07	3.15E+07
SPO3162	SPO3162				9.97E+07	1.13E+08	1.12E+08
SPO3163	SPO3163				2.72E+07	2.40E+07	2.39E+07
SPO3164	SPO3164				1.31E+08	1.33E+08	1.31E+08
SPO3165	SPO3165				3.89E+07	3.00E+07	2.74E+07
SPO3166	SPO3166				3.94E+06	2.86E+06	3.59E+06
SPO3167	SPO3167				1.22E+06	1.12E+06	1.10E+06
SPO3168	SPO3168				7.60E+06	7.42E+06	8.47E+06
SPO3169	SPO3169				1.19E+07	1.18E+07	1.22E+07
SPO3170	SPO3170				585694	595116	629530
SPO3171	SPO3171				1.96E+06	3.95E+06	3.90E+06
SPO3172	SPO3172				3.74E+06	6.44E+06	6.22E+06
SPO3173	SPO3173				1.59E+06	1.84E+06	1.96E+06
SPO3174	SPO3174				1.85E+06	2.31E+06	2.38E+06
SPO3175	SPO3175				1.40E+06	1.39E+06	1.34E+06
SPO3176	SPO3176				2.55E+06	3.63E+06	3.50E+06
SPO3177	SPO3177				4.99E+06	5.52E+06	5.69E+06
SPO3178	SPO3178				618408	307082	335581
SPO3179	SPO3179				575492	521398	410597
SPO3180	SPO3180				4.52E+06	4.61E+06	4.62E+06
SPO3181	SPO3181				9.51E+07	6.85E+07	6.91E+07
SPO3182	SPO3182				552770	523554	372404
SPO3183	SPO3183				1.40E+06	1.59E+06	1.61E+06
SPO3184	SPO3184				160466	232463	248082
SPO3185	SPO3185				519426	521507	503624
SPO3186	SPO3186				264617	420063	394706
SPO3187	SPO3187				1.75E+06	1.68E+06	1.74E+06
SPO3188	SPO3188				726889	648780	654625
SPO3189	SPO3189				370072	359269	353012
SPO3190	SPO3190				353066	443388	492241
SPO3191	SPO3191				818278	1.04E+06	993972
SPO3192	SPO3192				438900	458646	443562
SPO3193	SPO3193				4.14E+06	3.80E+06	4.04E+06
SPO3194	SPO3194				1.85E+07	2.28E+07	2.21E+07
SPO3195	SPO3195				2.93E+06	4.16E+06	4.33E+06
SPO3196	SPO3196				1.05E+06	796716	869169
SPO3197	SPO3197				185146	225640	225805
SPO3198	SPO3198				5.33E+06	4.40E+06	4.36E+06
SPO3199	SPO3199				1.19E+07	8.71E+06	8.71E+06
SPO3200	SPO3200				3.17E+06	2.22E+06	2.21E+06
SPO3201	SPO3201				1.55E+07	1.52E+07	1.50E+07
SPO3202	SPO3202				79733	139091	118087
SPO3203	SPO3203				3.37E+06	3.42E+06	3.34E+06
SPO3204	SPO3204				3.56E+06	7.04E+06	8.92E+06
SPO3205	SPO3205				1.06E+06	1.10E+06	1.32E+06
SPO3206	SPO3206				1.44E+07	1.60E+07	1.59E+07
SPO3207	SPO3207				6.95E+06	6.92E+06	7.12E+06
SPO3208	SPO3208				551294	766158	769774
SPO3209	SPO3209						
SPO3211	SPO3211				1.15E+06	971012	1.10E+06
SPO3212	SPO3212				2.76E+06	2.46E+06	2.53E+06
SPO3213	SPO3213					34555	61411.3
SPO3216	SPO3216				3.97E+06	4.36E+06	4.57E+06
SPO3217	SPO3217				4.26E+06	3.67E+06	3.75E+06
SPO3218	SPO3218				2.25E+06	1.86E+06	2.03E+06
SPO3219	SPO3219				1.62E+06	3.09E+06	3.26E+06
SPO3220	SPO3220				2.52E+07	2.95E+07	2.96E+07
SPO3221	SPO3221				972174	865634	848299
SPO3222	SPO3222				1.46E+06	1.38E+06	1.38E+06
SPO3223	SPO3223				59556.8		73342.3
SPO3224	SPO3224				1.95E+06	1.59E+06	1.69E+06
SPO3225	SPO3225				879850	1.01E+06	973922
SPO3226	SPO3226				3.97E+06	3.82E+06	3.68E+06
SPO3227	SPO3227						
SPO3228	SPO3228				4.33E+06	4.02E+06	4.10E+06
SPO3229	SPO3229				716056	611688	622716
SPO3230	SPO3230				804900	964645	972139
SPO3231	SPO3231				2.03E+06	2.47E+06	2.41E+06
SPO3232	SPO3232				537529	506635	654261
SPO3233	SPO3233				1.12E+07	1.96E+07	1.73E+07
SPO3234	SPO3234				1.29E+07	2.38E+07	2.17E+07
SPO3236	SPO3236				883709	1.36E+06	1.22E+06
SPO3237	SPO3237				1.82E+06	1.39E+06	1.35E+06
SPO3238	SPO3238				185307	343019	350636
SPO3240	SPO3240				2.80E+06	3.36E+06	3.31E+06
SPO3241	SPO3241				699242	720602	805539
SPO3242	SPO3242				3.44E+06	4.68E+06	4.50E+06
SPO3243	SPO3243				2.94E+06	2.71E+06	2.64E+06
SPO3244	SPO3244				3.20E+06	2.99E+06	2.85E+06
SPO3245	SPO3245				6.51E+06	8.82E+06	9.00E+06
SPO3246	SPO3246				7.11E+06	6.84E+06	6.71E+06
SPO3247	SPO3247				2.52E+06	2.65E+06	2.59E+06
SPO3248	SPO3248				1.60E+06	1.98E+06	1.95E+06
SPO3249	SPO3249				1.88E+06	1.92E+06	2.01E+06
SPO3250	SPO3250				2.05E+06	1.98E+06	2.09E+06
SPO3251	SPO3251				1.10E+06	1.37E+06	1.34E+06
SPO3252	SPO3252				1.43E+06	1.82E+06	1.86E+06
SPO3253	SPO3253				7.85E+07	3.61E+07	3.50E+07
SPO3254	SPO3254				225844	247346	248349
SPO3255	SPO3255				1.41E+06	2.53E+06	2.74E+06
SPO3256	SPO3256				2.98E+07	3.48E+07	3.30E+07
SPO3257	SPO3257				3.19E+07	2.67E+07	2.56E+07
SPO3258	SPO3258				2.95E+06	2.81E+06	2.89E+06
SPO3259	SPO3259				1.12E+06	1.02E+06	933726
SPO3260	SPO3260				2.34E+06	1.89E+06	1.86E+06
SPO3261	SPO3261				848011	765383	782595
SPO3262	SPO3262				648534	741937	684699
SPO3270	SPO3270				178631	216755	218474
SPO3271	SPO3271				944161	974447	1.08E+06
SPO3272	SPO3272				5.37E+06	4.98E+06	4.76E+06
SPO3273	SPO3273				129339	90919.6	126964
SPO3274	SPO3274				161660	100129	102850
SPO3275	SPO3275						89349.8
SPO3276	SPO3276				4.72E+06	4.39E+06	4.83E+06
SPO3277	SPO3277				473650	395578	433854
SPO3278	SPO3278				4.40E+06	5.69E+06	5.67E+06
SPO3279	SPO3279				515957	463488	449135
SPO3280	SPO3280				506461	462860	465403
SPO3281	SPO3281				487404	504420	515774
SPO3282	SPO3282				1.34E+06	1.23E+06	1.25E+06
SPO3284	SPO3284				2.01E+06	214520	265654
SPO3286	SPO3286				821932	775740	775482
SPO3287	SPO3287				3.61E+06	5.50E+06	5.67E+06
SPO3288	SPO3288				445080	490160	472506
SPO3289	SPO3289				389554	448068	428069
SPO3290	SPO3290				200698	211736	189904
SPO3291	SPO3291				1.01E+06	1.07E+06	1.16E+06
SPO3292	SPO3292					106215	83360.2
SPO3293	SPO3293				111554	56977.6	99206.1
SPO3295	SPO3295				168767	127295	155470
SPO3296	SPO3296				549719	746721	689924
SPO3297	SPO3297				839140	780679	724002
SPO3298	SPO3298				909805	1.11E+06	1.16E+06
SPO3299	SPO3299				544827	604616	542327
SPO3300	SPO3300				755879	939499	906212
SPO3301	SPO3301				627152	513768	518808
SPO3302	SPO3302				3.74E+06	2.90E+06	3.11E+06
SPO3303	SPO3303				4.32E+06	3.60E+06	3.65E+06
SPO3304	SPO3304				2.33E+06	2.18E+06	2.18E+06
SPO3305	SPO3305				2.55E+06	2.27E+06	2.31E+06
SPO3306	SPO3306				1.91E+06	2.32E+06	1.93E+06
SPO3307	SPO3307				1.27E+07	1.21E+07	1.19E+07
SPO3309	SPO3309				8.17E+06	8.86E+06	9.02E+06
SPO3310	SPO3310				947162	1.24E+06	1.17E+06
SPO3311	SPO3311				288397	252186	209262
SPO3312	SPO3312				3.98E+06	3.62E+06	3.76E+06
SPO3313	SPO3313				1.76E+06	1.32E+06	1.40E+06
SPO3314	SPO3314				7.79E+06	8.14E+06	8.28E+06
SPO3315	SPO3315				356116	473556	504796
SPO3316	SPO3316				124503	386913	345833
SPO3316a	SPO3316a					21792.9	35502.3
SPO3317	SPO3317				530551	700000	732423
SPO3318	SPO3318				7.36E+06	9.52E+06	9.71E+06
SPO3319	SPO3319				1.13E+06	1.39E+06	1.34E+06
SPO3320	SPO3320				6.22E+06	8.18E+06	8.29E+06
SPO3321	SPO3321				844038	732910	739679
SPO3322	SPO3322				2.84E+06	2.57E+06	2.63E+06
SPO3323	SPO3323				5.81E+06	6.06E+06	6.23E+06
SPO3324	SPO3324				2.36E+06	2.62E+06	2.65E+06
SPO3325	SPO3325				1.48E+07	1.63E+07	1.56E+07
SPO3326	SPO3326				4.45E+06	5.96E+06	6.35E+06
SPO3327	SPO3327				1.50E+06	1.81E+06	1.75E+06
SPO3328	SPO3328				1.44E+07	1.37E+07	1.34E+07
SPO3329	SPO3329				1.55E+06	1.86E+06	1.88E+06
SPO3330	SPO3330				3.12E+06	3.39E+06	3.40E+06
SPO3331	SPO3331				609344	430825	471871
SPO3332	SPO3332				5.47E+06	4.78E+06	4.92E+06
SPO3333	SPO3333				917093	792503	266965
SPO3334	SPO3334				171493	174945	196391
SPO3335	SPO3335				375867	582690	539761
SPO3336	SPO3336				766979	565185	702622
SPO3337	SPO3337				1.77E+07	1.95E+07	1.88E+07
SPO3338	SPO3338				312888	360829	413402
SPO3339	SPO3339						22253.1
SPO3340	SPO3340				491858	477534	488426
SPO3341	SPO3341				1.38E+07	1.24E+07	1.25E+07
SPO3342	SPO3342				8.78E+06	8.51E+06	8.43E+06
SPO3343	SPO3343				31285	42782.7	37604.2
SPO3344	SPO3344				2.38E+06	2.28E+06	2.12E+06
SPO3346	SPO3346				2.89E+06	3.13E+06	2.99E+06
SPO3347	SPO3347				2.11E+06	2.82E+06	3.22E+06
SPO3348	SPO3348				2.81E+07	2.32E+07	2.21E+07
SPO3349	SPO3349				2.80E+06	2.56E+06	2.65E+06
SPO3350	SPO3350				5.93E+06	5.88E+06	6.06E+06
SPO3351	SPO3351				193572	290510	295657
SPO3352	SPO3352				454153	374722	320143
SPO3353	SPO3353				5.48E+06	5.92E+06	5.65E+06
SPO3354	SPO3354				4.51E+07	4.85E+07	4.78E+07
SPO3355	SPO3355				6.14E+07	6.00E+07	5.70E+07
SPO3357	SPO3357				272345	212312	216367
SPO3358	SPO3358				1.62E+06	2.26E+06	2.34E+06
SPO3359	SPO3359				4.55E+06	4.57E+06	4.79E+06
SPO3360	SPO3360				9.44E+06	7.96E+06	8.57E+06
SPO3361	SPO3361				2.21E+06	2.02E+06	1.98E+06
SPO3362	SPO3362				2.09E+06	2.53E+06	2.44E+06
SPO3363	SPO3363				256987	51369.8	59523.4
SPO3364	SPO3364				62719.8	62949.4	96293.4
SPO3365	SPO3365				1.10E+06	777265	782390
SPO3366	SPO3366				2.29E+06	2.97E+06	2.98E+06
SPO3367	SPO3367				3.38E+06	3.51E+06	3.44E+06
SPO3368	SPO3368				5.44E+06	5.29E+06	5.21E+06
SPO3369	SPO3369				3.05E+06	3.19E+06	3.18E+06
SPO3370	SPO3370				1.08E+07	1.45E+07	1.46E+07
SPO3371	SPO3371				7.86E+06	9.98E+06	1.01E+07
SPO3372	SPO3372				1.32E+07	1.15E+07	1.23E+07
SPO3373	SPO3373				35365.1	214794	138435
SPO3374	SPO3374				1.95E+07	1.99E+07	1.96E+07
SPO3375	SPO3375				2.57E+06	2.89E+06	2.84E+06
SPO3376	SPO3376				2.75E+06	2.23E+06	2.39E+06
SPO3377	SPO3377				1.45E+06	1.88E+06	1.74E+06
SPO3379	SPO3379				498523	453034	446946
SPO3380	SPO3380				402268	531356	556687
SPO3382	SPO3382				1.69E+07	1.73E+07	1.72E+07
SPO3383	SPO3383				9.96E+07	8.98E+07	9.12E+07
SPO3384	SPO3384				3.33E+06	2.22E+06	2.38E+06
SPO3385	SPO3385				1.30E+06	1.68E+06	1.74E+06
SPO3387	SPO3387				1.70E+06	3.39E+06	3.16E+06
SPO3388	SPO3388				548326	624381	546317
SPO3389	SPO3389				4.37E+07	4.66E+07	4.56E+07
SPO3390	SPO3390				576245	438701	516151
SPO3391	SPO3391				995195	990723	955929
SPO3392	SPO3392				919532	698740	727496
SPO3393	SPO3393				3.57E+06	4.02E+06	4.02E+06
SPO3394	SPO3394				898995	671669	762227
SPO3395	SPO3395				85696.9	105853	86477.7
SPO3396	SPO3396				1.34E+06	1.48E+06	1.47E+06
SPO3398	SPO3398				267141	253982	231190
SPO3399	SPO3399				192253	155137	145295
SPO3400	SPO3400				1.16E+06	1.40E+06	1.38E+06
SPO3401	SPO3401				69068.3	79040.7	66192
SPO3403	SPO3403				201492	211731	174308
SPO3405	SPO3405				2.06E+06	2.33E+06	2.63E+06
SPO3406	SPO3406				518340	666694	581220
SPO3408	SPO3408				1.12E+07	8.44E+06	8.28E+06
SPO3409	SPO3409				1.45E+06	2.23E+06	2.20E+06
SPO3410	SPO3410				687472	639505	673551
SPO3411	SPO3411				4.91E+06	4.99E+06	5.03E+06
SPO3412	SPO3412				1.54E+06	1.46E+06	1.52E+06
SPO3413	SPO3413				1.04E+06		
SPO3414	SPO3414				1.73E+06	1.57E+06	1.53E+06
SPO3415	SPO3415				1.44E+07	1.09E+07	1.11E+07
SPO3416	SPO3416				3.22E+06	2.98E+06	2.95E+06
SPO3417	SPO3417				5.28E+06	4.21E+06	4.31E+06
