Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1571	SPO1571						251156
SPO1572	SPO1572				5.10E+07	5.33E+07	5.41E+07
SPO1573	SPO1573				1.00E+06	860489	964821
SPO1574	SPO1574				1.04E+06	869696	944899
SPO1575	SPO1575				405963	496972	461787
SPO1576	SPO1576				774681	694459	575341
SPO1579	SPO1579				1.51E+06	1.26E+06	1.31E+06
SPO1580	SPO1580				491473	480252	517254
SPO1581	SPO1581				530405	252234	393510
SPO1582	SPO1582				404539	514697	528939
SPO1583	SPO1583				5.03E+06	5.56E+06	5.32E+06
SPO1584	SPO1584				230528	183596	194139
SPO1585	SPO1585				119932	115809	122582
SPO1586	SPO1586				2.83E+06	2.99E+06	3.12E+06
SPO1587	SPO1587				30883.8		
SPO1588	SPO1588				66410.8	147227	98049
SPO1589	SPO1589				1.59E+06	1.72E+06	1.61E+06
SPO1590	SPO1590				55534.3	91308.5	82167
SPO1591	SPO1591				340676	413740	373521
SPO1592	SPO1592				374074	434576	428414
SPO1593	SPO1593				756526	798740	747074
SPO1594	SPO1594				383442	250077	333404
SPO1595	SPO1595				271223	331008	343219
SPO1596	SPO1596				649524	822612	842619
SPO1597	SPO1597				1.40E+06	1.29E+06	1.25E+06
SPO1598	SPO1598				3.33E+06	3.22E+06	3.40E+06
SPO1599	SPO1599				138506	149230	181173
SPO1600	SPO1600						
SPO1601	SPO1601				234414	269288	246687
SPO1602	SPO1602				276452	347928	325899
SPO1603	SPO1603				127135	95096.9	130002
SPO1604	SPO1604				313422	472383	451779
SPO1605	SPO1605				1.34E+06	1.19E+06	1.19E+06
SPO1606	SPO1606				1.99E+06	2.46E+06	2.47E+06
SPO1607	SPO1607				33647.2		14102
SPO1608	SPO1608				74537	73462.1	79032.3
SPO1609	SPO1609				455041	446307	442863
SPO1610	SPO1610				211213	192603	200710
SPO1612	SPO1612						179190
SPO1614	SPO1614				644986	662213	719464
SPO1615	SPO1615				507052	645822	621146
SPO1620	SPO1620				494369	776035	625520
SPO1621	SPO1621				1.29E+06	1.26E+06	1.15E+06
SPO1622	SPO1622				1.09E+06	1.18E+06	1.26E+06
SPO1623	SPO1623				1.89E+06	2.62E+06	2.61E+06
SPO1624	SPO1624				3.53E+06	3.37E+06	3.40E+06
SPO1625	SPO1625				8.09E+06	8.66E+06	1.18E+07
SPO1626	SPO1626				1.05E+06	1.47E+06	1.60E+06
SPO1627	SPO1627				2.12E+06	1.38E+06	1.54E+06
SPO1628	SPO1628				661357	521984	503733
SPO1629	SPO1629				1.10E+06	1.17E+06	1.14E+06
SPO1630	SPO1630				362349	518453	517064
SPO1631	SPO1631				2.90E+06	3.71E+06	3.47E+06
SPO1632	SPO1632				2.34E+06	2.51E+06	2.46E+06
SPO1633	SPO1633				3.24E+06	3.30E+06	3.44E+06
SPO1634	SPO1634				991133	1.05E+06	1.10E+06
SPO1635	SPO1635				2.35E+06	3.12E+06	3.15E+06
SPO1636	SPO1636				1.75E+06	2.26E+06	2.15E+06
SPO1637	SPO1637				5.04E+07	4.05E+07	4.03E+07
SPO1638	SPO1638				1.03E+06	711451	727822
SPO1640	SPO1640				595368	522642	574929
SPO1641	SPO1641				789648	845290	832281
SPO1643	SPO1643				569798	570036	608506
SPO1647	SPO1647				236057	258996	264131
SPO1649	SPO1649				237035	177463	277412
SPO1656	SPO1656				2.35E+06	2.46E+06	2.45E+06
SPO1657	SPO1657				1.30E+06	2.01E+06	2.06E+06
