Accession Number	Annotation	1	2	3
SPO0145	"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)"	4.92E+06	5.16E+06	5.04E+06
SPO0146	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	1.90E+06	1.83E+06	1.81E+06
SPO0147	Enoyl-CoA hydratase (EC 4.2.1.17)	3.07E+07	3.07E+07	3.23E+07
SPO0148	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)	3.44E+07	3.21E+07	3.61E+07
SPO0149	Chromosomal replication initiator protein DnaA	2.67E+06	2.55E+06	2.63E+06
SPO0150	Beta sliding clamp	2.42E+07	2.35E+07	2.38E+07
SPO0151	DNA replication and repair protein RecF	624158	595034	599370
SPO0153	"Transcriptional regulator, TetR family"	242545	260194	245494
SPO0154	"NAD(P)H dehydrogenase, quinone family"	3.75E+06	3.63E+06	3.89E+06
SPO0155	DNA gyrase subunit B (EC 5.6.2.2)	1.44E+07	1.42E+07	1.45E+07
SPO0156	Transcriptional regulator RtcR	554176	574199	610345
SPO0157	TROVE domain protein	315905	284723	298650
SPO0160	3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)	739553	708897	732266
SPO0161	"DNA-binding response regulator, LuxR family"	2.05E+06	2.07E+06	2.06E+06
SPO0162	Oxidoreductase molybdopterin-binding domain-containing protein	1.25E+06	1.45E+06	1.24E+06
SPO0163	Polar-differentiation response regulator DivK (EC 2.7.13.3)	747939	719487	712877
SPO0164	"Oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase"	1.06E+06	1.12E+06	1.13E+06
SPO0165	"Pyrroline-5-carboxylate reductase, putative"	157412	154024	139813
SPO0166	"N-methylproline demethylase, putative"	1.67E+06	1.74E+06	1.73E+06
SPO0167	Methyltransferase (EC 2.1.1.-)	1.10E+06	1.08E+06	1.03E+06
SPO0168	"Transcriptional regulator, TetR family"	285433	276391	307312
SPO0170	Flagellar biosynthesis protein FlhA
SPO0174	Flagellar basal body-associated protein FliL	45564.1	39228	64328.4
SPO0175	Flagellar L-ring protein (Basal body L-ring protein)	108992	89567.8	119366
SPO0177	Flagellar basal-body rod protein FlgG (Distal rod protein)	182122	202453	132697
SPO0178	Flagellar basal-body rod protein FlgF	50251.3
SPO0180	Flagellar hook-basal body complex protein FliE	39521.9
SPO0181	Flagellar basal-body rod protein FlgC	1.73E+06	1.80E+06	1.78E+06
SPO0182	Flagellar basal-body rod protein FlgB
SPO0183	"H+-transporting two-sector ATPase, flagellum-specific (EC 3.6.3.14)"	253950	213820	210182
SPO0184	"Membrane protein, putative"	135442	134659	125598
SPO0185	"Membrane protein, putative"	403788	293327	342768
SPO0186	Bordetella uptake gene family protein	2.21E+06	1.98E+06	1.99E+06
SPO0187	DNA-binding response regulator	771185	749656	702805
SPO0188	histidine kinase (EC 2.7.13.3)	319279	338499	328868
SPO0189	ABC transporter substrate-binding protein	752827	713942	684120
SPO0190	"Oxidoreductase, GMC family"	1.25E+06	1.24E+06	1.17E+06
SPO0191	Chemotaxis protein MotB	34819.1	133610	130550
SPO0192	Flagellar hook protein FlgE
SPO0193	Flagellar hook-associated protein 1	290961	198794	155144
SPO0194	Flagellar hook-associated protein FlgL family protein	27553.7	182941	13487.4
SPO0195	Flagellar P-ring protein (Basal body P-ring protein)	25301	95158	47085.7
SPO0197	Flagellar motor switch protein FliN	35277.4	95511.8	609120
SPO0198	"ABC transporter, ATP-binding protein, flagellar, putative"	13793.1	6767.86	13536.3
SPO0199	Flagellar M-ring protein	63581.3	98433.8	103703
SPO0200	Flagellar protein FliL	115366	75470.3	71064.8
SPO0201	DUF6468 domain-containing protein			17124.2
SPO0202	Magnesium transporter MgtE intracellular domain-containing protein		153626
SPO0203	Chemotaxis protein MotA	398990	228147
SPO0204	Lipoprotein	50497.1	193056
SPO0205	MmgE/PrpD family protein	211865	29837.3	221099
SPO0206	"Transcriptional regulator, LysR family"	1.02E+06	942360	1.04E+06
SPO0207	Aminomethyl transferase family protein	358674	381670	347768
SPO0209	Na/Pi-cotransporter family protein	817954	751373	825472
SPO0210	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	4.96E+07	4.96E+07	5.08E+07
SPO0211	"Transcriptional regulator, LysR family"	218938	195642	160986
SPO0212	Uncharacterized protein	710030	712347	702582
SPO0213	Endonuclease/exonuclease/phosphatase domain-containing protein	348069	347408	304548
SPO0214	"Membrane protein, putative"	487463	502718	478761
SPO0215	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	1.94E+07	1.94E+07	1.90E+07
SPO0216	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	7.04E+07	6.81E+07	6.71E+07
SPO0218	Mechanosensitive ion channel family protein	452385	417454	457373
SPO0219	Ribosomal silencing factor RsfS	6.13E+06	6.29E+06	6.02E+06
