Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO0817	SPO0817				1.18E+07	1.21E+07	1.19E+07
SPO0818	SPO0818				412041	503452	469179
SPO0819	SPO0819				1.84E+06	1.75E+06	1.89E+06
SPO0820	SPO0820				4.19E+06	4.14E+06	4.22E+06
SPO0821	SPO0821				1.29E+06	1.43E+06	1.43E+06
SPO0822	SPO0822				599009	620426	594994
SPO0823	SPO0823				741880	672955	726960
SPO0824	SPO0824				358033	299039	356249
SPO0825	SPO0825				6.07E+06	6.03E+06	5.88E+06
SPO0826	SPO0826				1.26E+06	1.28E+06	1.22E+06
SPO0827	SPO0827				1.48E+06	1.60E+06	1.48E+06
SPO0828	SPO0828				81956.3	102157	114069
SPO0829	SPO0829				515865	465301	518647
SPO0830	SPO0830				579185	570903	605110
SPO0831	SPO0831				407713	401625	383392
SPO0832	SPO0832				1.05E+06	1.09E+06	1.12E+06
SPO0833	SPO0833				2.33E+06	2.29E+06	2.21E+06
SPO0834	SPO0834				2.49E+06	2.41E+06	2.40E+06
SPO0835	SPO0835				2.17E+06	2.03E+06	2.18E+06
SPO0836	SPO0836				3.97E+06	3.79E+06	3.84E+06
SPO0837	SPO0837				172676	177498	191673
SPO0838	SPO0838				2.01E+06	2.30E+06	1.99E+06
SPO0839	SPO0839				368700	390486	348825
SPO0840	SPO0840				720862	718241	671069
SPO0841	SPO0841				220704	209441	241907
SPO0842	SPO0842				995383	1.01E+06	1.04E+06
SPO0843	SPO0843				988053	994619	1.02E+06
SPO0844	SPO0844				1.33E+06	1.34E+06	1.30E+06
SPO0845	SPO0845				1.87E+06	1.80E+06	1.75E+06
SPO0846	SPO0846				470723	474444	399047
SPO0847	SPO0847				2.40E+06	2.44E+06	2.36E+06
SPO0848	SPO0848				959965	939153	915694
SPO0849	SPO0849				1.17E+06	1.16E+06	1.12E+06
SPO0850	SPO0850				64430.2	79722.2	72969.8
SPO0851	SPO0851				1.39E+06	1.33E+06	1.35E+06
SPO0852	SPO0852				1.13E+06	1.16E+06	1.10E+06
SPO0853	SPO0853				862932	859699	881736
SPO0854	SPO0854				640769	623285	654040
SPO0855	SPO0855				344637	373344	328161
SPO0856	SPO0856				412949	417069	411278
SPO0857	SPO0857				158600	183056	181290
SPO0858	SPO0858				208702	201673	313548
SPO0859	SPO0859				484529	464803	514752
SPO0860	SPO0860				685263	694100	672701
SPO0861	SPO0861				1.36E+06	1.36E+06	1.27E+06
SPO0862	SPO0862				102745	79448.9	99222.5
SPO0863	SPO0863				283784	186087	220159
SPO0864	SPO0864				357466	362984	357070
SPO0865	SPO0865				224356	213203	226855
SPO0866	SPO0866				1.46E+06	1.45E+06	1.45E+06
SPO0867	SPO0867				928888	904332	920021
SPO0868	SPO0868				1.28E+06	1.26E+06	1.29E+06
SPO0869	SPO0869				445409	456538	440040
SPO0870	SPO0870				2.38E+06	2.43E+06	2.39E+06
SPO0871	SPO0871				771382	692542	773599
SPO0872	SPO0872				670050	677791	661317
SPO0873	SPO0873				324724	405876	381986
SPO0874	SPO0874				111304	123373	139579
SPO0875	SPO0875				2.86E+06	2.67E+06	2.56E+06
SPO0876	SPO0876				880337	779791	733660
SPO0876a	SPO0876a				4.00E+06	4.03E+06	3.82E+06
SPO0877	SPO0877				478689	467287	452596
SPO0878	SPO0878				459269	299779	393406
SPO0879	SPO0879				7.47E+06	7.38E+06	7.39E+06
SPO0880	SPO0880				1.39E+06	1.43E+06	1.49E+06
SPO0881	SPO0881				2.49E+06	2.34E+06	2.49E+06
SPO0882	SPO0882				51278	74343.2	79464.9
SPO0883	SPO0883				1.13E+06	989941	1.01E+06
SPO0884	SPO0884				1.13E+06	1.03E+06	1.02E+06
SPO0885	SPO0885				3.00E+06	3.06E+06	2.91E+06
SPO0886	SPO0886				1.21E+08	1.22E+08	1.19E+08
SPO0887	SPO0887				1.57E+08	1.54E+08	1.51E+08
SPO0888	SPO0888				3.37E+06	3.43E+06	3.39E+06
SPO0889	SPO0889				156138	142334	155764
SPO0890	SPO0890				1.06E+06	989017	966409
SPO0891	SPO0891				895702	855005	893266
SPO0892	SPO0892				6.74E+06	6.88E+06	6.93E+06
SPO0893	SPO0893				5.99E+06	5.94E+06	5.85E+06
SPO0894	SPO0894				510756	460870	476107
SPO0895	SPO0895				2.08E+06	2.19E+06	1.94E+06
SPO0896	SPO0896				102266	102344	110726
SPO0897	SPO0897				3.66E+06	3.53E+06	3.73E+06
SPO0898	SPO0898				1.37E+06	1.36E+06	1.37E+06
SPO0899	SPO0899				2.76E+06	2.82E+06	2.85E+06
SPO0900	SPO0900				2.22E+07	2.19E+07	2.20E+07
SPO0901	SPO0901				442416	475135	471359
SPO0902	SPO0902				1.69E+06	1.74E+06	1.75E+06
SPO0903	SPO0903				9.54E+06	8.94E+06	9.37E+06
SPO0904	SPO0904				2.97E+06	3.01E+06	2.89E+06
SPO0905	SPO0905				124114	185108	163319
SPO0906	SPO0906				2.68E+06	2.51E+06	2.36E+06
SPO0907	SPO0907				1.35E+06	1.38E+06	1.39E+06
SPO0908	SPO0908				545582	530925	619818
SPO0909	SPO0909				624471	668318	688030
SPO0910	SPO0910				79127.5	94280.6	86724.8
SPO0911	SPO0911				5.72E+06	5.68E+06	5.80E+06
SPO0912	SPO0912				2.70E+06	2.79E+06	2.77E+06
SPO0913	SPO0913				5.82E+06	6.26E+06	5.97E+06
SPO0914	SPO0914				3.90E+06	3.79E+06	3.81E+06
SPO0915	SPO0915				3.99E+06	4.03E+06	3.75E+06
SPO0916	SPO0916				400338	364419	375218
SPO0917	SPO0917				124555	113716	123201
SPO0918	SPO0918				5.40E+06	5.35E+06	5.18E+06
SPO0919	SPO0919				147891	148490	124435
SPO0920	SPO0920				2.42E+06	2.42E+06	2.28E+06
SPO0921	SPO0921				1.27E+06	1.35E+06	1.34E+06
SPO0922	SPO0922				677007	653885	727517
SPO0923	SPO0923				2.62E+07	2.57E+07	2.59E+07
SPO0924	SPO0924				856259	911300	897400
SPO0925	SPO0925				956853	979953	826217
SPO0926	SPO0926				1.89E+07	1.85E+07	1.88E+07
SPO0928	SPO0928				1.72E+06	1.67E+06	1.68E+06
SPO0929	SPO0929				1.29E+06	1.30E+06	1.25E+06
SPO0931	SPO0931				425069	417779	397518
SPO0932	SPO0932				1.02E+07	1.02E+07	1.01E+07
SPO0933	SPO0933				740834	733861	736376
SPO0934	SPO0934				246060	224637	227495
SPO0935	SPO0935				4.50E+06	4.74E+06	4.53E+06
SPO0936	SPO0936				50077.8		
SPO0937	SPO0937				428212	435433	386376
SPO0938	SPO0938				4.42E+06	3.84E+06	3.58E+06
SPO0939	SPO0939				9.54E+06	9.91E+06	9.32E+06
SPO0940	SPO0940				1.88E+06	1.75E+06	1.76E+06
SPO0941	SPO0941					51491.6	36500.4
SPO0942	SPO0942				83389.8	117465	45014.5
SPO0943	SPO0943				7.55E+06	7.56E+06	7.50E+06
SPO0944	SPO0944				2.97E+06	2.90E+06	2.83E+06
SPO0945	SPO0945				4.01E+06	4.29E+06	4.15E+06
SPO0946	SPO0946				9.12E+06	9.12E+06	9.20E+06
SPO0947	SPO0947				1.16E+07	1.10E+07	1.12E+07
SPO0948	SPO0948				3.17E+06	3.14E+06	3.17E+06
SPO0949	SPO0949				2.09E+06	1.99E+06	2.04E+06
SPO0950	SPO0950				407510	403876	447664
SPO0951	SPO0951				907406	900875	878603
SPO0953	SPO0953				1.40E+07	1.36E+07	1.35E+07
SPO0954	SPO0954				2.59E+06	2.41E+06	2.47E+06
SPO0955	SPO0955				2.07E+06	2.00E+06	2.00E+06
SPO0956	SPO0956				9.75E+06	1.04E+07	9.50E+06
SPO0957	SPO0957				200411	146542	208193
SPO0958	SPO0958				95927.8	107765	96781.7
SPO0961	SPO0961				3.49E+06	3.38E+06	3.40E+06
SPO0962	SPO0962				4.27E+06	4.44E+06	4.34E+06
SPO0963	SPO0963				5.09E+06	4.97E+06	4.96E+06
SPO0964	SPO0964				562398	518240	515181
SPO0965	SPO0965				539384	485232	498876
SPO0966	SPO0966				340711	285311	316331
SPO0967	SPO0967				2.39E+06	2.26E+06	2.41E+06
SPO0968	SPO0968				1.74E+06	1.76E+06	1.72E+06
SPO0971	SPO0971				860545	849533	875389
SPO0972	SPO0972				1.19E+06	1.18E+06	1.16E+06
SPO0973	SPO0973				3.84E+06	3.84E+06	3.91E+06
SPO0974	SPO0974				3.60E+07	3.74E+07	3.64E+07
SPO0975	SPO0975				316808		305466
SPO0976	SPO0976				2.44E+06	2.26E+06	2.38E+06
SPO0977	SPO0977				445708	456933	461580
SPO0978	SPO0978				313174	309109	333354
SPO0979	SPO0979				889044	882874	906348
SPO0980	SPO0980				1.70E+06	1.69E+06	1.77E+06
SPO0981	SPO0981				164627	119366	162607
SPO0982	SPO0982				685135	733340	724512
SPO0983	SPO0983				8.01E+06	7.91E+06	7.75E+06
SPO0985	SPO0985				1.68E+06	1.79E+06	1.66E+06
SPO0986	SPO0986				1.56E+06	1.61E+06	1.55E+06
SPO0987	SPO0987				2.11E+06	2.16E+06	2.17E+06
SPO0989	SPO0989				1.35E+06	1.32E+06	1.18E+06
SPO0990	SPO0990				233457	244569	206034
SPO0992	SPO0992				720519	689828	737127
SPO0993	SPO0993						
SPO0994	SPO0994				3.99E+06	3.75E+06	3.73E+06
SPO0995	SPO0995				3.37E+06	3.45E+06	3.36E+06
SPO0996	SPO0996				669464	690311	639710
SPO0997	SPO0997				652348	634015	672439
SPO0998	SPO0998				354448	355575	333484
SPO0999	SPO0999				144799	169898	
SPO1001	SPO1001				565906	534891	575807
SPO1002	SPO1002				1.33E+06	1.31E+06	1.33E+06
SPO1003	SPO1003				5.33E+07	5.11E+07	5.39E+07
SPO1004	SPO1004				2.54E+07	2.50E+07	2.53E+07
SPO1005	SPO1005				4.98E+06	4.31E+06	4.41E+06
SPO1006	SPO1006				1.50E+07	1.49E+07	1.51E+07
SPO1007	SPO1007				7.27E+06	7.80E+06	7.56E+06
SPO1008	SPO1008				2.65E+06	2.64E+06	2.61E+06
SPO1009	SPO1009				511453	515540	578071
SPO1010	SPO1010				1.40E+07	1.39E+07	1.39E+07
SPO1011	SPO1011				1.79E+07	1.84E+07	1.70E+07
SPO1012	SPO1012				801172	754720	776252
SPO1013	SPO1013				1.09E+06	1.03E+06	1.06E+06
SPO1014	SPO1014				288824	304552	307804
SPO1015	SPO1015				505374	434927	430852
SPO1016	SPO1016				708709	702898	709188
SPO1017	SPO1017				150747	153951	149647
SPO1018	SPO1018				170787	124648	359899
SPO1019	SPO1019						
SPO1020	SPO1020						
SPO1021	SPO1021				47346.4	127665	66165.3
SPO1022	SPO1022				1.47E+06	1.46E+06	1.48E+06
SPO1023	SPO1023				884752	862090	966481
SPO1024	SPO1024				120443	150445	262991
SPO1025	SPO1025				226741	216217	225901
SPO1026	SPO1026				1.85E+06	2.05E+06	1.03E+06
SPO1027	SPO1027				5.72E+06	5.48E+06	5.45E+06
SPO1028	SPO1028				948676	936012	1.05E+06
SPO1029	SPO1029				247165	217734	240465
SPO1030	SPO1030				3.44E+06	3.42E+06	3.34E+06
SPO1031	SPO1031				72912.7	104667	140289
SPO1032	SPO1032				673563	619866	611931
SPO1033	SPO1033				3.12E+06	2.69E+06	2.28E+06
SPO1034	SPO1034				6.44E+06	6.31E+06	6.33E+06
SPO1036	SPO1036				870408	841073	809026
SPO1037	SPO1037				1.41E+06	1.30E+06	1.20E+06
SPO1041	SPO1041				172114	154425	183147
SPO1044	SPO1044				99549.6	93650.3	88540.3
SPO1044a	SPO1044a				1.85E+06	1.77E+06	1.71E+06
SPO1045	SPO1045				516139	587689	629744
SPO1046	SPO1046				2.13E+06	2.23E+06	2.23E+06
SPO1047	SPO1047				1.78E+06	1.79E+06	1.75E+06
SPO1048	SPO1048				1.97E+06	1.92E+06	2.05E+06
SPO1049	SPO1049				3.34E+06	3.39E+06	3.23E+06
SPO1051	SPO1051				129943		
SPO1053	SPO1053				923155	871842	842954
SPO1054	SPO1054				177470	142566	120634
SPO1055	SPO1055					13491.8	
SPO1056	SPO1056				131106	152561	120987
SPO1057	SPO1057				793628	824866	761601
SPO1058	SPO1058				804722	840395	770827
SPO1059	SPO1059				3.52E+06	3.27E+06	3.19E+06
SPO1060	SPO1060				1.85E+06	1.78E+06	1.72E+06
SPO1061	SPO1061				4.75E+06	4.75E+06	4.55E+06
SPO1062	SPO1062				2.66E+07	2.60E+07	2.58E+07
SPO1063	SPO1063				1.43E+06	1.61E+06	1.48E+06
SPO1064	SPO1064				1.54E+06	1.67E+06	1.55E+06
SPO1065	SPO1065				2.22E+06	2.24E+06	2.21E+06
SPO1066	SPO1066				2.31E+06	2.40E+06	2.49E+06
SPO1067	SPO1067						12273.8
SPO1068	SPO1068				2.13E+06	2.13E+06	2.13E+06
SPO1069	SPO1069				5.37E+06	5.22E+06	5.30E+06
SPO1070	SPO1070				415526	410513	403428
SPO1071	SPO1071				576069	473798	479858
SPO1072	SPO1072				2.13E+07	2.11E+07	2.19E+07
SPO1073	SPO1073				748728	753383	751673
SPO1076	SPO1076				929825	890088	845703
SPO1077	SPO1077				382876	397278	392518
SPO1078	SPO1078				533606	469861	527590
SPO1080	SPO1080				38083.5	45577	32653
SPO1081	SPO1081				1.31E+06	1.17E+06	1.25E+06
SPO1082	SPO1082				1.80E+06	1.76E+06	1.74E+06
SPO1083	SPO1083				2.10E+06	2.00E+06	2.09E+06
SPO1084	SPO1084				38466.5	44656.6	42350.2
SPO1085	SPO1085				7.57E+06	7.54E+06	7.55E+06
SPO1086	SPO1086				2.55E+06	2.90E+06	2.62E+06
SPO1087	SPO1087				129519		
SPO1088	SPO1088				321083	299602	287350
SPO1089	SPO1089				869541	751807	742398
SPO1090	SPO1090				1.22E+06	1.24E+06	1.22E+06
SPO1091	SPO1091				103726	146037	
SPO1092	SPO1092				779489	804339	796616
SPO1093	SPO1093				715622	581173	525993
SPO1094	SPO1094				9.01E+06	8.69E+06	8.40E+06
SPO1094a	SPO1094a				3.31E+06	3.30E+06	3.30E+06
SPO1096	SPO1096				551408	481650	512881
SPO1097	SPO1097				2.67E+06	2.71E+06	2.63E+06
SPO1101	SPO1101				1.31E+07	1.26E+07	1.27E+07
SPO1102	SPO1102				809223	779306	717125
SPO1103	SPO1103				1.80E+06	1.77E+06	1.67E+06
SPO1104	SPO1104						75718.8
SPO1105	SPO1105				7.81E+06	7.69E+06	7.55E+06
SPO1106	SPO1106				423880	444345	410811
SPO1107	SPO1107				393627	414468	430202
SPO1108	SPO1108				1.87E+06	1.93E+06	1.91E+06
SPO1109	SPO1109				410086	417219	384563
SPO1110	SPO1110				1.04E+06	1.03E+06	1.04E+06
SPO1111	SPO1111				270202	286661	267187
SPO1112	SPO1112				1.50E+06	1.69E+06	1.47E+06
SPO1114	SPO1114						
SPO1115	SPO1115				232805	263002	230711
SPO1116	SPO1116				363445	385272	350197
SPO1117	SPO1117				3.37E+06	3.35E+06	3.32E+06
SPO1118	SPO1118				1.73E+06	1.59E+06	1.70E+06
SPO1119	SPO1119				1.68E+06	1.58E+06	1.78E+06
SPO1120	SPO1120				1.40E+06	1.38E+06	1.30E+06
SPO1121	SPO1121				1.77E+07	1.79E+07	1.82E+07
SPO1122	SPO1122				95604.3	79273.9	
SPO1123	SPO1123				5.81E+06	5.63E+06	5.90E+06
SPO1124	SPO1124				3.16E+06	2.96E+06	3.27E+06
SPO1125	SPO1125				79736.9	110000	94620.3
SPO1126	SPO1126					71275.3	89915
SPO1127	SPO1127				310977	254192	280453
SPO1128	SPO1128				659513	690094	729759
SPO1129	SPO1129				1.88E+06	1.88E+06	1.85E+06
SPO1130	SPO1130				567602	554982	515446
SPO1131	SPO1131				1.01E+07	1.06E+07	1.01E+07
SPO1132	SPO1132				1.08E+06	1.41E+06	1.10E+06
SPO1133	SPO1133				747838	697028	811197
SPO1134	SPO1134				300728	320300	323410
SPO1135	SPO1135				4.21E+06	4.45E+06	4.11E+06
SPO1136	SPO1136				849553	794017	820211
SPO1137	SPO1137				140651	113030	128252
SPO1138	SPO1138				136087	104461	112652
SPO1139	SPO1139				623457	616247	563611
SPO1140	SPO1140				835337	752508	755728
SPO1141	SPO1141				394856	355633	395060
SPO1142	SPO1142				510517	420238	485599
SPO1143	SPO1143				234267	231748	187733
SPO1147	SPO1147				84106.2	86424.3	105840
SPO1148	SPO1148				1.26E+06	1.25E+06	1.20E+06
SPO1150	SPO1150				4.80E+06	4.82E+06	4.82E+06
SPO1151	SPO1151				497367	433510	366535
SPO1152	SPO1152				1.08E+06	980190	1.09E+06
SPO1153	SPO1153				3.91E+06	3.90E+06	4.09E+06
SPO1154	SPO1154				5.89E+06	5.76E+06	5.98E+06
SPO1155	SPO1155				841413	940319	833976
SPO1156	SPO1156				4.70E+06	4.68E+06	4.52E+06
SPO1157	SPO1157				844578	867568	855072
SPO1158	SPO1158				8.64E+06	8.50E+06	8.25E+06
SPO1159	SPO1159				4.40E+06	4.22E+06	3.91E+06
SPO1160	SPO1160				522094	490397	505994
SPO1161	SPO1161				2.47E+06	2.54E+06	2.49E+06
SPO1162	SPO1162				4.26E+06	4.59E+06	4.19E+06
SPO1163	SPO1163				6.83E+06	6.84E+06	6.77E+06
SPO1164	SPO1164				6.58E+06	6.47E+06	6.55E+06
SPO1165	SPO1165				45218.3	35979.1	36609.8
SPO1166	SPO1166				1.09E+07	1.12E+07	1.11E+07
SPO1171	SPO1171				3.50E+07	3.45E+07	3.50E+07
SPO1172	SPO1172				5.62E+06	5.94E+06	5.82E+06
SPO1173	SPO1173				111385	115697	107990
SPO1174	SPO1174				3.24E+06	3.29E+06	3.24E+06
SPO1176	SPO1176				1.23E+06	1.19E+06	1.22E+06
SPO1177	SPO1177				3.37E+06	3.23E+06	2.75E+06
SPO1178	SPO1178				6.73E+06	6.90E+06	7.12E+06
SPO1179	SPO1179				1.85E+06	1.93E+06	1.96E+06
SPO1180	SPO1180				1.20E+06	1.27E+06	1.29E+06
SPO1181	SPO1181				1.19E+06	1.27E+06	1.29E+06
SPO1182	SPO1182				4.03E+06	3.89E+06	3.99E+06
SPO1183	SPO1183				3.34E+06	3.36E+06	3.22E+06
SPO1184	SPO1184				1.00E+06	893522	1.01E+06
SPO1185	SPO1185				1.05E+06	1.03E+06	987443
SPO1186	SPO1186				1.13E+06	1.20E+06	1.07E+06
SPO1187	SPO1187				1.30E+06	1.22E+06	1.28E+06
SPO1188	SPO1188				2.06E+06	1.94E+06	1.99E+06
SPO1190	SPO1190				270282	283103	253338
SPO1191	SPO1191				1.01E+06	1.02E+06	1.03E+06
SPO1192	SPO1192				438941	391044	441514
SPO1193	SPO1193				35223.7		
SPO1194	SPO1194				1.27E+06	1.11E+06	1.32E+06
SPO1195	SPO1195				7.26E+06	7.01E+06	7.60E+06
SPO1196	SPO1196				1.61E+07	1.62E+07	1.66E+07
SPO1197	SPO1197				782283	624360	760437
SPO1198	SPO1198					91917.6	91292.3
SPO1200	SPO1200				2.10E+06	2.11E+06	2.17E+06
SPO1201	SPO1201				9.26E+06	9.41E+06	9.03E+06
SPO1202	SPO1202				1.43E+06	1.42E+06	1.43E+06
SPO1203	SPO1203				3.81E+06	3.51E+06	3.51E+06
SPO1204	SPO1204				2.26E+07	2.26E+07	2.25E+07
SPO1205	SPO1205				2.19E+06	2.19E+06	2.02E+06
SPO1206	SPO1206				4.44E+06	4.29E+06	4.65E+06
SPO1207	SPO1207				3.85E+06	3.85E+06	3.75E+06
SPO1208	SPO1208				559978	594229	596082
SPO1209	SPO1209				2.06E+06	2.17E+06	2.18E+06
SPO1210	SPO1210				3.92E+06	3.83E+06	3.75E+06
SPO1211	SPO1211				327286	330692	379498
SPO1212	SPO1212				2.07E+06	2.12E+06	2.09E+06
SPO1213	SPO1213				1.92E+06	1.92E+06	1.93E+06
SPO1214	SPO1214				6.67E+06	6.26E+06	6.61E+06
SPO1215	SPO1215				2.39E+06	2.37E+06	2.29E+06
SPO1217	SPO1217				157881	168824	137933
SPO1218	SPO1218				242044	271357	267430
SPO1219	SPO1219				834108	803487	743117
SPO1220	SPO1220				1.35E+06	1.22E+06	1.42E+06
SPO1221	SPO1221				2.00E+06	2.09E+06	2.15E+06
SPO1226	SPO1226				520899	509003	523115
SPO1226a	SPO1226a				684766	754966	692789
SPO1228	SPO1228				186773	191184	155905
SPO1229	SPO1229				145236	155746	129251
SPO1230	SPO1230				356620	347260	350612
SPO1232	SPO1232				192410	199812	222081
SPO1233	SPO1233				229010	248278	228035
SPO1234	SPO1234				2.42E+06	2.50E+06	2.39E+06
SPO1235	SPO1235				1.74E+06	1.73E+06	1.69E+06
SPO1236	SPO1236				1.58E+06	1.61E+06	1.55E+06
SPO1237	SPO1237				1.05E+06	949109	958779
SPO1239	SPO1239				1.15E+07	1.22E+07	1.13E+07
SPO1240	SPO1240				4.20E+07	4.20E+07	4.16E+07
SPO1241	SPO1241				4.17E+06	4.51E+06	3.87E+06
SPO1242	SPO1242				1.15E+06	1.19E+06	1.16E+06
SPO1243	SPO1243				7.29E+06	7.26E+06	6.32E+06
SPO1244	SPO1244				3.34E+07	3.86E+07	3.67E+07
SPO1245	SPO1245				807441	700459	761203
SPO1246	SPO1246				2.98E+06	2.96E+06	2.78E+06
SPO1247	SPO1247				1.15E+06	1.07E+06	1.08E+06
SPO1249	SPO1249				1.11E+06	1.12E+06	1.01E+06
SPO1250	SPO1250				2.52E+06	2.49E+06	2.44E+06
SPO1251	SPO1251				692349	762082	677747
SPO1252	SPO1252				169000	185345	189060
SPO1252a	SPO1252a				2.11E+06	2.08E+06	1.99E+06
SPO1253	SPO1253				1.03E+07	1.03E+07	1.00E+07
SPO1254	SPO1254				1.53E+06	1.70E+06	1.53E+06
SPO1255	SPO1255				5.51E+06	5.82E+06	5.80E+06
SPO1256	SPO1256				2.37E+06	2.38E+06	2.19E+06
SPO1257	SPO1257				4.62E+06	4.31E+06	4.34E+06
SPO1258	SPO1258				2.21E+06	2.20E+06	2.09E+06
SPO1259	SPO1259				2.32E+06	2.32E+06	2.26E+06
SPO1260	SPO1260				178111	218441	235380
SPO1261	SPO1261				221589	197073	178506
SPO1263	SPO1263				6.40E+06	6.21E+06	6.31E+06
SPO1264	SPO1264				7.59E+06	7.71E+06	7.61E+06
SPO1265	SPO1265				1.44E+07	1.29E+07	1.39E+07
SPO1266	SPO1266				918729	860224	921402
SPO1267	SPO1267				44524.4	19786.9	31909
SPO1268	SPO1268				84141.4	97465.2	103179
SPO1269	SPO1269				111559	129966	106976
SPO1270	SPO1270				3.15E+06	3.32E+06	3.50E+06
SPO1271	SPO1271				1.86E+06	1.75E+06	1.86E+06
SPO1272	SPO1272				1.08E+07	1.10E+07	1.06E+07
SPO1273	SPO1273				1.25E+07	1.24E+07	1.23E+07
SPO1274	SPO1274				858977	924062	907960
SPO1275	SPO1275				9.10E+07	9.05E+07	9.03E+07
SPO1276	SPO1276				2.72E+06	2.90E+06	2.73E+06
SPO1278	SPO1278				356147	301746	356160
SPO1279	SPO1279				492668	431323	468744
SPO1280	SPO1280				106731	89549.2	93742
SPO1281	SPO1281				1.95E+06	1.81E+06	1.51E+06
SPO1282	SPO1282				1.07E+07	1.04E+07	1.05E+07
SPO1283	SPO1283				1.93E+06	2.17E+06	2.33E+06
SPO1284	SPO1284				1.67E+06	1.80E+06	1.78E+06
SPO1285	SPO1285				2.48E+06	2.53E+06	2.56E+06
SPO1286	SPO1286				874037	837486	843764
SPO1287	SPO1287				388532	331227	324747
SPO1288	SPO1288				588775	560013	571311
SPO1289	SPO1289				1.24E+06	1.13E+06	1.16E+06
SPO1290	SPO1290				2.34E+06	2.24E+06	2.21E+06
SPO1291	SPO1291				1.96E+07	1.92E+07	2.01E+07
SPO1292	SPO1292				5.70E+06	5.56E+06	5.56E+06
SPO1293	SPO1293				8.88E+07	8.48E+07	8.86E+07
SPO1294	SPO1294				5.27E+06	5.32E+06	4.90E+06
SPO1295	SPO1295				4.94E+06	4.96E+06	4.58E+06
SPO1298	SPO1298				283536	318584	312566
SPO1299	SPO1299				235862	259564	248301
SPO1300	SPO1300				8.71E+06	8.60E+06	8.58E+06
SPO1301	SPO1301				2.51E+06	2.36E+06	2.32E+06
SPO1302	SPO1302				5.95E+06	5.95E+06	5.74E+06
SPO1303	SPO1303				2.41E+06	2.34E+06	2.32E+06
SPO1304	SPO1304				1.50E+06	1.34E+06	1.54E+06
SPO1305	SPO1305				3.24E+06	3.23E+06	3.47E+06
SPO1306	SPO1306				1.63E+07	1.65E+07	1.51E+07
SPO1307	SPO1307				6.95E+06	7.23E+06	6.97E+06
SPO1308	SPO1308				1.26E+06	1.19E+06	1.24E+06
SPO1309	SPO1309				744592	624655	642050
SPO1310	SPO1310				2.17E+06	2.13E+06	1.89E+06
SPO1310a	SPO1310a				9.13E+06	9.90E+06	8.39E+06
SPO1311	SPO1311				1.37E+06	1.34E+06	1.29E+06
SPO1312	SPO1312				1.10E+07	1.10E+07	1.11E+07
SPO1313	SPO1313				1.14E+06	1.18E+06	1.08E+06
SPO1314	SPO1314				1.53E+07	1.55E+07	1.52E+07
SPO1315	SPO1315				1.97E+07	1.98E+07	1.91E+07
SPO1316	SPO1316				1.27E+06	1.06E+06	1.29E+06
SPO1317	SPO1317				2.94E+06	2.45E+06	2.03E+06
SPO1318	SPO1318				1.33E+07	1.31E+07	1.32E+07
SPO1319	SPO1319				464837	502613	477355
SPO1320	SPO1320				5.61E+06	5.72E+06	5.44E+06
SPO1321	SPO1321				744847	695216	735756
SPO1322	SPO1322				50532.6	65570.9	35056.8
SPO1323	SPO1323				2.17E+06	1.99E+06	2.13E+06
SPO1324	SPO1324				305482	411098	291459
SPO1326	SPO1326				448668	371839	332657
SPO1327	SPO1327				2.42E+06	2.54E+06	2.48E+06
SPO1328	SPO1328				1.08E+07	1.04E+07	1.06E+07
SPO1329	SPO1329				1.99E+07	2.05E+07	2.00E+07
SPO1330	SPO1330				1.68E+07	1.71E+07	1.66E+07
SPO1331	SPO1331				595080	587060	586736
SPO1333	SPO1333				1.38E+07	1.40E+07	1.38E+07
SPO1334	SPO1334				2.62E+06	2.66E+06	2.43E+06
SPO1335	SPO1335				2.45E+06	2.28E+06	2.09E+06
SPO1336	SPO1336				1.26E+06	1.49E+06	1.40E+06
SPO1337	SPO1337				108665	111885	116748
SPO1337a	SPO1337a				798226	704167	728944
SPO1339	SPO1339				8.34E+06	8.42E+06	8.54E+06
SPO1340	SPO1340				174244	165375	164782
SPO1341	SPO1341				450741	455280	454349
SPO1342	SPO1342				108361	69124.5	65417.1
SPO1343	SPO1343				998071	1.05E+06	1.04E+06
SPO1344	SPO1344				3.36E+06	3.24E+06	3.25E+06
SPO1345	SPO1345				1.61E+07	1.57E+07	1.59E+07
SPO1346	SPO1346				943066	972190	976544
SPO1347	SPO1347				697190	711690	722679
SPO1348	SPO1348				4.35E+06	4.28E+06	3.89E+06
SPO1349	SPO1349				3.95E+06	3.81E+06	3.75E+06
SPO1351	SPO1351				2.80E+06	2.88E+06	2.81E+06
SPO1352	SPO1352				2.55E+06	2.50E+06	2.48E+06
SPO1352a	SPO1352a				1.19E+07	1.15E+07	1.22E+07
SPO1353	SPO1353				361368	369755	398998
SPO1354	SPO1354				8.34E+06	8.54E+06	8.00E+06
SPO1355	SPO1355				7.36E+06	7.21E+06	7.29E+06
SPO1356	SPO1356				2.89E+06	2.83E+06	2.72E+06
SPO1356a	SPO1356a				5.44E+06	5.27E+06	5.40E+06
SPO1357	SPO1357				118799	116239	96091.7
SPO1358	SPO1358				8.99E+06	8.94E+06	8.74E+06
