Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO1994	SPO1994				1.10E+06	1.07E+06	1.12E+06
SPO1995	SPO1995				719665	715671	746694
SPO1996	SPO1996				7.53E+06	7.50E+06	7.42E+06
SPO1997	SPO1997				381940	382235	380387
SPO1998	SPO1998				311143	319369	282892
SPO2000	SPO2000				2.37E+07	2.53E+07	2.27E+07
SPO2001	SPO2001				5.24E+06	5.15E+06	5.24E+06
SPO2002	SPO2002				1.27E+07	1.26E+07	1.27E+07
SPO2003	SPO2003				8.61E+06	8.71E+06	8.44E+06
SPO2004	SPO2004				7.96E+06	7.82E+06	8.01E+06
SPO2005	SPO2005				1.27E+07	1.28E+07	1.24E+07
SPO2006	SPO2006				9.09E+06	9.00E+06	9.18E+06
SPO2007	SPO2007				8.13E+07	8.24E+07	8.33E+07
SPO2009	SPO2009				566728	507764	593366
SPO2010	SPO2010				2.09E+06	2.15E+06	2.19E+06
SPO2013	SPO2013				181865	182608	182126
SPO2014	SPO2014				5.34E+06	5.25E+06	5.36E+06
SPO2015	SPO2015				1.98E+06	2.58E+06	2.18E+06
SPO2016	SPO2016				2.56E+06	2.36E+06	2.52E+06
SPO2017	SPO2017				1.90E+07	1.80E+07	1.81E+07
SPO2018	SPO2018				1.94E+07	1.91E+07	1.93E+07
SPO2019	SPO2019				2.50E+06	2.63E+06	2.43E+06
SPO2020	SPO2020				4.53E+06	4.19E+06	4.42E+06
SPO2021	SPO2021				5.47E+06	5.50E+06	5.35E+06
SPO2022	SPO2022				1.22E+06	1.27E+06	1.21E+06
SPO2023	SPO2023				1.39E+07	1.35E+07	1.32E+07
SPO2024	SPO2024				3.65E+06	3.65E+06	3.46E+06
SPO2025	SPO2025				1.85E+06	1.94E+06	1.82E+06
SPO2026	SPO2026				1.63E+07	1.79E+07	1.66E+07
SPO2027	SPO2027				595511	490435	451037
SPO2028	SPO2028				1.09E+06	1.05E+06	1.09E+06
SPO2029	SPO2029				6.83E+06	6.42E+06	6.70E+06
SPO2031	SPO2031				5.98E+06	5.86E+06	6.02E+06
SPO2032	SPO2032				1.28E+07	1.34E+07	1.27E+07
SPO2033	SPO2033				1.48E+07	1.48E+07	1.50E+07
SPO2034	SPO2034				1.12E+07	1.11E+07	1.14E+07
SPO2035	SPO2035				2.98E+06	2.88E+06	3.06E+06
SPO2036	SPO2036				922848	942146	953756
SPO2037	SPO2037				1.99E+06	2.13E+06	2.01E+06
SPO2038	SPO2038				3.63E+06	3.57E+06	3.36E+06
SPO2039	SPO2039				1.44E+07	1.41E+07	1.50E+07
SPO2040	SPO2040				1.19E+06	1.25E+06	1.22E+06
SPO2041	SPO2041				3.31E+06	3.31E+06	3.35E+06
SPO2042	SPO2042				653970	575978	562576
SPO2044	SPO2044				2.74E+06	2.63E+06	2.47E+06
SPO2045	SPO2045				7.95E+06	7.69E+06	7.56E+06
SPO2046	SPO2046				8.93E+06	9.24E+06	8.99E+06
SPO2047	SPO2047				7.87E+06	7.66E+06	7.21E+06
SPO2048	SPO2048				6.92E+06	6.91E+06	6.84E+06
SPO2049	SPO2049				688755	725863	688085
SPO2050	SPO2050				81538.4	93408.6	93928.5
SPO2051	SPO2051				1.13E+07	1.14E+07	1.12E+07
SPO2052	SPO2052					63549.7	
SPO2053	SPO2053				5.66E+06	5.59E+06	5.52E+06
SPO2054	SPO2054				7.24E+06	7.09E+06	7.27E+06
SPO2055	SPO2055				3.51E+06	3.47E+06	3.44E+06
SPO2056	SPO2056				1.04E+07	1.06E+07	9.96E+06
SPO2057	SPO2057				1.41E+06	983976	1.32E+06
SPO2058	SPO2058				742199	715749	670542
SPO2059	SPO2059				2.49E+06	2.61E+06	2.53E+06
SPO2060	SPO2060				3.74E+06	3.63E+06	3.91E+06
SPO2061	SPO2061				3.30E+06	3.52E+06	3.50E+06
SPO2062	SPO2062				1.70E+06	1.65E+06	1.76E+06
SPO2063	SPO2063				592833	565468	570495
SPO2064	SPO2064				3.07E+06	2.99E+06	3.05E+06
SPO2065	SPO2065				3.53E+07	3.11E+07	3.47E+07
SPO2066	SPO2066				2.30E+06	2.24E+06	2.28E+06
SPO2067	SPO2067					74734.4	
SPO2068	SPO2068				1.88E+06	1.96E+06	1.85E+06
SPO2069	SPO2069				2.86E+06	2.75E+06	2.67E+06
SPO2070	SPO2070				4.42E+06	4.48E+06	4.28E+06
SPO2071	SPO2071				1.45E+06	1.45E+06	1.37E+06
SPO2072	SPO2072				2.38E+06	2.39E+06	2.32E+06
SPO2073	SPO2073				1.19E+06	1.14E+06	1.07E+06
SPO2074	SPO2074				4.12E+06	4.07E+06	3.98E+06
SPO2075	SPO2075				1.77E+06	1.66E+06	1.82E+06
SPO2076	SPO2076				4.80E+06	4.56E+06	4.74E+06
SPO2077	SPO2077				8.03E+07	7.68E+07	8.22E+07
SPO2078	SPO2078				3.94E+06	3.20E+06	3.84E+06
SPO2079	SPO2079				57998.7	31716	69398.7
SPO2080	SPO2080				3.55E+06	3.31E+06	3.43E+06
SPO2081	SPO2081				1.38E+07	1.38E+07	1.37E+07
SPO2082	SPO2082				838962	833226	840932
SPO2083	SPO2083				2.44E+06	2.50E+06	2.67E+06
SPO2084	SPO2084				897528	889762	809752
SPO2085	SPO2085				6.47E+06	6.48E+06	6.54E+06
SPO2086	SPO2086				1.07E+06	1.17E+06	1.05E+06
SPO2087	SPO2087				1.71E+06	1.69E+06	1.64E+06
SPO2088	SPO2088				415161	450267	456299
SPO2089	SPO2089				560680	551436	551958
SPO2090	SPO2090				4.49E+06	4.36E+06	4.47E+06
SPO2091	SPO2091				230268	188417	216979
SPO2092	SPO2092				2.69E+06	2.66E+06	2.68E+06
SPO2093	SPO2093						
SPO2094	SPO2094				1.08E+06	1.03E+06	1.05E+06
SPO2095	SPO2095				3.85E+06	3.78E+06	3.51E+06
SPO2096	SPO2096				1.61E+06	1.43E+06	1.63E+06
SPO2097	SPO2097				4.77E+06	4.76E+06	4.95E+06
SPO2098	SPO2098				444045	430987	423063
SPO2099	SPO2099				475633	453953	471611
SPO2100	SPO2100				727989	870822	873096
SPO2101	SPO2101				3.01E+06	2.98E+06	3.09E+06
SPO2102	SPO2102				1.25E+07	1.25E+07	1.25E+07
SPO2103	SPO2103				1.30E+07	1.38E+07	1.36E+07
SPO2104	SPO2104				383306	240744	195630
SPO2105	SPO2105				781533	746743	760130
SPO2106	SPO2106				245189	37280	81375.2
SPO2107	SPO2107						
SPO2108	SPO2108				738345	710728	751554
SPO2109	SPO2109				9.73E+06	9.25E+06	9.46E+06
SPO2110	SPO2110				455685	458663	422687
SPO2111	SPO2111						
SPO2113	SPO2113				2.41E+06	2.45E+06	2.61E+06
SPO2116	SPO2116				1.61E+06	1.55E+06	1.58E+06
SPO2117	SPO2117				8.20E+06	7.33E+06	7.26E+06
SPO2118	SPO2118				1.02E+06	965643	943156
SPO2119	SPO2119				1.10E+07	1.12E+07	1.05E+07
SPO2120	SPO2120				6.00E+06	5.23E+06	5.39E+06
SPO2121	SPO2121				1.57E+07	1.63E+07	1.57E+07
SPO2122	SPO2122				483146	453895	519346
SPO2123	SPO2123				263832	288634	309241
SPO2124	SPO2124				1.19E+06	1.17E+06	1.10E+06
SPO2125	SPO2125				700352	718933	682517
SPO2126	SPO2126				6.46E+06	6.24E+06	6.30E+06
SPO2127	SPO2127				999788	1.06E+06	1.03E+06
SPO2128	SPO2128				480329	471204	545543
SPO2129	SPO2129				1.04E+06	1.09E+06	1.02E+06
SPO2130	SPO2130				3.04E+06	2.96E+06	3.05E+06
SPO2131	SPO2131				3.76E+06	3.93E+06	3.94E+06
SPO2132	SPO2132				565849	525751	570750
SPO2133	SPO2133				1.08E+08	1.04E+08	1.09E+08
SPO2134	SPO2134				680285	665985	647696
SPO2135	SPO2135				66736.8		
SPO2136	SPO2136				2.69E+06	2.67E+06	2.77E+06
SPO2137	SPO2137				721349	653974	630921
SPO2139	SPO2139				1.50E+06	1.52E+06	1.44E+06
SPO2140	SPO2140				5.74E+06	5.83E+06	5.77E+06
SPO2141	SPO2141				3.16E+06	2.99E+06	3.23E+06
SPO2142	SPO2142				2.98E+07	2.97E+07	2.98E+07
SPO2143	SPO2143				1.67E+07	1.70E+07	1.73E+07
SPO2144	SPO2144				5.50E+06	5.43E+06	5.49E+06
SPO2145	SPO2145				1.03E+07	1.05E+07	1.02E+07
