Accession Number	Annotation	1	2	3
SPO1080	"Membrane protein, putative"			12087.2
SPO1081	DUF1036 domain-containing protein	902744	634700	667780
SPO1082	HTH-type transcriptional regulator BetI	1.33E+06	1.75E+06	1.72E+06
SPO1083	Choline sulfatase (EC 3.1.6.6)	1.66E+06	2.01E+06	2.01E+06
SPO1084	Lumazine-binding protein		32432.2	26916.7
SPO1085	Carboxyvinyl-carboxyphosphonate phosphorylmutase	9.83E+06	9.92E+06	1.04E+07
SPO1086	HTH-type transcriptional regulator BetI	4.36E+06	3.71E+06	3.41E+06
SPO1087	"Membrane protein, putative"	61627.2		53045.2
SPO1088	Choline dehydrogenase (EC 1.1.99.1)	749660	667318	661700
SPO1089	DUF465 domain-containing protein	1.27E+06	4.55E+06	4.91E+06
SPO1090	"DNA-binding protein, putative"	699029	684664	680437
SPO1091	YCII-related domain protein	164895		130455
SPO1092	"Transcriptional regulator, LysR family"	822594	657449	679704
SPO1093	Bcr/CflA family efflux transporter	236549	331359	303033
SPO1094	"Propionyl-CoA carboxylase, beta subunit (EC 6.4.1.3)"	2.40E+06	2.33E+06	2.27E+06
SPO1094a	Unknown	287822	407446	423713
SPO1096	"Lipoprotein, putative"	579388
SPO1097	Fido domain-containing protein	1.58E+06	1.48E+06	1.45E+06
SPO1101	Propionyl-CoA carboxylase alpha chain (EC 6.4.1.3)	5.00E+06	5.85E+06	5.82E+06
SPO1102	"Lipoprotein, putative"	675749	520647	488696
SPO1103	DUF4174 domain-containing protein	3.36E+06	2.85E+06	2.93E+06
SPO1104	Sulfotransferase family protein	50756.7		39372.4
SPO1105	methylmalonyl-CoA mutase (EC 5.4.99.2)	3.45E+06	3.63E+06	3.72E+06
SPO1106	Glyoxalase-like domain-containing protein	490585	477872	442848
SPO1107	"Phosphinothricin N-acetyltransferase, putative"	576684	476302	528346
SPO1108	"DnaJ-like protein DjlA, putative"	1.76E+06	1.64E+06	1.58E+06
SPO1109	Endonuclease/exonuclease/phosphatase family protein	310895	356549	323685
SPO1110	"Transcriptional regulator, LysR family"	1.25E+06	1.33E+06	1.33E+06
SPO1111	Putative hydro-lyase SPO1111 (EC 4.2.1.-)	843042	882873	917802
SPO1112	"TRAP transporter, periplasmic protein"	4.99E+06	5.65E+06	5.47E+06
SPO1114	TRAP transporter large permease protein	102537	151488
SPO1115	DUF2848 domain-containing protein	653631	883300	898814
SPO1116	Peptidoglycan binding-like domain-containing protein	486916	492106	556136
SPO1117	"Phosphatase, Ppx/GppA family"	3.65E+06	3.50E+06	3.52E+06
SPO1118	Chromosomal replication initiator protein DnaA domain-containing protein	1.50E+06	1.65E+06	1.68E+06
SPO1119	Membrane protein	1.34E+06	2.14E+06	2.17E+06
SPO1120	HTH luxR-type domain-containing protein	1.20E+06	1.23E+06	1.12E+06
SPO1121	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	1.62E+07	1.47E+07	1.52E+07
SPO1122	Uncharacterized protein	105593	133442	152673
SPO1123	Lipoprotein releasing system transmembrane protein LolE	6.85E+06	5.83E+06	5.95E+06
SPO1124	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	3.68E+06	3.48E+06	3.64E+06
SPO1125	Cytochrome c domain-containing protein	133224		151042
SPO1126	Cytochrome c family protein
SPO1127	Cytochrome c family protein	536877	262809	338216
SPO1128	Lipoprotein	1.21E+06	1.10E+06	1.06E+06
SPO1129	DNA-3-methyladenine glycosylase I	2.89E+06	2.57E+06	2.54E+06
SPO1130	Thioesterase family protein	622238	971701	903606
SPO1131	"Glycine betaine/proline ABC transporter, periplasmic substrate-binding protein"	8.01E+06	1.01E+07	1.10E+07
SPO1132	Quaternary amine transport ATP-binding protein (EC 7.6.2.9)	1.01E+06	1.26E+06	1.25E+06
SPO1133	"Glycine betaine/proline ABC transporter, permease protein"	824858	969474	993422
SPO1134	NnrU family protein	497685	411264	437906
SPO1135	3-dehydroquinate dehydratase	3.84E+06	3.78E+06	3.77E+06
SPO1136	Diaminobutyric acid transaminase	582470	662234	654800
SPO1137	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.16)	116253	89374.3	121455
SPO1138	"AsnC/Lrp-like DNA-binding protein, transcriptional regulator"	126761	152409	112772
SPO1139	"N-acetyl-L-2,4-diaminobutyric acid deacetylase"	886369	828918	844666
SPO1140	Ectoine hydrolase	1.15E+06	1.25E+06	1.22E+06
SPO1141	Ornithine cyclodeaminase/mu-crystallin family protein	542888	607229	664652
SPO1142	"Threonine dehydratase, putative"	541071	676919	600672
SPO1143	Ectoine utilization protein EutA	277691	283287	386311
SPO1147	Ectoine/5-hydroxyectoine-binding periplasmic protein UehA (Uptake of ectoine and hydroxyectoine protein A)	99610.5	85346.9	107069
SPO1148	"Transcriptional regulator, GntR family"	1.26E+06	1.08E+06	984773
SPO1150	"RNA methyltransferase, TrmH family, group 3"	7.36E+06	5.30E+06	5.37E+06
SPO1151	Uncharacterized protein	294381		319992
SPO1152	"Twin-arginine translocation pathway signal sequence domain protein, putative"	1.82E+06	2.13E+06	2.05E+06
SPO1153	CoA-binding domain protein	4.82E+06	4.43E+06	4.37E+06
SPO1154	"Lipoprotein, putative"	6.64E+06	6.48E+06	6.29E+06
SPO1155	Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)	1.47E+06	1.35E+06	1.30E+06
SPO1156	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	4.39E+06	4.85E+06	5.02E+06
SPO1157	DUF2867 domain-containing protein	808152	842755	783472
SPO1158	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase 1 (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase 1)	6.00E+06	6.07E+06	6.21E+06
SPO1159	DUF2147 domain-containing protein	6.25E+06	5.53E+06	5.64E+06
SPO1160	Thioredoxin domain-containing protein	406966	536146	499545
SPO1161	"Transcriptional regulator, AraC family"	1.79E+06	2.03E+06	1.91E+06
SPO1162	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	3.40E+06	4.04E+06	3.97E+06
SPO1163	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	5.79E+06	5.93E+06	6.27E+06
SPO1164	Transcription regulator AsnC/Lrp ligand binding domain-containing protein	7.43E+06	8.27E+06	8.98E+06
SPO1165	VWFA domain-containing protein	46002.1	56023.3	60619.3
SPO1166	"Aminotransferase, class III family"	6.96E+06	7.78E+06	7.69E+06
SPO1171	Pyruvate carboxylase (EC 6.4.1.1)	4.47E+07	4.51E+07	4.44E+07
SPO1172	FMN-dependent alpha-hydroxy acid dehydrogenase family protein	6.96E+06	5.60E+06	5.77E+06
SPO1173	diguanylate cyclase (EC 2.7.7.65)	112416	130671	169894
SPO1174	DNA 3'-5' helicase (EC 5.6.2.4) (DNA 3'-5' helicase II)	2.36E+06	2.33E+06	2.30E+06
SPO1176	Ser/Thr protein phosphatase family protein	918265	1.41E+06	1.36E+06
SPO1177	DUF1127 domain-containing protein	5.47E+06	4.16E+06	3.79E+06
SPO1178	Transcriptional regulator MraZ	5.35E+06	4.12E+06	3.73E+06
SPO1179	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	1.35E+06	1.16E+06	1.11E+06
SPO1180	Cell division protein FtsL	279429	324519	310750
SPO1181	Penicillin-binding protein	413226	360163	336932
SPO1182	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"	2.35E+06	2.75E+06	2.67E+06
SPO1183	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	2.71E+06	2.60E+06	2.49E+06
SPO1184	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	603285	680590	638486
SPO1185	Uncharacterized protein	918803	1.25E+06	1.27E+06
SPO1186	TPR domain protein	695192	1.30E+06	1.33E+06
SPO1187	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	1.42E+06	1.46E+06	1.51E+06
SPO1188	NAD(FAD)-utilizing dehydrogenase	1.79E+06	1.98E+06	1.94E+06
SPO1190	Transcriptional regulator family protein	317768	203951	176216
SPO1191	Glutathione S-transferase (EC 2.5.1.18)	876813	858705	940752
SPO1192	Lumazine-binding protein	384649	351936	355666
SPO1193	Tautomerase (EC 5.3.2.-)
SPO1194	Probable peptidoglycan glycosyltransferase FtsW (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase)	367438	486644	450799
SPO1195	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	4.62E+06	4.21E+06	4.51E+06
SPO1196	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	1.19E+07	1.17E+07	1.13E+07
SPO1197	Amino acid permease	379747	517997	474352
SPO1198	DUF2484 family protein	68073.7	127996	98546.6
SPO1200	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	2.56E+06	2.03E+06	2.02E+06
SPO1201	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	6.41E+06	8.50E+06	8.59E+06
SPO1202	Cell division protein FtsQ	432059	450836	450037
SPO1203	Cell division protein FtsA	2.01E+06	2.60E+06	2.72E+06
SPO1204	Cell division protein FtsZ	2.19E+07	2.39E+07	2.35E+07
SPO1205	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	1.65E+06	1.46E+06	1.29E+06
SPO1206	Outer membrane protein assembly factor BamD	3.12E+06	4.57E+06	4.53E+06
SPO1207	DNA repair protein RecN (Recombination protein N)	4.05E+06	4.81E+06	4.93E+06
SPO1208	Voltage-gated chloride channel family protein	479724	589952	589048
SPO1209	Microcystinase C (MlrC)	3.37E+06	3.39E+06	3.40E+06
SPO1210	"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein"	2.62E+06	3.57E+06	3.31E+06
SPO1211	"Oligopeptide ABC transporter, permease protein"	183284	301218	292000
SPO1212	"Oligopeptide ABC transporter, permease protein"	1.62E+06	1.72E+06	1.70E+06
SPO1213	"Oligopeptide ABC transporter, ATP-binding protein"	1.45E+06	1.48E+06	1.59E+06
SPO1214	Hippurate hydrolase (EC 3.5.1.32)	4.50E+06	4.53E+06	4.58E+06
SPO1215	"Peptidase, M20/M25/M40 family"	1.98E+06	1.89E+06	1.87E+06
SPO1217	"DNA-binding protein, putative"	269190	332929	280793
SPO1218	"Site-specific recombinase, phage integrase family"	560376	548432	544880
SPO1219	"Site-specific recombinase, phage integrase family"	536431	655357	621295
SPO1220	Uncharacterized protein	1.01E+06	1.64E+06	1.55E+06
SPO1221	KAP NTPase domain-containing protein	3.34E+06	3.61E+06	3.74E+06
SPO1226	"Lipoprotein, putative"	560703	535793	511009
SPO1226a	Unknown	1.37E+06	1.20E+06	1.26E+06
SPO1228	Uncharacterized protein	80378.8	93405.4	87184.3
SPO1229	Uncharacterized protein	59072.6	98798.8	96887.1
SPO1230	TraD/TraG TraM recognition site domain-containing protein	369122	339302	344670
SPO1232	"DNA-binding protein, H-NS family"	179991	139784	102872
SPO1233	Helicase ATP-binding domain-containing protein	294995	309487	316859
SPO1234	ABC-three component systems C-terminal domain-containing protein	2.31E+06	2.49E+06	2.62E+06
SPO1235	DUF2326 domain-containing protein	1.21E+06	1.43E+06	1.31E+06
SPO1236	Uncharacterized protein	581488	554121	569228
SPO1237	Metallo-beta-lactamase domain-containing protein	511523	645463	659700
SPO1239	Protein-L-isoaspartate O-methyltransferase (Protein L-isoaspartyl methyltransferase)	7.04E+06	9.07E+06	9.18E+06
SPO1240	"Type I secretion outer membrane protein, TolC family"	2.97E+07	3.02E+07	3.01E+07
SPO1241	Glycerol-3-phosphate dehydrogenase	3.63E+06	4.12E+06	4.77E+06
SPO1242	Cobyric acid synthase	1.77E+06	1.63E+06	1.67E+06
SPO1243	Elongation factor P	5.98E+06	5.30E+06	4.55E+06
SPO1244	Elongation factor P (EF-P)	3.30E+07	3.35E+07	3.56E+07
SPO1245	"ABC transporter, permease protein"	546038	943127	928748
SPO1246	Aminomethyl transferase family protein	3.83E+06	3.32E+06	3.58E+06
SPO1247	"Glycosyl transferase, group 2 family protein"	1.44E+06	1.18E+06	1.24E+06
SPO1249	"Paraquat-inducible protein, putative"	882764	1.45E+06	1.40E+06
SPO1250	"Lipoprotein, putative"	2.28E+06	2.78E+06	2.87E+06
SPO1251	Uncharacterized protein	860975	745055	794325
SPO1252	Uncharacterized protein	353417	156370	165014
SPO1252a	Unknown	2.45E+06	2.22E+06	2.20E+06
SPO1253	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	6.16E+06	6.77E+06	6.29E+06
SPO1254	Uncharacterized protein	1.72E+06	2.23E+06	2.22E+06
SPO1255	Alkylhydroperoxidase AhpD family core domain protein	9.95E+06	7.62E+06	7.54E+06
SPO1256	NDP-polyphosphate phosphotransferase 2 (EC 2.7.4.-) (Polyphosphate kinase PPK2 2) (RpPPK2-2)	2.35E+06	2.56E+06	2.36E+06
SPO1257	Glutathione S-transferase family protein	9.59E+06	7.79E+06	8.06E+06
SPO1258	"Hydrolase, alpha/beta fold family"	3.56E+06	4.12E+06	4.29E+06
SPO1259	TIGR02453 family protein	5.67E+06	5.41E+06	5.41E+06
SPO1260	Multidrug-efflux transporter	132234	207080	237636
SPO1261	"Transcriptional regulator, MarR family"		296331	190942
SPO1263	Uncharacterized protein	6.85E+06	6.39E+06	6.19E+06
SPO1264	Aminotransferase (EC 2.6.1.-)	8.22E+06	7.91E+06	7.83E+06
SPO1265	"DNA-binding protein, putative"	1.98E+07	1.55E+07	1.31E+07
SPO1266	FAD assembly factor SdhE	371442	757829	896723
SPO1267	"Transcriptional regulator, MarR family"	382689	351923	422093
SPO1268	"Lipoprotein, putative"	149873	156863	121570
SPO1269	von Willebrand factor type A domain prot	402360	385258	454218
SPO1270	"Lactoylglutathione lyase, putative"	4.34E+06	4.39E+06	3.52E+06
SPO1271	TPR domain protein	534768	563500	563496
SPO1272	Lipoprotein	3.46E+06	5.08E+06	4.94E+06
SPO1273	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)	2.11E+07	2.05E+07	2.08E+07
SPO1274	Lipoprotein	1.51E+06	1.46E+06	1.38E+06
SPO1275	Cold shock family protein	1.16E+08	1.31E+08	1.39E+08
SPO1276	ArsC family protein	4.76E+06	3.01E+06	2.88E+06
SPO1278	DoxX	1.08E+06	1.76E+06	1.54E+06
SPO1279	Putative DNA-binding domain-containing protein	718289	537657	548331
SPO1280	UPF0276 protein SPO1280	75567.1	52733.6	83281.9
SPO1281	Uncharacterized protein	2.85E+06	3.50E+06	4.23E+06
SPO1282	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	1.01E+07	1.03E+07	1.01E+07
SPO1283	MAPEG family protein	1.22E+06	1.56E+06	1.53E+06
SPO1284	"Transcriptional regulator, ArsR family"	864706	1.24E+06	1.11E+06
SPO1285	"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.1.93) (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial)"	2.57E+06	2.56E+06	2.87E+06
SPO1286	AB hydrolase-1 domain-containing protein	822248	953552	903076
SPO1287	Glyoxalase family protein	190548	404086	428952
SPO1288	Peptidase M15A C-terminal domain-containing protein	854824	752747	729081
SPO1289	"Hydrolase, alpha/beta fold family"	1.83E+06	1.40E+06	1.50E+06
SPO1290	CENP-V/GFA domain-containing protein	2.88E+06	1.69E+06	1.77E+06
SPO1291	"Polyhydroxyalkanoate depolymerase, intracellular"	1.44E+07	1.53E+07	1.52E+07
SPO1292	Poly(3-hydroxyalkanoate) polymerase	2.81E+06	3.97E+06	3.87E+06
SPO1293	"Phasin, PhaP"	2.50E+08	3.31E+08	3.27E+08
SPO1294	Polyhydroxyalkanoate synthesis repressor PhaR	5.82E+06	7.29E+06	7.67E+06
SPO1295	"Aminotransferase, DegT/DnrJ/EryC1/StrS family"	3.08E+06	3.77E+06	3.47E+06
SPO1298	"Oxidoreductase, aldo/keto reductase family protein"	690245	526946	544391
SPO1299	"Transcriptional regulator, LysR family"	149228	178364	174060
SPO1300	Glutamine synthetase family protein	7.26E+06	6.64E+06	6.63E+06
SPO1301	"Glutamine amidotransferase, class I"	2.02E+06	2.53E+06	2.59E+06
SPO1302	Glutamine synthetase family protein	3.08E+06	3.08E+06	3.15E+06
SPO1303	"Fructosyl-amino acid oxidase, putative"	1.85E+06	1.68E+06	1.52E+06
SPO1304	"His/Glu/Gln/Arg/opine family ABC transporter, permease protein"	768592	710320	710936
SPO1305	"ABC transporter, permease protein, HisMQ family"	1.09E+06	1.82E+06	1.66E+06
SPO1306	"His/Glu/Gln/Arg/opine family ABC transporter, periplasmic His/Glu/Gln/Arg/opine family-binding protein"	5.16E+06	1.10E+07	1.15E+07
SPO1307	"His/Glu/Gln/Arg/opine family ABC transporter, ATP-binding protein"	3.86E+06	4.19E+06	4.01E+06
SPO1308	Uncharacterized protein	1.66E+06	1.19E+06	1.31E+06
SPO1309	Co-chaperone DjlA N-terminal domain-containing protein	897255	1.55E+06	1.56E+06
SPO1310	Co-chaperone DjlA N-terminal domain-containing protein	2.36E+06	4.58E+06	4.36E+06
SPO1310a	Unknown	1.23E+07	9.32E+06	1.09E+07
SPO1311	Renal dipeptidase family protein	1.95E+06	2.06E+06	2.26E+06
SPO1312	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	8.70E+06	8.63E+06	8.92E+06
SPO1313	Protein-export membrane protein SecG	558619	616124	672509
SPO1314	nitrile hydratase (EC 4.2.1.84)	1.12E+07	1.10E+07	1.09E+07
SPO1315	Nitrile hydratase subunit beta (NHase) (EC 4.2.1.84)	1.25E+07	1.33E+07	1.35E+07
SPO1316	Nitrile hydratase beta subunit-like N-terminal domain-containing protein	648477	1.34E+06	1.18E+06
SPO1317	DUF2842 domain-containing protein	3.39E+06	4.63E+06	4.17E+06
SPO1318	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	1.34E+07	1.45E+07	1.41E+07
SPO1319	Uncharacterized protein	297828	359584	332936
SPO1320	"Lipoprotein, putative"	4.98E+06	5.84E+06	6.39E+06
SPO1321	thiamine diphosphokinase (EC 2.7.6.2)	781894	680556	744104
SPO1322	"Membrane protein, putative"
SPO1323	L-serine dehydratase (EC 4.3.1.17)	2.32E+06	2.59E+06	2.54E+06
SPO1324	Glutathione S-transferase family protein	979188	518954	464418
SPO1326	"Transcriptional regulator, MarR family"	432369	414360	364447
SPO1327	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	2.89E+06	2.56E+06	2.72E+06
SPO1328	Glutathione reductase (GRase) (EC 1.8.1.7)	1.07E+07	1.32E+07	1.25E+07
SPO1329	Protein HflK	1.68E+07	1.96E+07	2.07E+07
SPO1330	Protein HflC	1.81E+07	1.80E+07	1.75E+07
SPO1331	Lipoprotein	1.45E+06	1.62E+06	1.60E+06
SPO1333	Probable periplasmic serine endoprotease DegP-like (EC 3.4.21.107) (Protease Do)	1.81E+07	1.77E+07	1.82E+07
SPO1334	DUF4440 domain-containing protein	1.87E+06	2.10E+06	2.24E+06
SPO1335	"Transcriptional regulator, Crp/Fnr family"	3.43E+06	2.95E+06	3.09E+06
SPO1336	Inner membrane-spanning protein YciB	666219	1.22E+06	1.15E+06
SPO1337	"Membrane protein, putative"		24398.5	37960.2
SPO1337a	Unknown	708121	740382	778395
SPO1339	Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)	8.47E+06	8.59E+06	8.93E+06
SPO1340	"Membrane protein, putative"	197828	327933	357243
SPO1341	"Alkane-1 monooxygenase, putative"	604766	730038	748442
SPO1342	Uncharacterized protein	55365.5	64603.2	101885
SPO1343	Glutathione S-transferase family protein	1.37E+06	1.43E+06	1.43E+06
SPO1344	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	3.53E+06	3.21E+06	3.03E+06
SPO1345	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	1.07E+07	1.07E+07	1.07E+07
SPO1346	"Transcriptional regulator, LuxR family/sensory box protein"	803362	639785	678508
SPO1347	Integrins alpha chain	969586	1.07E+06	948122
SPO1348	Iron-sulfur cluster-binding protein	5.04E+06	6.15E+06	6.48E+06
SPO1349	"Lipoprotein, putative"	3.87E+06	2.60E+06	2.73E+06
SPO1351	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)	4.20E+07	3.74E+07	4.08E+07
SPO1352	GTP cyclohydrolase FolE2 (EC 3.5.4.16)	1.12E+06	1.35E+06	1.31E+06
SPO1352a	Unknown	3.15E+07	3.53E+07	2.89E+07
SPO1353	Trk system potassium uptake protein	196221	359647	323230
SPO1354	Peptidoglycan binding domain protein	5.45E+06	5.83E+06	6.02E+06
SPO1355	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	5.40E+06	6.83E+06	6.91E+06
SPO1356	"Methyltransferase, FkbM family"	2.85E+06	2.53E+06	2.47E+06
SPO1356a	Unknown	4.07E+06	5.69E+06	6.10E+06
SPO1357	Sodium/glutamate symporter	100760	81646.6	87953.8
SPO1358	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	8.30E+06	9.01E+06	8.89E+06
SPO1359	"Pyruvate, phosphate dikinase (EC 2.7.9.1) (Pyruvate, orthophosphate dikinase)"	5.79E+06	5.13E+06	5.21E+06
SPO1360	Cell wall hydrolase SleB domain-containing protein	114963	105038	100212
SPO1361	Multicopper oxidase domain protein	153027	120799	139672
SPO1362	"dihydroneopterin aldolase (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)"	1.61E+06	2.08E+06	2.01E+06
SPO1363	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	624810	635454	675948
SPO1364	Phosphoglucosamine mutase (EC 5.4.2.10)	5.73E+06	4.73E+06	4.77E+06
SPO1364a	Unknown	5.07E+06	3.85E+06	3.88E+06
SPO1365	"Membrane protein, putative"	105313	207024	185329
SPO1366	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	6.38E+07	4.95E+07	5.06E+07
SPO1367	"Transcriptional regulator, AsnC family"	230060	180277	196191
SPO1368	"Transcriptional regulator, AsnC family"	432714	506902	456648
SPO1369	"Transcriptional regulator, GntR family"	2.19E+06	2.21E+06	2.39E+06
SPO1370	Aminotransferase family protein	2.23E+06	2.63E+06	2.49E+06
SPO1371	"2-octaprenyl-6-methoxyphenol hydroxylase, putative"	4.85E+06	3.79E+06	3.83E+06
SPO1372	Uncharacterized protein	2.00E+06	1.59E+06	1.73E+06
SPO1373	Metallo-beta-lactamase domain-containing protein	401041	448719	438448
SPO1374	Pyrimidine 5'-nucleotidase	1.45E+06	1.43E+06	1.50E+06
SPO1375	"Transcriptional regulator, GntR family"	2.54E+06	2.50E+06	2.60E+06
SPO1376	"Glycosyl transferase, group 2 family protein"	120109	81727	102367
SPO1377	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)	1.72E+07	1.69E+07	1.62E+07
SPO1378	GatB/YqeY domain protein	7.24E+06	9.02E+06	9.49E+06
SPO1379	"Prephenate dehydrogenase, putative"	89675.1	80927.4	81515.6
SPO1380	Uncharacterized protein	362858	245192	238083
SPO1381	Integral membrane protein	335566	352770	386213
SPO1382	"Glycosyl transferase, group 2 family protein"	211727	364316	343643
SPO1383	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	1.93E+06	2.60E+06	2.55E+06
SPO1384	"Transcriptional regulator, MarR family"	1.36E+06	1.04E+06	1.00E+06
SPO1385	Twin-arginine translocation pathway signal sequence domain protein	317225	257536	304827
SPO1386	HIT family protein	1.03E+07	9.98E+06	9.82E+06
SPO1387	Cation efflux system protein	96696.4	84021.9	89609.4
SPO1388	"Transcriptional regulator, LuxR family/hydrolase, alpha/beta fold family"	655714	745592	754031
SPO1389	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	635186	547725	567032
SPO1390	"Thioredoxin domain protein, DsbA family"	1.11E+06	1.31E+06	1.36E+06
SPO1392	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein	385657	940233	766525
SPO1393	Rrf2 family protein	430956	431161	484499
SPO1394	"Beta-lactamase, putative"
SPO1395	"Transcriptional regulator, AraC family"	165916	183093	141216
SPO1396	"Transporter, putative"	190854	244966	253691
SPO1397	Efflux pump membrane transporter	2.05E+06	2.89E+06	2.91E+06
SPO1398	"Efflux transporter, RND family, MFP subunit"	8.55E+06	1.22E+07	1.26E+07
SPO1399	"Transcriptional regulator, AraC family"	659296	642299	684566
SPO1400	3-keto-5-aminohexanoate cleavage enzyme	419485	564477	579902
SPO1401	"Aminotransferase, class III"	2.45E+06	2.29E+06	2.35E+06
SPO1402	Lipoprotein	178076	206475	202981
SPO1403	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	1.12E+07	1.04E+07	1.04E+07
SPO1404	"Membrane protein, putative"	1.30E+06	911750	919458
SPO1405	Tyrosinase domain protein	2.88E+06	3.03E+06	3.49E+06
SPO1406	"Membrane protein, putative"	207535	174676	205665
SPO1407	Uncharacterized protein	291055	353927	306263
SPO1408	Pseudouridine synthase (EC 5.4.99.-)	1.74E+06	2.22E+06	2.16E+06
