Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO0498	SPO0498				2.92E+06	3.65E+06	4.95E+06
SPO0499	SPO0499				2.05E+08	2.01E+08	2.28E+08
SPO0500	SPO0500				535014	696282	660594
SPO0501	SPO0501				3.41E+07	3.85E+07	2.41E+07
SPO0502	SPO0502				1.46E+06	751907	1.44E+06
SPO0503	SPO0503				9.96E+07	1.10E+08	6.02E+07
SPO0504	SPO0504				1.29E+07	1.61E+07	1.06E+07
SPO0504a	SPO0504a				3.22E+06	2.64E+06	2.74E+06
SPO0505	SPO0505				4.75E+07	2.90E+07	2.69E+07
SPO0506	SPO0506						
SPO0507	SPO0507				186893	312882	280882
SPO0508	SPO0508				3.60E+06		580669
SPO0509	SPO0509				1.89E+06	2.16E+06	2.15E+06
SPO0510	SPO0510				693995	628882	888740
SPO0511	SPO0511				445833	464859	882070
SPO0512	SPO0512				2.53E+08	1.49E+08	1.36E+08
SPO0513	SPO0513						
SPO0514	SPO0514						
SPO0515	SPO0515						
SPO0516	SPO0516						
SPO0517	SPO0517						
SPO0518	SPO0518						
SPO0519	SPO0519				1.60E+09	1.34E+09	1.35E+09
SPO0520	SPO0520						
SPO0521	SPO0521						
SPO0522	SPO0522				202201	194073	104267
SPO0523	SPO0523					40982.8	
SPO0524	SPO0524						
SPO0525	SPO0525						
SPO0526	SPO0526				1.47E+06	677014	1.01E+06
SPO0527	SPO0527				5.03E+06		9.21E+06
SPO0528	SPO0528				318926	497666	449860
SPO0530	SPO0530				153750		
SPO0531	SPO0531				4.74E+07	2.73E+07	
SPO0532	SPO0532						1.57E+06
SPO0533	SPO0533						
SPO0534	SPO0534						130915
SPO0535	SPO0535						
SPO0536	SPO0536						
SPO0537	SPO0537						
SPO0538	SPO0538				4.30E+07	7.53E+07	7.22E+07
SPO0539	SPO0539						
SPO0540	SPO0540				5.79E+06		
SPO0541	SPO0541						
SPO0543	SPO0543						
SPO0544	SPO0544						
SPO0545	SPO0545				1.31E+06	775666	1.40E+06
SPO0546	SPO0546				1.72E+06	1.53E+06	1.45E+06
SPO0547	SPO0547						
SPO0549	SPO0549						4.68E+06
SPO0550	SPO0550						
SPO0551	SPO0551						
SPO0552	SPO0552						
SPO0553	SPO0553						
SPO0554	SPO0554						
SPO0555	SPO0555				6.48E+06		
SPO0556	SPO0556						
SPO0557	SPO0557						334655
SPO0558	SPO0558						
SPO0559	SPO0559						
SPO0560	SPO0560				856431	1.80E+06	959615
SPO0561	SPO0561						
SPO0562	SPO0562						
SPO0563	SPO0563						
SPO0564	SPO0564						403399
SPO0565	SPO0565						
SPO0566	SPO0566						
SPO0567	SPO0567				869401	719172	840654
SPO0568	SPO0568						
SPO0569	SPO0569						
SPO0570	SPO0570						
SPO0571	SPO0571				3.52E+06	873060	4.24E+06
SPO0572	SPO0572						
SPO0573	SPO0573						
SPO0574	SPO0574						
SPO0575	SPO0575						
SPO0576	SPO0576						
SPO0577	SPO0577						
SPO0578	SPO0578						
SPO0579	SPO0579				509753	3.35E+06	2.62E+06
SPO0580	SPO0580						
SPO0581	SPO0581				1.29E+06		
SPO0582	SPO0582					1.18E+09	
SPO0583	SPO0583						
SPO0584	SPO0584						
SPO0585	SPO0585						
SPO0586	SPO0586						
SPO0587	SPO0587					7.55E+06	
SPO0588	SPO0588				2.64E+06	2.25E+06	728911
SPO0589	SPO0589						
SPO0590	SPO0590						8.55E+06
SPO0591	SPO0591					197688	155694
SPO0594	SPO0594				183740		
SPO0595	SPO0595						
SPO0596	SPO0596						
SPO0597	SPO0597						
SPO0599	SPO0599				1.90E+06	2.26E+06	1.03E+06
SPO0600	SPO0600				105658	69248.9	67506.2
SPO0601	SPO0601				251619	268092	303784
SPO0602	SPO0602				649758		95091.1
SPO0603	SPO0603						
SPO0605	SPO0605						
SPO0606	SPO0606				577406		
SPO0607	SPO0607						
SPO0608	SPO0608				6.33E+08	5.95E+08	7.36E+08
SPO0609	SPO0609				7.49E+06	7.22E+06	1.07E+07
SPO0610	SPO0610					4.56E+07	284512
SPO0611	SPO0611						
SPO0612	SPO0612						
SPO0613	SPO0613						
SPO0614	SPO0614						
SPO0615	SPO0615						
SPO0616	SPO0616						
SPO0618	SPO0618						
SPO0621	SPO0621						
SPO0624	SPO0624						
SPO0628a	SPO0628a						
SPO0629	SPO0629						
SPO0631	SPO0631					102972	134617
SPO0632	SPO0632				233363	951187	128276
SPO0633	SPO0633				2.75E+07	2.64E+07	2.84E+07
SPO0634	SPO0634						
SPO0635	SPO0635				1.25E+07	9.88E+06	1.13E+07
SPO0636	SPO0636				638029	815447	498828
SPO0638	SPO0638					29911	
SPO0639	SPO0639						
SPO0640	SPO0640						
SPO0641	SPO0641						
SPO0642	SPO0642						
SPO0643	SPO0643				46282.7		1.77E+07
SPO0644	SPO0644						1.35E+07
SPO0645	SPO0645					2.37E+06	
SPO0646	SPO0646						
SPO0647	SPO0647						
SPO0648	SPO0648				7.79E+08	7.85E+08	8.51E+08
SPO0649	SPO0649				341197	497732	322971
SPO0650	SPO0650						
SPO0651	SPO0651				4.28E+07		
SPO0652	SPO0652						
SPO0653	SPO0653				2.03E+06	1.92E+06	1.59E+06
SPO0654	SPO0654				2.79E+06	2.40E+06	2.01E+06
SPO0655	SPO0655						
SPO0656	SPO0656					7.81E+06	
SPO0657	SPO0657						
SPO0658	SPO0658				4.15E+06	2.79E+06	4.34E+06
SPO0659	SPO0659						
SPO0660	SPO0660				3.71E+06	2.27E+06	4.30E+06
SPO0663	SPO0663						
SPO0664	SPO0664						
SPO0665	SPO0665						
SPO0666	SPO0666						
SPO0667	SPO0667				2.08E+07	57192.2	165657
SPO0668	SPO0668						
SPO0669	SPO0669						
SPO0670	SPO0670						
SPO0671	SPO0671						
SPO0672	SPO0672						
SPO0673	SPO0673				8.12E+07	7.30E+07	6.82E+07
SPO0674	SPO0674				4.87E+07	5.85E+07	6.12E+07
SPO0675	SPO0675						
SPO0676	SPO0676						
SPO0677	SPO0677						
SPO0678	SPO0678				4.13E+06	2.81E+06	4.73E+06
SPO0679	SPO0679						
SPO0680	SPO0680						
SPO0681	SPO0681						
SPO0682	SPO0682						
SPO0683	SPO0683				101718	119977	
SPO0684	SPO0684				670619	778131	682133
SPO0685	SPO0685				2.76E+06	2.65E+06	2.43E+06
SPO0686	SPO0686				388925	541312	578775
SPO0687	SPO0687						
SPO0688	SPO0688						
SPO0689	SPO0689				144278		
SPO0690	SPO0690						
SPO0691	SPO0691					3.64E+06	
SPO0692	SPO0692				388494		706343
SPO0693	SPO0693				796824	935448	970831
SPO0694	SPO0694						
SPO0695	SPO0695					198782	
SPO0697	SPO0697						
SPO0699	SPO0699						
SPO0700	SPO0700						
SPO0701	SPO0701				1.35E+06	1.53E+06	1.58E+06
SPO0702	SPO0702				3.60E+06		724164
SPO0703	SPO0703						
SPO0704	SPO0704						
SPO0705	SPO0705					162930	
SPO0706	SPO0706				2.15E+08	2.02E+08	2.45E+08
SPO0707	SPO0707						
SPO0708	SPO0708				68879.7		
SPO0709	SPO0709				1.25E+06	947005	4.03E+06
SPO0710	SPO0710						
SPO0711	SPO0711						2.64E+07
SPO0712	SPO0712						
SPO0713	SPO0713						
SPO0714	SPO0714						
SPO0715	SPO0715						
SPO0716	SPO0716						
SPO0717	SPO0717						
SPO0718	SPO0718						
SPO0719	SPO0719				911172	950120	1.31E+06
SPO0720	SPO0720				711839	556293	1.02E+06
SPO0721	SPO0721						
SPO0722	SPO0722				3.88E+06		136988
SPO0724	SPO0724						
SPO0725	SPO0725						1.10E+06
SPO0726	SPO0726				8.37E+06	7.18E+06	9.21E+06
SPO0727	SPO0727				2.13E+06	2.86E+06	1.62E+06
SPO0728	SPO0728				2.25E+06	2.49E+06	3.19E+06
SPO0729	SPO0729						
SPO0731	SPO0731						3.97E+07
SPO0732	SPO0732				134021	320770	2.02E+06
SPO0733	SPO0733						4.60E+06
SPO0734	SPO0734						
SPO0735	SPO0735						
SPO0736	SPO0736						
SPO0738	SPO0738					8.51E+06	315429
SPO0739	SPO0739						
SPO0740	SPO0740					464793	4.22E+07
SPO0741	SPO0741				476875	617622	350347
SPO0742	SPO0742						
SPO0743	SPO0743						
SPO0744	SPO0744						
SPO0745	SPO0745				6.32E+06	462781	5.89E+06
SPO0746	SPO0746				389101	570582	132220
SPO0747	SPO0747						
SPO0750	SPO0750						
SPO0751	SPO0751						
SPO0752	SPO0752						
SPO0753	SPO0753					1.21E+07	1.20E+06
SPO0754	SPO0754						
SPO0755	SPO0755						
SPO0756	SPO0756						
SPO0757	SPO0757				1.06E+07	1.43E+06	5.46E+06
SPO0758	SPO0758				2.78E+07	2.65E+07	3.25E+07
SPO0759	SPO0759						
SPO0760	SPO0760				461531	588927	335653
SPO0761	SPO0761				3.50E+07	3.43E+07	3.34E+07
SPO0762	SPO0762						
SPO0763	SPO0763						
SPO0764	SPO0764						
SPO0765	SPO0765						2.69E+08
SPO0766	SPO0766						
SPO0767	SPO0767				125735		232973
SPO0768	SPO0768						
