Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPO3280	SPO3280						
SPO3281	SPO3281						
SPO3282	SPO3282						
SPO3284	SPO3284						
SPO3286	SPO3286						
SPO3287	SPO3287				7.37E+06	1.74E+07	1.25E+07
SPO3288	SPO3288						
SPO3289	SPO3289				34918.9		
SPO3290	SPO3290						
SPO3291	SPO3291				4.42E+07	4.10E+07	4.41E+07
SPO3292	SPO3292						
SPO3293	SPO3293						
SPO3295	SPO3295						
SPO3296	SPO3296						4.80E+06
SPO3297	SPO3297				481230		
SPO3298	SPO3298						
SPO3299	SPO3299						
SPO3300	SPO3300						
SPO3301	SPO3301						
SPO3302	SPO3302				1.61E+06	1.47E+06	1.32E+06
SPO3303	SPO3303				1.16E+06	1.31E+06	923845
SPO3304	SPO3304				7.88E+06	6.60E+06	1.10E+07
SPO3305	SPO3305						
SPO3306	SPO3306					57824.7	
SPO3307	SPO3307				5.17E+06	583075	132188
SPO3309	SPO3309				180427	155308	97441.3
SPO3310	SPO3310						
SPO3311	SPO3311						
SPO3312	SPO3312				3.20E+06	3.98E+06	3.23E+06
SPO3313	SPO3313						
SPO3314	SPO3314				2.22E+07	1.93E+07	2.30E+07
SPO3315	SPO3315						
SPO3316	SPO3316						
SPO3316a	SPO3316a						
SPO3317	SPO3317						
SPO3318	SPO3318				485355	490996	494210
SPO3319	SPO3319						
SPO3320	SPO3320						
SPO3321	SPO3321						
SPO3322	SPO3322						
SPO3323	SPO3323				175650		185279
SPO3324	SPO3324						97299.7
SPO3325	SPO3325				252349	205634	461680
SPO3326	SPO3326				9.89E+07	8.70E+07	8.84E+07
SPO3327	SPO3327				5.36E+06	5.66E+06	5.40E+06
SPO3328	SPO3328				372216	8.95E+07	6.93E+07
SPO3329	SPO3329						
SPO3330	SPO3330					156791	662292
SPO3331	SPO3331						39909.4
SPO3332	SPO3332				5.55E+06	8.59E+06	4.26E+06
SPO3333	SPO3333						
SPO3334	SPO3334						
SPO3335	SPO3335						
SPO3336	SPO3336					81139.7	
SPO3337	SPO3337				1.33E+07	1.42E+07	8.22E+06
SPO3338	SPO3338					2.49E+07	8.56E+06
SPO3339	SPO3339						
SPO3340	SPO3340						
SPO3341	SPO3341						
SPO3342	SPO3342						
SPO3343	SPO3343						
SPO3344	SPO3344				8.85E+06	8.26E+06	8.46E+06
SPO3346	SPO3346				58588.4		2.32E+06
SPO3347	SPO3347				1.04E+06	1.15E+06	581758
SPO3348	SPO3348				2.26E+07	2.09E+07	1.87E+07
SPO3349	SPO3349				1.07E+07	9.00E+06	9.40E+06
SPO3350	SPO3350				3.05E+06	2.32E+06	1.99E+06
SPO3351	SPO3351				2.06E+06	1.81E+06	3.23E+06
SPO3352	SPO3352				5.68E+06	1.76E+07	1.33E+06
SPO3353	SPO3353						122808
SPO3354	SPO3354				1.06E+08	1.19E+08	1.03E+08
SPO3355	SPO3355				720252	843392	987808
SPO3357	SPO3357						
SPO3358	SPO3358						
SPO3359	SPO3359				3.41E+06		
SPO3360	SPO3360				219778	254589	444438
SPO3361	SPO3361						
SPO3362	SPO3362					1.45E+06	
SPO3363	SPO3363						
SPO3364	SPO3364						
SPO3365	SPO3365						
SPO3366	SPO3366				187215	362377	331155
SPO3367	SPO3367						
SPO3368	SPO3368						
SPO3369	SPO3369						
SPO3370	SPO3370				320190	1.06E+06	684537
SPO3371	SPO3371				158750	564596	
SPO3372	SPO3372				5.69E+06	7.61E+06	6.46E+06
SPO3373	SPO3373						
SPO3374	SPO3374				213144	236358	320499
SPO3375	SPO3375					1.72E+07	
SPO3376	SPO3376						
SPO3377	SPO3377				770465	499086	730935
SPO3379	SPO3379					528080	
SPO3380	SPO3380						
SPO3382	SPO3382				867963	885568	1.08E+06
SPO3383	SPO3383				1.69E+06	2.10E+06	3.38E+06
SPO3384	SPO3384						
SPO3385	SPO3385						249557
SPO3387	SPO3387						
SPO3388	SPO3388						
SPO3389	SPO3389				799193	807699	875838
SPO3390	SPO3390						
SPO3391	SPO3391						2.10E+07
SPO3392	SPO3392						
SPO3393	SPO3393						
SPO3394	SPO3394						
SPO3395	SPO3395						
SPO3396	SPO3396				3.39E+06	3.05E+06	3.39E+06
SPO3398	SPO3398						
SPO3399	SPO3399						
SPO3400	SPO3400				3.45E+06	3.21E+06	4.19E+06
SPO3401	SPO3401						
SPO3403	SPO3403						
SPO3405	SPO3405						363716
SPO3406	SPO3406						
SPO3408	SPO3408				1.22E+06	1.21E+06	2.69E+06
SPO3409	SPO3409						
SPO3410	SPO3410						
SPO3411	SPO3411				599497	843926	559847
SPO3412	SPO3412						
SPO3413	SPO3413					1.93E+06	
SPO3414	SPO3414				7.92E+06	8.88E+06	7.19E+06
SPO3415	SPO3415				247239	193948	347217
SPO3416	SPO3416				308243	370349	2.35E+07
SPO3417	SPO3417				213041	296789	439433
SPO3418	SPO3418				838152	628476	1.24E+06
SPO3419	SPO3419						
SPO3420	SPO3420						
SPO3421	SPO3421						
SPO3422	SPO3422						
SPO3423	SPO3423						
SPO3424	SPO3424						
SPO3425	SPO3425				2.26E+06	2.85E+06	2.34E+06
SPO3426	SPO3426						
SPO3427	SPO3427						
SPO3428	SPO3428					55085.6	
SPO3429	SPO3429				2.10E+06	2.33E+06	1.51E+06
SPO3430	SPO3430				1.87E+08	1.98E+08	2.22E+08
SPO3431	SPO3431				1.56E+07	1.91E+07	1.48E+07
SPO3432	SPO3432					1.30E+06	193303
SPO3433	SPO3433				1.70E+06	1.71E+06	1.52E+06
SPO3434	SPO3434						
SPO3435	SPO3435				355352	624151	
SPO3436	SPO3436						
SPO3437	SPO3437						
SPO3438	SPO3438						
SPO3439	SPO3439				1.74E+06	2.00E+06	1.09E+06
SPO3440	SPO3440					433831	
SPO3441	SPO3441				147379	184111	153820
SPO3442	SPO3442				821942	513878	703704
SPO3443	SPO3443						
SPO3444	SPO3444						
SPO3445	SPO3445						
SPO3446	SPO3446				4.10E+07	4.87E+07	4.39E+07
SPO3447	SPO3447						
SPO3448	SPO3448						
SPO3449	SPO3449						
SPO3450	SPO3450						
SPO3451	SPO3451						
SPO3452	SPO3452						
SPO3452a	SPO3452a				1.34E+06	1.99E+06	1.97E+06
SPO3453	SPO3453				3.74E+06	5.71E+06	4.23E+06
SPO3454	SPO3454						
SPO3455	SPO3455					3.33E+06	2.99E+06
SPO3456	SPO3456						
SPO3458	SPO3458						
SPO3459	SPO3459				496773	286807	335824
SPO3460	SPO3460						
SPO3462	SPO3462					6.13E+06	
SPO3463	SPO3463						
SPO3464	SPO3464						
SPO3465	SPO3465						
SPO3466	SPO3466						
SPO3467	SPO3467						
SPO3468	SPO3468				4.64E+06		
SPO3469	SPO3469				8.08E+07	9.07E+07	8.68E+07
SPO3470	SPO3470						
SPO3471	SPO3471				3.70E+07	3.64E+07	3.56E+07
SPO3472	SPO3472				111438	192599	181318
SPO3473	SPO3473				1.06E+09	8.82E+08	1.14E+09
SPO3474	SPO3474						
SPO3475	SPO3475						
SPO3476	SPO3476				5.03E+07	6.16E+07	4.91E+07
SPO3477	SPO3477						
SPO3478	SPO3478				3.79E+07	5.02E+07	
SPO3479	SPO3479						
SPO3480	SPO3480						
SPO3481	SPO3481				276891		
SPO3482	SPO3482						
SPO3483	SPO3483						
SPO3484	SPO3484				152532	69767.5	
SPO3485	SPO3485						
SPO3486	SPO3486						
SPO3487	SPO3487						
SPO3488	SPO3488				196974	277902	
SPO3489	SPO3489				3.22E+07		321024
SPO3490	SPO3490						
SPO3491	SPO3491						
SPO3492	SPO3492				2.01E+07	2.02E+07	2.15E+07
SPO3494	SPO3494						245894
SPO3495	SPO3495						
SPO3496	SPO3496						
SPO3498a	SPO3498a				2.22E+06	1.73E+06	2.21E+06
SPO3499	SPO3499				881610	860492	1.71E+06
SPO3500	SPO3500				8.89E+06	7.68E+06	4.38E+06
SPO3501	SPO3501				2.31E+06	4.28E+06	2.85E+06
SPO3502	SPO3502					316370	
SPO3503	SPO3503						
SPO3505	SPO3505						
SPO3506	SPO3506						
SPO3507	SPO3507				900722	947229	744592
SPO3508	SPO3508				372041	524624	633595
SPO3509	SPO3509				1.15E+07	1.36E+07	3.58E+07
SPO3510	SPO3510				1.07E+06	622885	1.68E+06
SPO3511	SPO3511						
SPO3512	SPO3512						
SPO3513	SPO3513				735984	1.45E+06	1.40E+06
SPO3514	SPO3514				319421	5.91E+06	209728
SPO3516	SPO3516					204058	78661.6
SPO3517	SPO3517						
SPO3518	SPO3518				1.55E+07	1.28E+07	1.69E+07
SPO3520	SPO3520						1.03E+06
SPO3521	SPO3521						
SPO3522	SPO3522				2.60E+06		
SPO3523	SPO3523						
SPO3524	SPO3524						
SPO3525	SPO3525						
SPO3526	SPO3526						
SPO3527	SPO3527				2.63E+06	214191	1.01E+08
SPO3529	SPO3529						
SPO3530	SPO3530				2.37E+06	2.59E+06	1.23E+06
SPO3531	SPO3531					50071.7	655290
SPO3532	SPO3532				2.80E+07		2.43E+07
SPO3533	SPO3533				461897		
SPO3534	SPO3534						
SPO3535	SPO3535						
SPO3536	SPO3536						
SPO3537	SPO3537				6.06E+07	6.45E+07	7.26E+07
SPO3538	SPO3538				2.84E+07	3.55E+07	2.88E+07
SPO3539	SPO3539						
SPO3540	SPO3540						
SPO3541	SPO3541					3.46E+07	
SPO3542	SPO3542						
SPO3543	SPO3543						
SPO3544	SPO3544						
SPO3545	SPO3545						
SPO3546	SPO3546				478203	311971	256721
SPO3547	SPO3547						
SPO3548	SPO3548					75452.6	
SPO3550	SPO3550						
SPO3551	SPO3551						
SPO3552	SPO3552				719166	1.13E+06	851802
SPO3553	SPO3553						
SPO3554	SPO3554						
SPO3555	SPO3555						
SPO3556	SPO3556				1.09E+08	9.13E+07	9.71E+07
SPO3557	SPO3557						
SPO3558	SPO3558						
SPO3559	SPO3559						
SPO3560	SPO3560						
SPO3561	SPO3561						
SPO3562	SPO3562						
SPO3563	SPO3563						
SPO3564	SPO3564					32920.3	
SPO3565	SPO3565						
SPO3566	SPO3566				1.82E+06	2.23E+06	4.19E+06
SPO3567	SPO3567				142114	159677	
SPO3568	SPO3568				2.02E+06	1.29E+06	3.12E+06
SPO3569	SPO3569						
SPO3570	SPO3570						2.84E+06
SPO3571	SPO3571						
SPO3572	SPO3572				498546	380146	
SPO3573	SPO3573						236743
SPO3574	SPO3574						
SPO3575	SPO3575						
SPO3576	SPO3576				3.26E+07	4.13E+07	2.80E+07
SPO3577	SPO3577						
SPO3578	SPO3578						
SPO3579	SPO3579						
SPO3580	SPO3580						
SPO3581	SPO3581					58912.4	
SPO3582	SPO3582						256626
SPO3583	SPO3583				130301		
SPO3584	SPO3584						
SPO3585	SPO3585						
SPO3586	SPO3586				1.28E+06	1.33E+06	1.17E+06
SPO3587	SPO3587						
SPO3590	SPO3590						
SPO3591	SPO3591						
SPO3592	SPO3592						
SPO3593	SPO3593				2.17E+06	1.75E+06	1.89E+06
SPO3594	SPO3594					5.26E+07	
SPO3595	SPO3595						
SPO3596	SPO3596						
SPO3597	SPO3597				2.82E+06	3.97E+06	3.91E+06
SPO3598	SPO3598				1.17E+08	1.28E+08	9.55E+07
SPO3599	SPO3599				5.43E+07	5.57E+07	6.09E+07
SPO3600	SPO3600				1.00E+06	1.49E+06	1.18E+06
SPO3601	SPO3601						
SPO3602	SPO3602						104318
SPO3603	SPO3603						
SPO3604	SPO3604				2.96E+08	3.11E+08	3.58E+08
SPO3605	SPO3605						
SPO3606	SPO3606				116502	109591	213124
SPO3607	SPO3607				5.01E+06		4.02E+06
SPO3608	SPO3608				1.40E+07	1.33E+07	1.22E+07
SPO3609	SPO3609						
SPO3610	SPO3610						
SPO3611	SPO3611				4.05E+08	4.61E+08	5.37E+08
SPO3612	SPO3612						
SPO3615	SPO3615						
SPO3616	SPO3616				281726	277561	2.60E+06
SPO3617	SPO3617				5.01E+07	5.15E+07	3.81E+07
SPO3618	SPO3618						
SPO3619	SPO3619						
SPO3620	SPO3620				7.13E+07	7.22E+07	6.38E+07
SPO3621	SPO3621						
SPO3622	SPO3622						
SPO3623	SPO3623				1.93E+06	1.46E+06	4.64E+06
SPO3625	SPO3625				1.17E+06	914365	1.55E+06
SPO3626	SPO3626				1.69E+06	1.91E+06	968409
SPO3627	SPO3627						
SPO3628	SPO3628						
SPO3629	SPO3629						
SPO3630	SPO3630						
SPO3631	SPO3631				1.72E+06	2.23E+06	1.13E+06
SPO3632	SPO3632					576118	
SPO3633	SPO3633					45330.6	
SPO3634	SPO3634				450292	365210	303338
SPO3635	SPO3635						
SPO3636	SPO3636				979571	1.12E+06	983433
SPO3637	SPO3637						
SPO3638	SPO3638						
SPO3639	SPO3639						
SPO3640	SPO3640						
SPO3642	SPO3642						
SPO3644	SPO3644						
SPO3645	SPO3645						
SPO3646	SPO3646						
SPO3647	SPO3647						
SPO3648	SPO3648				1.55E+07	1.63E+07	1.35E+07
SPO3649	SPO3649						
SPO3650	SPO3650						
SPO3651	SPO3651						2.71E+07
SPO3652	SPO3652				1.14E+06	1.43E+06	1.23E+06
SPO3653	SPO3653				7.48E+06		
SPO3654	SPO3654						
SPO3655	SPO3655						
SPO3656	SPO3656						
SPO3657	SPO3657						
SPO3658	SPO3658				329514	135381	511312
SPO3659	SPO3659						
SPO3660	SPO3660						
SPO3661	SPO3661						
SPO3662	SPO3662				121214		
SPO3663	SPO3663				1.99E+06	578336	
SPO3664	SPO3664						
SPO3665	SPO3665				1.52E+07	2.15E+07	2.00E+07
SPO3666	SPO3666						
SPO3667	SPO3667						
SPO3668	SPO3668						
SPO3671	SPO3671				1.39E+07	1.70E+07	1.63E+07
SPO3672	SPO3672				3.90E+06	4.10E+06	5.09E+06
SPO3673	SPO3673				3.38E+07	5.09E+07	4.34E+07
SPO3673a	SPO3673a						
SPO3675	SPO3675						
SPO3676	SPO3676						
SPO3677	SPO3677						
SPO3678	SPO3678						
SPO3679	SPO3679					279424	76887.6
SPO3680	SPO3680				1.91E+06	2.62E+06	2.08E+06
SPO3681	SPO3681						50042.1
SPO3682	SPO3682					421197	
SPO3684	SPO3684						
SPO3685	SPO3685						
SPO3686	SPO3686				4.70E+07	4.67E+07	5.48E+07
SPO3687	SPO3687						
SPO3688	SPO3688						
SPO3689	SPO3689						
SPO3690	SPO3690						
SPO3691	SPO3691				2.51E+07	2.29E+07	3.04E+07
SPO3692	SPO3692				602911	1.22E+06	527764
SPO3693	SPO3693				1.11E+08	1.01E+08	1.19E+08
SPO3694	SPO3694						
SPO3695	SPO3695						
SPO3696	SPO3696						
SPO3697	SPO3697						
SPO3698	SPO3698						
SPO3699	SPO3699						
SPO3700	SPO3700						
SPO3701	SPO3701					1.06E+06	
SPO3703	SPO3703						
SPO3704	SPO3704				2.10E+06	225627	1.98E+06
SPO3705	SPO3705				3.84E+07	3.88E+07	3.96E+07
SPO3706	SPO3706						
SPO3707	SPO3707						
SPO3708	SPO3708						
SPO3709	SPO3709						
SPO3710	SPO3710						
SPO3711	SPO3711						
SPO3712	SPO3712				915393	963131	975090
SPO3713	SPO3713				171892	275236	231731
SPO3714	SPO3714						
SPO3715	SPO3715				58757.5	279766	367870
SPO3716	SPO3716						
SPO3717	SPO3717				7.91E+07	6.60E+07	6.05E+07
SPO3718	SPO3718						57376.2
SPO3719	SPO3719				286392	288215	456625
SPO3720	SPO3720				1.39E+06	1.90E+06	2.48E+06
SPO3722	SPO3722						
SPO3723	SPO3723						
SPO3724	SPO3724						
SPO3725	SPO3725				322040	3.20E+06	
SPO3726	SPO3726				7.38E+08	8.91E+08	1.01E+09
SPO3727	SPO3727				588519	522035	580687
SPO3728	SPO3728				3.06E+07		2.41E+07
SPO3729	SPO3729					9.41E+06	
SPO3730	SPO3730				147238	477101	3.11E+06
SPO3731	SPO3731				1.76E+06	2.32E+06	2.40E+06
SPO3732	SPO3732						
SPO3733	SPO3733						
SPO3734	SPO3734						
SPO3735	SPO3735						
SPO3736	SPO3736						
SPO3737	SPO3737				1.32E+07	1.25E+07	7.10E+06
SPO3738	SPO3738						
SPO3739	SPO3739						
SPO3740	SPO3740				735513	841360	735378
SPO3741	SPO3741						
SPO3742	SPO3742					473428	
SPO3744	SPO3744				5.55E+06	4.80E+06	1.05E+07
SPO3745	SPO3745				2.12E+06		
SPO3746	SPO3746				9.12E+06	6.45E+06	6.83E+06
SPO3747	SPO3747						
SPO3748	SPO3748						
SPO3749	SPO3749						
SPO3751	SPO3751						
SPO3752	SPO3752						
SPO3753	SPO3753				5.98E+07		
SPO3754	SPO3754						
SPO3755	SPO3755						1.02E+07
SPO3756	SPO3756						
SPO3757	SPO3757				2.18E+06	2.90E+06	1.42E+06
SPO3758	SPO3758				480379	760841	1.27E+06
SPO3759	SPO3759					80553.2	156539
SPO3760	SPO3760						
SPO3761	SPO3761				1.86E+07	1.13E+06	1.62E+07
SPO3762	SPO3762					238660	356094
SPO3763	SPO3763						
SPO3764	SPO3764				42840.2		
SPO3765	SPO3765						
SPO3766	SPO3766						
SPO3768	SPO3768				464773	235194	503719
SPO3769	SPO3769						
SPO3770	SPO3770				1.75E+06	973220	897119
SPO3771	SPO3771						
SPO3772	SPO3772				195031	999921	627743
SPO3774	SPO3774				3.05E+07	3.66E+07	4.03E+07
SPO3775	SPO3775						
SPO3776	SPO3776						
SPO3777	SPO3777				950031		
SPO3778	SPO3778				1.06E+07	7.66E+06	1.21E+07
SPO3779	SPO3779						
SPO3780	SPO3780						
SPO3781	SPO3781						
SPO3782	SPO3782						
SPO3783	SPO3783					1.11E+06	1.10E+06
SPO3784	SPO3784				1.63E+07		
SPO3785	SPO3785						
SPO3786	SPO3786						
SPO3787	SPO3787				472094	547808	781561
SPO3788	SPO3788				753357		
SPO3789	SPO3789						
SPO3790	SPO3790						
SPO3791	SPO3791				583236	109720	439109
SPO3792	SPO3792				545941	1.61E+06	
SPO3793	SPO3793						
SPO3795	SPO3795						
SPO3802	SPO3802						
SPO3803	SPO3803						
SPO3804	SPO3804				102502	304101	175502
SPO3805	SPO3805						
SPO3806	SPO3806				1.13E+06	1.55E+06	1.30E+06
SPO3807	SPO3807						
SPO3809	SPO3809						
SPO3810	SPO3810				100196	351116	99327.8
SPO3811	SPO3811						
SPO3812	SPO3812				8.09E+06	3.97E+06	5.30E+06
SPO3813	SPO3813						116146
SPO3814	SPO3814						
SPO3815	SPO3815						1.20E+08
SPO3816	SPO3816						
SPO3817	SPO3817				1.41E+06	1.85E+06	2.57E+06
SPO3818	SPO3818				339474	442550	154565
SPO3819	SPO3819						
SPO3820	SPO3820						
SPO3821	SPO3821					137174	
SPO3822	SPO3822						67443.8
SPO3823	SPO3823				1.42E+08	1.35E+08	1.07E+08
SPO3824	SPO3824				1.02E+08	7.62E+07	1.01E+08
SPO3825	SPO3825				1.54E+08	1.37E+08	1.04E+08
SPO3826	SPO3826				221696	372883	443506
SPO3827	SPO3827				297887		
SPO3828	SPO3828						
SPO3829	SPO3829				2.06E+07	1.31E+07	1.78E+07
SPO3830	SPO3830						268081
SPO3831	SPO3831						
SPO3832	SPO3832						
SPO3833	SPO3833				1.52E+06	1.77E+06	1.98E+06
SPO3834	SPO3834				583577		
SPO3835	SPO3835						
SPO3836	SPO3836					201911	131070
SPO3837	SPO3837					1.01E+07	1.11E+07
SPO3838	SPO3838						
SPO3839	SPO3839						
SPO3840	SPO3840				1.24E+06	854934	1.64E+06
SPO3841	SPO3841						
SPO3842	SPO3842						
SPO3843	SPO3843						
SPO3844	SPO3844				282246		
SPO3845	SPO3845						
SPO3846	SPO3846				221447	726134	491954
SPO3847	SPO3847						
SPO3849	SPO3849						
SPO3850	SPO3850				3.26E+07	2.38E+07	3.05E+07
SPO3851	SPO3851				1.26E+06	1.23E+06	1.36E+06
SPO3852	SPO3852				2.25E+07	3.89E+07	1.80E+07
SPO3853	SPO3853						
SPO3854	SPO3854					236913	
SPO3855	SPO3855						
SPO3856	SPO3856				3.54E+07	3.24E+07	2.32E+07
SPO3857	SPO3857				463386	1.29E+06	830145
SPO3859	SPO3859				9.48E+07	7.80E+07	7.43E+07
SPO3860	SPO3860				2.89E+06	2.90E+06	2.93E+06
SPO3861	SPO3861				716223	539968	436971
SPO3863	SPO3863						
SPO3864	SPO3864				445425	463743	762098
SPO3865	SPO3865						
SPO3866	SPO3866				554177	694108	484980
SPO3867	SPO3867						
SPO3868	SPO3868						
SPO3869	SPO3869						2.59E+06
SPO3870	SPO3870						
SPO3871	SPO3871						
SPO3872	SPO3872						3.16E+07
SPO3873	SPO3873						2.50E+07
SPO3874	SPO3874				1.70E+07	2.34E+07	1.83E+07
SPO3875	SPO3875					77940.1	
SPO3876	SPO3876						
SPO3877	SPO3877						
SPO3878	SPO3878				478692	714252	646397
SPO3879	SPO3879						
SPO3880	SPO3880						406010
SPO3881	SPO3881				2.01E+07	1.84E+07	1.66E+07
SPO3882	SPO3882				1.05E+06	1.11E+06	718861
SPO3883	SPO3883						861834
SPO3884	SPO3884						
SPO3885	SPO3885				270229	9.70E+06	
SPO3886	SPO3886				803474	543107	1.43E+06
SPO3887	SPO3887						
SPO3888	SPO3888				1.30E+06	2.23E+06	2.13E+06
SPO3889	SPO3889						
SPO3890	SPO3890						
SPO3891	SPO3891					8.12E+06	
SPO3892	SPO3892						
SPO3893	SPO3893						
SPO3894	SPO3894				436390	505224	797980
SPO3895	SPO3895						
SPO3896	SPO3896						
SPO3898	SPO3898						
SPO3899	SPO3899						649362
SPO3900	SPO3900						
SPO3901	SPO3901						
SPO3902	SPO3902						
SPO3903	SPO3903				2.00E+06	3.39E+06	3.44E+06
SPO3904	SPO3904						
SPOA0001	SPOA0001						
SPOA0002	SPOA0002				1.50E+07	2.93E+06	1.97E+06
SPOA0003	SPOA0003						
SPOA0004	SPOA0004				102484	188854	
SPOA0005	SPOA0005				350725	554566	566648
SPOA0006	SPOA0006				499430	4.51E+06	563042
SPOA0008	SPOA0008						
SPOA0009	SPOA0009						
SPOA0010	SPOA0010					1.06E+06	
SPOA0011	SPOA0011				3.59E+07	3.37E+07	2.70E+07
SPOA0012	SPOA0012						
SPOA0013	SPOA0013				115183	464869	
SPOA0014	SPOA0014						
SPOA0015	SPOA0015				208810	577677	717038
SPOA0017	SPOA0017				82143.6	3.90E+06	
SPOA0018	SPOA0018						
SPOA0020	SPOA0020						
SPOA0021	SPOA0021						
SPOA0022	SPOA0022						
SPOA0023	SPOA0023						
SPOA0024	SPOA0024					328263	
SPOA0025	SPOA0025				1.11E+07	1.33E+07	1.10E+07
SPOA0026	SPOA0026				1.76E+06	1.63E+06	2.09E+06
SPOA0027	SPOA0027						
SPOA0028	SPOA0028				84677.7		9.28E+06
SPOA0029	SPOA0029						
SPOA0030	SPOA0030						
SPOA0031	SPOA0031					168328	242794
SPOA0032	SPOA0032						
SPOA0033	SPOA0033				169305	743332	307201
SPOA0034	SPOA0034				2.23E+07		2.32E+07
SPOA0036	SPOA0036				211749	352107	245144
SPOA0037	SPOA0037						
SPOA0038	SPOA0038						
SPOA0039	SPOA0039				364682	445927	424668
SPOA0042	SPOA0042				311959	589304	611992
SPOA0043	SPOA0043				2.10E+06	1.53E+06	1.31E+06
SPOA0044	SPOA0044				1.72E+06	2.25E+06	1.22E+06
SPOA0045	SPOA0045				2.48E+06	4.73E+06	4.30E+06
SPOA0046	SPOA0046				1.41E+06	1.56E+06	1.54E+06
SPOA0047	SPOA0047						
SPOA0050	SPOA0050					185246	500126
SPOA0052	SPOA0052						
SPOA0055	SPOA0055				1.64E+07	1.57E+07	7.28E+06
SPOA0056	SPOA0056						
SPOA0057	SPOA0057				232045	219180	601538
SPOA0058	SPOA0058				1.00E+07	1.53E+07	8.60E+06
SPOA0059	SPOA0059				2.15E+06	1.92E+06	1.64E+06
SPOA0060	SPOA0060						
SPOA0061	SPOA0061				1.35E+06	1.03E+06	870806
SPOA0062	SPOA0062				444548		
SPOA0063	SPOA0063						131900
SPOA0064	SPOA0064						
SPOA0065	SPOA0065						
SPOA0066	SPOA0066						
SPOA0067	SPOA0067						
SPOA0068	SPOA0068						
SPOA0069	SPOA0069				4.27E+07	5.37E+07	6.05E+07
SPOA0070	SPOA0070						
SPOA0071	SPOA0071						
SPOA0072	SPOA0072					246615	592567
SPOA0073	SPOA0073						
SPOA0074	SPOA0074				439192	334444	144884
SPOA0075	SPOA0075						
SPOA0076	SPOA0076						617428
SPOA0077	SPOA0077				174196	187642	222146
SPOA0078	SPOA0078						
SPOA0079	SPOA0079				360657	526673	177529
SPOA0081	SPOA0081						
SPOA0082	SPOA0082						
SPOA0083	SPOA0083						
SPOA0085	SPOA0085						
SPOA0086	SPOA0086						
SPOA0087a	SPOA0087a						
SPOA0088	SPOA0088					229862	
SPOA0093	SPOA0093						
SPOA0094	SPOA0094						
SPOA0095	SPOA0095						
SPOA0096	SPOA0096						
SPOA0097	SPOA0097						
SPOA0098	SPOA0098						
SPOA0099	SPOA0099					929454	
SPOA0100	SPOA0100						
SPOA0101	SPOA0101						
SPOA0102	SPOA0102				2.10E+06	1.24E+06	1.83E+06
SPOA0103	SPOA0103						
SPOA0104	SPOA0104						
SPOA0105	SPOA0105						
SPOA0106	SPOA0106				6.88E+06	8.57E+06	7.72E+06
SPOA0107	SPOA0107						4.48E+06
SPOA0108	SPOA0108						
SPOA0109	SPOA0109						
SPOA0112	SPOA0112				1.43E+06		
SPOA0113	SPOA0113						
SPOA0115	SPOA0115				1.23E+06		
SPOA0116	SPOA0116				3.38E+06	3.46E+06	2.52E+06
SPOA0117	SPOA0117						
SPOA0120	SPOA0120				2.84E+06	2.61E+06	3.95E+06
SPOA0121	SPOA0121						
SPOA0123	SPOA0123				6.89E+06	1.79E+07	4.80E+06
SPOA0124	SPOA0124					2.16E+06	
SPOA0125	SPOA0125				6.51E+06	1.51E+07	1.58E+07
SPOA0126	SPOA0126						
SPOA0127	SPOA0127				1.49E+06	1.75E+06	1.92E+06
SPOA0128	SPOA0128						92216.4
SPOA0129	SPOA0129						
SPOA0130	SPOA0130						
SPOA0131	SPOA0131						
SPOA0132	SPOA0132						
SPOA0133	SPOA0133						
SPOA0137	SPOA0137					117054	157114
SPOA0138	SPOA0138						
SPOA0139	SPOA0139						
SPOA0140	SPOA0140						
SPOA0141	SPOA0141						
SPOA0142	SPOA0142						
SPOA0143	SPOA0143						
SPOA0144	SPOA0144				1.24E+06	1.39E+06	1.76E+06
SPOA0145	SPOA0145				93692.9	209337	48779.9
SPOA0146	SPOA0146				1.43E+07	3.34E+06	
SPOA0147	SPOA0147						
SPOA0149	SPOA0149						
SPOA0150	SPOA0150						
SPOA0153	SPOA0153						
SPOA0154	SPOA0154					2.24E+07	
SPOA0155	SPOA0155				1.46E+07	1.53E+07	1.50E+07
SPOA0156	SPOA0156						
SPOA0157	SPOA0157						
SPOA0158	SPOA0158				2.56E+06	2.90E+06	3.21E+06
SPOA0159	SPOA0159						
SPOA0160	SPOA0160						
SPOA0162	SPOA0162						
SPOA0163	SPOA0163						
SPOA0164	SPOA0164				2.80E+07	1.70E+07	1.00E+08
SPOA0165	SPOA0165						
SPOA0166	SPOA0166				1.57E+06	1.44E+06	2.05E+06
SPOA0168	SPOA0168						
SPOA0169	SPOA0169						
SPOA0170	SPOA0170					82868.3	
SPOA0171	SPOA0171						
SPOA0172	SPOA0172				2.68E+06	2.51E+06	
SPOA0173	SPOA0173						
SPOA0174	SPOA0174						
SPOA0175	SPOA0175						
SPOA0176	SPOA0176						
SPOA0180	SPOA0180				8.39E+07	9.79E+07	8.55E+07
SPOA0184	SPOA0184						
SPOA0185	SPOA0185						
