Accession Number	Annotation	1	2	3
SPO0163	Polar-differentiation response regulator DivK (EC 2.7.13.3)	812471	732014	778961
SPO0164	"Oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase"	1.17E+06	1.09E+06	1.05E+06
SPO0165	"Pyrroline-5-carboxylate reductase, putative"	137399	145059	143572
SPO0166	"N-methylproline demethylase, putative"	1.85E+06	1.86E+06	1.90E+06
SPO0167	Methyltransferase (EC 2.1.1.-)	1.19E+06	1.19E+06	1.22E+06
SPO0168	"Transcriptional regulator, TetR family"	312185	265813	306486
SPO0170	Flagellar biosynthesis protein FlhA	38233.2	56914.3	48602.9
SPO0174	Flagellar basal body-associated protein FliL	45701.9	47650.3	36981.4
SPO0175	Flagellar L-ring protein (Basal body L-ring protein)	76122.8	71592.4	66980.6
SPO0177	Flagellar basal-body rod protein FlgG (Distal rod protein)	149534	167515	135536
SPO0178	Flagellar basal-body rod protein FlgF	10219.1		24688.9
SPO0180	Flagellar hook-basal body complex protein FliE
SPO0181	Flagellar basal-body rod protein FlgC	2.31E+06	2.35E+06	2.21E+06
SPO0182	Flagellar basal-body rod protein FlgB	5024.57	6634.53	8443.2
SPO0183	"H+-transporting two-sector ATPase, flagellum-specific (EC 3.6.3.14)"	212669	206171	215979
SPO0184	"Membrane protein, putative"	239612	255922	308476
SPO0185	"Membrane protein, putative"	573656	474403	488548
SPO0186	Bordetella uptake gene family protein	1.93E+06	1.70E+06	2.17E+06
SPO0187	DNA-binding response regulator	905639	820152	739154
SPO0188	histidine kinase (EC 2.7.13.3)	310688	295162	307011
SPO0189	ABC transporter substrate-binding protein	591104	518758	522767
SPO0190	"Oxidoreductase, GMC family"	706063	695088	642454
SPO0191	Chemotaxis protein MotB	124279	148548	92046.8
SPO0192	Flagellar hook protein FlgE	15826.1	21313	26862.8
SPO0193	Flagellar hook-associated protein 1	275927	205514	244396
SPO0194	Flagellar hook-associated protein FlgL family protein	39351.6	50846.6	42114.7
SPO0195	Flagellar P-ring protein (Basal body P-ring protein)	68072.3	241473	54466.7
SPO0197	Flagellar motor switch protein FliN	30366.2	31955.4	38437.4
SPO0198	"ABC transporter, ATP-binding protein, flagellar, putative"	17217.4	15409.6
SPO0199	Flagellar M-ring protein	109055	29323.7	137253
SPO0200	Flagellar protein FliL	38616.8	69719.7	54778.2
SPO0201	DUF6468 domain-containing protein
SPO0202	Magnesium transporter MgtE intracellular domain-containing protein	262776	367762
SPO0203	Chemotaxis protein MotA	93244.9		123834
SPO0204	Lipoprotein	119544	37467.2	297627
SPO0205	MmgE/PrpD family protein	263884	299334	316128
SPO0206	"Transcriptional regulator, LysR family"	1.45E+06	1.43E+06	1.44E+06
SPO0207	Aminomethyl transferase family protein	361433	357019	374571
SPO0209	Na/Pi-cotransporter family protein	876816	791991	796949
